Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Moscow,Komi Republic,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Moscow Oblast,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Belgorod Oblast,Rostov Oblast,Altai Krai,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Bryansk Oblast,Tomsk District,Amur Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Vladimir Oblast,Khabarovsk Krai,The Kabardino-Balkar Republic,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Voronezh Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
17501,1458,760,1302,1441,973,1341,1279,909,1515,1914,1763,17150,1846,1479,1731,1175,1279,760,795,1008,44972,1143,1449,7612,2185,1504,3279,5221,616,869,4775,14289,5146,3131,1847,1436,1572,939,3125,8705,304,175,2009,5924,2546,2412,2988,3715,6105,2526,164,177,506,1428,1372,573,93,818,348,117,1820,651,634,428,1784,1977,451,226,1306,129,443,2758,337,850,7957,3608,1998,2393,4637,749,1100
17532,1437,870,1405,1560,1039,1507,1304,1029,1658,1880,1918,18098,1972,1482,1747,980,1313,835,778,1027,47727,1283,1435,8286,2178,1566,3563,5233,633,927,4784,15695,5768,3456,1787,1516,1503,1019,3355,8507,266,203,2123,6485,2452,2602,3034,3698,6087,2514,128,215,483,1421,1304,643,90,808,340,97,1754,650,504,417,1808,1951,534,215,1120,117,484,2834,310,771,8365,3552,1999,2468,4935,780,1219
17563,1788,909,1554,1731,1087,1667,1413,1107,1874,2118,2107,19515,2253,1653,1844,1173,1492,938,895,1031,54076,1421,1504,8280,2326,1667,3628,5652,835,912,5358,17562,7162,3659,2012,1497,1662,1070,3707,9376,330,211,2243,6911,2720,2520,3145,3831,7024,2636,154,180,576,1658,1402,631,94,811,350,156,1921,675,537,442,1946,2206,627,235,1285,118,490,3053,361,932,9305,4289,2207,2712,5103,850,1335
17591,1540,770,1290,1446,939,1274,1237,907,1615,1964,1746,17362,2026,1440,1726,1043,1403,708,769,806,47081,1230,1444,7064,1948,1429,3332,5027,720,687,4529,14737,6156,2945,1828,1481,1495,863,2945,7566,250,144,1868,5766,2201,2359,3025,3704,6306,2488,168,157,427,1408,1210,610,113,772,375,122,1561,642,569,394,1674,1803,461,191,1026,88,460,2495,282,781,8150,3453,1961,2335,4443,776,1121
17622,1429,747,1296,1424,932,1273,1124,942,1653,1915,1729,16925,1956,1276,1474,1133,1222,775,783,822,45757,1250,1399,6208,1963,1381,3304,4764,595,702,4357,14554,5918,3109,1742,1328,1349,837,2736,7939,311,175,1967,5730,2261,2346,3031,3777,5769,2401,146,166,481,1387,1327,689,80,826,294,129,1594,701,534,386,1652,1821,521,232,1139,103,458,2589,297,777,7695,3408,1961,2466,4582,836,1107
17652,2182,1157,1743,1930,1256,2129,1656,1311,2381,2607,2258,23620,2941,1692,1975,1503,1730,1013,1071,1261,66644,1497,2023,7970,2804,2034,4031,6098,837,966,5789,22486,8651,5216,2135,1915,1849,1598,4593,13093,439,228,2810,9430,3217,3285,3847,4567,7663,3262,207,194,584,1910,1699,915,150,1133,413,145,2529,975,646,558,2401,2799,708,290,1344,143,619,4442,339,1184,10631,4427,2856,3214,6016,1129,1711
17683,2055,1122,1828,1831,1186,2052,1608,1298,2375,2521,2055,22033,2867,1362,1901,1577,1494,1092,981,1060,62121,1319,1760,7708,2487,2008,4001,5641,723,1011,5127,20708,8645,4398,2268,1810,1748,1315,4363,12370,413,256,2793,8330,2892,3117,3797,4513,6851,2981,176,188,618,1943,1519,762,105,1126,354,189,2493,807,483,522,2386,2148,700,362,1374,128,621,3914,350,989,9984,4425,2724,2802,5538,1092,1478
17713,1668,880,1536,1603,1075,1644,1465,1007,1940,2072,2011,18757,2592,1430,1639,1364,1331,996,816,979,51299,1147,1602,7090,2113,1640,3502,5099,617,855,4670,17405,6987,3584,1774,1603,1459,968,3447,10452,325,209,2236,6729,2588,2563,3243,3768,6452,2565,193,177,504,1576,1243,661,88,859,302,175,1873,636,530,473,2193,1941,595,299,1251,137,550,3259,357,852,8488,3820,2012,2353,4740,794,1242
17744,1515,858,1339,1665,937,1638,1235,1038,1825,1929,1862,17988,2333,1382,1727,1164,1348,837,784,913,50185,1291,1554,6688,2170,1531,3382,4914,596,820,4932,16862,6689,3198,1887,1389,1462,754,3137,8915,241,174,2159,6247,2204,2459,2978,3655,5985,2450,146,188,494,1580,1217,610,71,877,313,100,1875,698,458,396,1966,1964,604,232,1011,99,437,2843,327,808,8085,3606,2092,2447,4605,875,1271
17775,2026,940,1702,1770,1220,1880,1476,1122,2135,2581,2304,21503,2625,1569,1921,1418,1765,1013,945,1045,62892,1453,1784,8139,2479,1735,4183,6178,834,920,6394,20839,7617,3770,2132,1675,1766,1048,3583,9868,362,167,2525,7691,2638,2875,3553,4224,6997,2958,184,200,626,1792,1521,724,109,1005,402,139,2271,808,629,453,2259,2080,583,286,1172,146,522,3441,412,896,10482,4416,2372,2913,5429,1027,1365
