Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Moscow,Komi Republic,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Moscow Oblast,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Belgorod Oblast,Rostov Oblast,Altai Krai,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Bryansk Oblast,Tomsk District,Amur Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Vladimir Oblast,Khabarovsk Krai,The Kabardino-Balkar Republic,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Voronezh Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
17501,1.11e-4,3.43e-5,7.42e-5,1.55e-4,6e-5,1.14e-4,1.27e-4,3.79e-5,1.39e-4,9e-5,3.8e-5,1.44e-4,2.13e-4,1.91e-5,3.31e-5,3.2e-4,2.77e-5,4.77e-5,4.04e-5,7.14e-5,4.8e-4,3.49e-5,5.02e-5,6.7e-5,1.11e-4,8.89e-5,6.6e-5,4.1e-5,1.48e-5,9.4e-5,8.8e-5,3.3e-4,1.35e-4,7.1e-5,2.68e-5,1.006e-4,1.7e-5,4.69e-5,6.2e-5,1.11e-4,5.35e-5,4.63e-5,2.18e-4,7.4e-5,2.14e-4,1.34e-4,3.19e-4,2.61e-4,2.85e-4,1.52e-4,2.59e-4,4.9e-4,3.42e-4,2.45e-5,2.68e-4,9.6e-5,1.12e-4,1.8e-5,4.97e-4,2.37e-4,1.51e-4,4.34e-5,8.2e-4,4.7e-4,1.13e-4,1.11e-4,1.807e-4,0,3.6e-5,2.4e-5,6e-5,4.51e-5,1.59e-4,9.5e-5,1.99e-4,1.64e-4,2.42e-4,4.07e-4,8.3e-5,3.5e-4,5.9e-5
17532,1.81e-4,1.17e-5,6.8e-5,1.79e-4,6.7e-5,7.8e-5,1.25e-4,6.13e-5,7.7e-5,1.03e-4,8.2e-5,1.25e-4,1.44e-4,7.3e-6,3.42e-5,2.6e-4,5.47e-5,4.3e-5,2.31e-5,1.89e-5,4.1e-4,6.95e-5,1.62e-5,5.5e-5,8.4e-5,5.96e-5,9.3e-5,4.6e-5,1.52e-5,3.42e-5,1.07e-4,3.1e-4,8.5e-5,7.6e-5,6.183e-5,6.86e-5,2.83e-5,2.31e-5,6e-5,1.09e-4,6.73e-5,1.418e-4,1.36e-4,6.8e-5,2.13e-4,1.38e-4,3.78e-4,2.89e-4,3.09e-4,1.76e-4,2.72e-4,2.47e-4,1.7e-4,3.14e-5,2.19e-4,8.2e-5,0,4.1e-5,2.5e-4,6.1e-5,1.35e-4,7.36e-5,4.2e-4,3.1e-4,1.05e-4,9.9e-5,4.72e-5,1.26e-5,8.5e-5,2.5e-5,0,5.99e-5,1.55e-4,1.31e-4,2.12e-4,1.23e-4,1.99e-4,3.28e-4,1.23e-4,3.5e-4,1.43e-4
17563,2.61e-4,1.07e-5,7.23e-5,2.19e-4,1.3e-4,8.4e-5,1.57e-4,1.156e-4,1.69e-4,1.24e-4,8.8e-5,1.78e-4,2.09e-4,4.04e-5,1.42e-5,2.9e-4,3.16e-5,8.23e-5,2.44e-5,4.61e-5,4.6e-4,6.61e-5,1.5e-5,5.1e-5,1.09e-4,7.18e-5,1.08e-4,5.6e-5,7.95e-5,3.55e-5,1.18e-4,3.4e-4,1.33e-4,7.8e-5,5.277e-5,1.496e-4,1e-5,3.42e-5,8.7e-5,1.04e-4,7.28e-5,4.33e-5,1.95e-4,6.5e-5,2.68e-4,1.57e-4,4.48e-4,3.41e-4,3.95e-4,1.69e-4,4.18e-4,1.45e-4,3.46e-4,5.04e-5,2.94e-4,7.3e-5,0,7.3e-5,2.33e-4,1.06e-4,8.5e-5,7.31e-5,4.3e-4,4.6e-4,9.6e-5,1.29e-4,2.32e-5,1.052e-4,4.9e-5,1.39e-4,3.69e-5,4.67e-5,1.18e-4,1.28e-4,2.67e-4,1.54e-4,2.92e-4,4.78e-4,1.11e-4,2.7e-4,1.04e-4
17591,2.18e-4,2.75e-5,1.079e-4,1.64e-4,8.4e-5,1.09e-4,8.5e-5,8.18e-5,1.66e-4,1.37e-4,9e-5,2.11e-4,2.82e-4,2.14e-5,4.79e-5,4e-4,6.76e-5,6.02e-5,6.83e-5,5.04e-5,5e-4,1.285e-4,4.54e-5,4.6e-5,1.31e-4,7.39e-5,1.29e-4,5.2e-5,3.55e-5,6.45e-5,1.27e-4,3.9e-4,1.5e-4,7.2e-5,4.262e-5,7.01e-5,2.18e-5,4.28e-5,6.3e-5,1.32e-4,6.95e-5,4.9e-5,2.96e-4,7.2e-5,2.56e-4,2.22e-4,5.87e-4,3.29e-4,3.8e-4,3.45e-4,7.18e-4,3.99e-4,3.84e-4,2.68e-5,4.19e-4,4.8e-5,0,1.25e-4,2e-4,3.65e-4,1.64e-4,5.45e-5,4.8e-4,5.2e-4,1.2e-4,1.4e-4,1.746e-4,5.44e-5,1.3e-4,1.84e-4,3.08e-5,5.94e-5,1.53e-4,2.22e-4,3.21e-4,1.51e-4,3.28e-4,5.64e-4,1.61e-4,5.7e-4,8.3e-5
17622,1.5e-4,9.4e-5,1.337e-4,2.11e-4,1.41e-4,1.55e-4,1.62e-4,1.076e-4,1.28e-4,1.35e-4,7.4e-5,2.22e-4,2.93e-4,1.49e-5,9.44e-5,4.4e-4,4.94e-5,2.27e-5,6.05e-5,5.59e-5,6.3e-4,2.13e-5,3.2e-5,7.4e-5,2.12e-4,9.83e-5,1.76e-4,9.2e-5,7.89e-5,3.93e-5,1.33e-4,4.7e-4,1.8e-4,1.16e-4,1.0287e-4,9.96e-5,3e-5,6.6e-5,8.2e-5,1.42e-4,7.69e-5,8.27e-5,2.59e-4,9e-5,4.23e-4,2.62e-4,0.001033,5.05e-4,6.1e-4,5.45e-4,9.88e-4,1.07e-4,3.32e-4,5.61e-5,5.77e-4,5.9e-5,2.98e-4,8e-5,2.76e-4,2.7e-5,1.76e-4,4.14e-5,7.2e-4,5.9e-4,1.37e-4,1.56e-4,8.55e-5,1.555e-4,7.4e-5,2.6e-5,5.36e-5,6.79e-5,1.87e-4,1.96e-4,4.13e-4,2.38e-4,4.82e-4,6.86e-4,2.05e-4,6.4e-4,1.03e-4
17652,2.78e-4,9.47e-5,1.996e-4,2.62e-4,1.33e-4,1.93e-4,1.76e-4,1.015e-4,1.72e-4,1.19e-4,9.3e-5,2.59e-4,3.06e-4,2.77e-5,1.007e-4,3.7e-4,7.06e-5,1.267e-4,1.9e-5,5.6e-5,9e-4,7.72e-5,8.06e-5,1e-4,2.88e-4,1.418e-4,3.2e-4,1.13e-4,3.38e-5,1.287e-4,2.3e-4,6.9e-4,3.03e-4,1.33e-4,4.56e-5,1.987e-4,3.73e-5,7.1e-5,9.4e-5,1.54e-4,2.7e-5,1.688e-4,3.7e-4,1.17e-4,6.56e-4,3.16e-4,0.001666,5.81e-4,9.21e-4,7.26e-4,0.001702,0.001079,7.53e-4,5.59e-5,9.98e-4,1.19e-4,2.33e-4,1.81e-4,3.08e-4,1.62e-4,1.58e-4,1.707e-4,0.00103,0.00107,1.74e-4,2.12e-4,1.114e-4,2.65e-4,1.5e-4,3.27e-4,8.18e-5,1.293e-4,4.61e-4,2.93e-4,6.63e-4,2.12e-4,6.68e-4,9.42e-4,2.71e-4,0.00102,1.63e-4
17683,4.88e-4,2.006e-4,2.1e-4,2.48e-4,1.24e-4,1.55e-4,1.67e-4,1.153e-4,2.79e-4,1.34e-4,9.3e-5,2.72e-4,3.74e-4,3.85e-5,5.63e-5,5e-4,9.35e-5,1.392e-4,4.81e-5,9.47e-5,0.0012,8.33e-5,5.92e-5,1.18e-4,2.52e-4,1.446e-4,2.28e-4,1.36e-4,1.172e-4,6.32e-5,2.78e-4,8.8e-4,2.69e-4,1.46e-4,5.514e-5,1.399e-4,3.41e-5,6.35e-5,8.1e-5,1.92e-4,1.541e-4,3.91e-4,3.59e-4,1.45e-4,7.01e-4,3.42e-4,0.001532,5.71e-4,0.001004,9.96e-4,0.001329,8.55e-4,7.88e-4,4.23e-5,0.001,9.5e-5,2.62e-4,2.22e-4,5.45e-4,3.74e-4,2.13e-4,2.538e-4,0.00105,0.00125,1.95e-4,2.74e-4,1.264e-4,1.339e-4,1.69e-4,4.9e-4,4.34e-5,1.135e-4,4.69e-4,4.47e-4,6.55e-4,2.63e-4,6.53e-4,8.54e-4,2.46e-4,8.6e-4,1.55e-4
17713,2.62e-4,5.46e-5,7.41e-5,1.92e-4,2.05e-4,1.68e-4,2.07e-4,7.42e-5,1.39e-4,1.29e-4,9.8e-5,2.61e-4,3.53e-4,2.82e-5,3.95e-5,3.2e-4,7.32e-5,1.596e-4,7.11e-5,8e-5,0.001,6.45e-5,8.19e-5,7.6e-5,1.83e-4,2.051e-4,1.5e-4,9.5e-5,1.16e-5,6.76e-5,1.87e-4,7e-4,2.19e-4,8.3e-5,6.418e-5,1.255e-4,2.61e-5,3.44e-5,1.1e-4,1.88e-4,1.962e-4,2.618e-4,2.99e-4,1.2e-4,3.78e-4,4.18e-4,7.09e-4,3.45e-4,6.89e-4,4.9e-4,0.0011,2.96e-4,7.01e-4,7.22e-5,5.17e-4,1.49e-4,3.9e-5,8.5e-5,4.69e-4,2.04e-4,1.84e-4,7.35e-5,0.00131,0.00126,1.39e-4,2.22e-4,1.069e-4,1.653e-4,1.33e-4,3.59e-4,9.3e-5,5.24e-5,3.71e-4,3.31e-4,5.12e-4,2.45e-4,6.58e-4,6.27e-4,1.59e-4,5.3e-4,1.19e-4
17744,1.18e-4,4.49e-5,9.13e-5,1.98e-4,1.09e-4,9.1e-5,1.37e-4,5.14e-5,1.05e-4,9.6e-5,5.2e-5,1.63e-4,2.37e-4,3.76e-5,3.92e-5,4.4e-4,1.7e-5,7.38e-5,4.22e-5,3.05e-5,6.7e-4,3.98e-5,3.56e-5,6.1e-5,1.09e-4,9.84e-5,6.1e-5,3.3e-5,9.9e-6,3.18e-5,1.19e-4,5.1e-4,1.3e-4,6.4e-5,2.11e-5,4.26e-5,8.6e-6,4.66e-5,6e-5,1.32e-4,6.11e-5,1.663e-4,2.21e-4,1.18e-4,2.33e-4,2.25e-4,3.05e-4,2.15e-4,4.05e-4,1.41e-4,4.64e-4,6.55e-4,1.89e-4,4.08e-5,1.99e-4,1.27e-4,1.07e-4,4.4e-5,5.3e-4,1.15e-4,9.8e-5,1.001e-4,0.00121,6.5e-4,8.6e-5,1.94e-4,7.69e-5,1.29e-5,7.8e-5,4.9e-5,6.4e-5,4.01e-5,4.86e-4,8.5e-5,2.95e-4,2.23e-4,3.62e-4,3.69e-4,1.06e-4,5.4e-4,1.12e-4
17775,1.41e-4,4.87e-5,6.26e-5,1.13e-4,7.8e-5,1.02e-4,6.3e-5,4.69e-5,1.02e-4,8e-5,6.9e-5,1.33e-4,1.83e-4,2.84e-5,2.46e-5,2.1e-4,4.47e-5,3.2e-5,2.94e-5,2.91e-5,5.3e-4,2.94e-5,2.82e-5,5.4e-5,7.3e-5,8.46e-5,7.4e-5,3.6e-5,2.98e-5,2.72e-5,1.01e-4,3.7e-4,1.49e-4,7.3e-5,3.213e-5,5.25e-5,1.69e-5,4.67e-5,3.8e-5,1.27e-4,1.47e-4,7.03e-5,1.27e-4,1.28e-4,2.42e-4,2.02e-4,2.33e-4,2.78e-4,3.08e-4,1.01e-4,4.82e-4,6.76e-4,1.75e-4,2.49e-5,1.92e-4,1.15e-4,0,8.6e-5,3.59e-4,0,1.16e-4,3.06e-5,7.9e-4,6.5e-4,8.1e-5,1.9e-4,5.54e-5,1.386e-4,5.5e-5,4.4e-5,1.55e-5,5.42e-5,3.9e-4,1.16e-4,1.73e-4,1.33e-4,2.2e-4,3.78e-4,7e-5,3.5e-4,7.5e-5
