Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «айлык», по месяцам, 31.12.2017 — 30.01.2025, Республика Башкортостан, все устройства
декабрь 2017;48;0,0000303;
январь 2018;34;0,0000221;
февраль 2018;40;0,0000237;
март 2018;13;0,0000084;
апрель 2018;8;0,0000053;
май 2018;6;0,0000044;
июнь 2018;14;0,0000110;
июль 2018;9;0,0000066;
август 2018;24;0,0000157;
сентябрь 2018;51;0,0000282;
октябрь 2018;67;0,0000396;
ноябрь 2018;19;0,0000114;
декабрь 2018;32;0,0000189;
январь 2019;40;0,0000241;
февраль 2019;58;0,0000336;
март 2019;19;0,0000117;
апрель 2019;17;0,0000110;
май 2019;9;0,0000065;
июнь 2019;10;0,0000072;
июль 2019;22;0,0000154;
август 2019;8;0,0000051;
сентябрь 2019;16;0,0000088;
октябрь 2019;24;0,0000130;
ноябрь 2019;40;0,0000212;
декабрь 2019;27;0,0000140;
январь 2020;60;0,0000326;
февраль 2020;26;0,0000131;
март 2020;38;0,0000140;
апрель 2020;32;0,0000142;
май 2020;45;0,0000252;
июнь 2020;30;0,0000181;
июль 2020;4;0,0000023;
август 2020;83;0,0000418;
сентябрь 2020;23;0,0000103;
октябрь 2020;50;0,0000196;
ноябрь 2020;11;0,0000046;
декабрь 2020;19;0,0000087;
январь 2021;20;0,0000093;
февраль 2021;30;0,0000126;
март 2021;25;0,0000110;
апрель 2021;13;0,0000062;
май 2021;13;0,0000064;
июнь 2021;17;0,0000084;
июль 2021;13;0,0000062;
август 2021;23;0,0000101;
сентябрь 2021;27;0,0000109;
октябрь 2021;23;0,0000092;
ноябрь 2021;40;0,0000154;
декабрь 2021;12;0,0000048;
январь 2022;56;0,0000222;
февраль 2022;26;0,0000094;
март 2022;21;0,0000081;
апрель 2022;35;0,0000139;
май 2022;14;0,0000062;
июнь 2022;13;0,0000062;
июль 2022;29;0,0000137;
август 2022;20;0,0000081;
сентябрь 2022;25;0,0000094;
октябрь 2022;36;0,0000132;
ноябрь 2022;11;0,0000039;
декабрь 2022;29;0,0000107;
январь 2023;27;0,0000107;
февраль 2023;37;0,0000135;
март 2023;96;0,0000385;
апрель 2023;215;0,0000887;
май 2023;120;0,0000549;
июнь 2023;15;0,0000070;
июль 2023;15;0,0000071;
август 2023;20;0,0000085;
сентябрь 2023;26;0,0000098;
октябрь 2023;62;0,0000237;
ноябрь 2023;66;0,0000246;
декабрь 2023;101;0,0000385;
январь 2024;99;0,0000405;
февраль 2024;94;0,0000374;
март 2024;69;0,0000300;
апрель 2024;63;0,0000276;
май 2024;40;0,0000205;
июнь 2024;9;0,0000045;
июль 2024;25;0,0000127;
август 2024;12;0,0000057;
сентябрь 2024;65;0,0000269;
октябрь 2024;66;0,0000261;
ноябрь 2024;65;0,0000249;
декабрь 2024;83;0,0000327;
