Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «айлык», по месяцам, 31.12.2017 — 30.01.2025, Самарская область, все устройства
декабрь 2017;0;0;
январь 2018;15;0,00000899;
февраль 2018;40;0,00001989;
март 2018;0;0;
апрель 2018;2;0,00000111;
май 2018;2;0,00000118;
июнь 2018;5;0,00000284;
июль 2018;0;0;
август 2018;2;0,00000099;
сентябрь 2018;16;0,00000696;
октябрь 2018;17;0,00000795;
ноябрь 2018;8;0,00000371;
декабрь 2018;7;0,00000319;
январь 2019;4;0,00000186;
февраль 2019;12;0,00000540;
март 2019;17;0,00000810;
апрель 2019;11;0,00000545;
май 2019;1;0,00000054;
июнь 2019;6;0,00000325;
июль 2019;7;0,00000368;
август 2019;14;0,00000690;
сентябрь 2019;6;0,00000279;
октябрь 2019;4;0,00000190;
ноябрь 2019;2;0,00000094;
декабрь 2019;5;0,00000236;
январь 2020;8;0,00000390;
февраль 2020;5;0,00000219;
март 2020;7;0,00000242;
апрель 2020;13;0,00000529;
май 2020;5;0,00000268;
июнь 2020;3;0,00000187;
июль 2020;3;0,00000182;
август 2020;3;0,00000165;
сентябрь 2020;1;0,00000049;
октябрь 2020;0;0;
ноябрь 2020;4;0,00000178;
декабрь 2020;0;0;
январь 2021;1;0,00000052;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;0;0;
май 2021;1;0,00000050;
июнь 2021;2;0,00000104;
июль 2021;2;0,00000102;
август 2021;0;0;
сентябрь 2021;4;0,00000171;
октябрь 2021;1;0,00000042;
ноябрь 2021;2;0,00000085;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;0;0;
март 2022;6;0,00000256;
апрель 2022;0;0;
май 2022;3;0,00000144;
июнь 2022;5;0,00000247;
июль 2022;1;0,00000049;
август 2022;4;0,00000175;
сентябрь 2022;6;0,00000245;
октябрь 2022;3;0,00000120;
ноябрь 2022;1;0,00000039;
декабрь 2022;14;0,00000565;
январь 2023;3;0,00000132;
февраль 2023;2;0,00000081;
март 2023;2;0,00000087;
апрель 2023;4;0,00000177;
май 2023;8;0,00000390;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;2;0,00000093;
сентябрь 2023;0;0;
октябрь 2023;4;0,00000170;
ноябрь 2023;1;0,00000041;
декабрь 2023;7;0,00000293;
январь 2024;21;0,00000934;
февраль 2024;0;0;
март 2024;3;0,00000140;
апрель 2024;3;0,00000142;
май 2024;4;0,00000217;
июнь 2024;0;0;
июль 2024;1;0,00000054;
август 2024;1;0,00000052;
сентябрь 2024;4;0,00000178;
октябрь 2024;0;0;
ноябрь 2024;1;0,00000041;
декабрь 2024;0;0;
