Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «айлык», по месяцам, 31.12.2017 — 30.01.2025, Москва и область, кроме Москва, все устройства
декабрь 2017;30;0,0000068;
январь 2018;12;0,0000028;
февраль 2018;27;0,0000056;
март 2018;23;0,0000054;
апрель 2018;14;0,0000033;
май 2018;10;0,0000025;
июнь 2018;8;0,0000019;
июль 2018;20;0,0000048;
август 2018;19;0,0000040;
сентябрь 2018;13;0,0000024;
октябрь 2018;20;0,0000039;
ноябрь 2018;29;0,0000058;
декабрь 2018;31;0,0000059;
январь 2019;25;0,0000048;
февраль 2019;18;0,0000032;
март 2019;21;0,0000041;
апрель 2019;22;0,0000045;
май 2019;22;0,0000048;
июнь 2019;30;0,0000065;
июль 2019;10;0,0000021;
август 2019;20;0,0000041;
сентябрь 2019;21;0,0000038;
октябрь 2019;58;0,0000106;
ноябрь 2019;30;0,0000053;
декабрь 2019;74;0,0000129;
январь 2020;68;0,0000122;
февраль 2020;36;0,0000057;
март 2020;24;0,0000030;
апрель 2020;27;0,0000036;
май 2020;25;0,0000042;
июнь 2020;12;0,0000022;
июль 2020;22;0,0000041;
август 2020;17;0,0000029;
сентябрь 2020;14;0,0000020;
октябрь 2020;18;0,0000025;
ноябрь 2020;11;0,0000016;
декабрь 2020;13;0,0000020;
январь 2021;11;0,0000018;
февраль 2021;17;0,0000025;
март 2021;23;0,0000032;
апрель 2021;28;0,0000035;
май 2021;10;0,0000013;
июнь 2021;11;0,0000017;
июль 2021;13;0,0000020;
август 2021;57;0,0000072;
сентябрь 2021;30;0,0000035;
октябрь 2021;32;0,0000036;
ноябрь 2021;15;0,0000017;
декабрь 2021;37;0,0000040;
январь 2022;43;0,0000049;
февраль 2022;38;0,0000038;
март 2022;40;0,0000043;
апрель 2022;39;0,0000043;
май 2022;24;0,0000029;
июнь 2022;28;0,0000034;
июль 2022;32;0,0000038;
август 2022;27;0,0000029;
сентябрь 2022;48;0,0000051;
октябрь 2022;30;0,0000032;
ноябрь 2022;36;0,0000038;
декабрь 2022;31;0,0000033;
январь 2023;25;0,0000029;
февраль 2023;24;0,0000025;
март 2023;29;0,0000034;
апрель 2023;37;0,0000044;
май 2023;20;0,0000025;
июнь 2023;23;0,0000029;
июль 2023;15;0,0000019;
август 2023;16;0,0000020;
сентябрь 2023;25;0,0000029;
октябрь 2023;15;0,0000017;
ноябрь 2023;16;0,0000018;
декабрь 2023;22;0,0000025;
январь 2024;20;0,0000024;
февраль 2024;21;0,0000024;
март 2024;27;0,0000034;
апрель 2024;29;0,0000036;
май 2024;9;0,0000012;
июнь 2024;18;0,0000024;
июль 2024;28;0,0000038;
август 2024;30;0,0000039;
сентябрь 2024;15;0,0000018;
октябрь 2024;17;0,0000020;
ноябрь 2024;28;0,0000032;
декабрь 2024;26;0,0000029;
