Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «айлык», по месяцам, 31.12.2017 — 30.01.2025, Республика Тыва, все устройства
декабрь 2017;0;0;
январь 2018;2;0,0000412;
февраль 2018;1;0,0000182;
март 2018;1;0,0000210;
апрель 2018;3;0,0000644;
май 2018;1;0,0000245;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;5;0,0001057;
сентябрь 2018;1;0,0000178;
октябрь 2018;10;0,0001793;
ноябрь 2018;5;0,0000877;
декабрь 2018;1;0,0000177;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;3;0,0000546;
май 2019;7;0,0001476;
июнь 2019;8;0,0001723;
июль 2019;11;0,0002375;
август 2019;5;0,0000948;
сентябрь 2019;13;0,0002085;
октябрь 2019;2;0,0000303;
ноябрь 2019;9;0,0001218;
декабрь 2019;3;0,0000405;
январь 2020;19;0,0002748;
февраль 2020;10;0,0001270;
март 2020;3;0,0000277;
апрель 2020;6;0,0000606;
май 2020;2;0,0000238;
июнь 2020;9;0,0001288;
июль 2020;9;0,0001344;
август 2020;8;0,0001010;
сентябрь 2020;3;0,0000313;
октябрь 2020;2;0,0000187;
ноябрь 2020;5;0,0000471;
декабрь 2020;2;0,0000210;
январь 2021;12;0,0001407;
февраль 2021;3;0,0000322;
март 2021;9;0,0000920;
апрель 2021;4;0,0000424;
май 2021;3;0,0000354;
июнь 2021;5;0,0000617;
июль 2021;8;0,0001002;
август 2021;8;0,0000858;
сентябрь 2021;4;0,0000376;
октябрь 2021;8;0,0000690;
ноябрь 2021;2;0,0000162;
декабрь 2021;7;0,0000595;
январь 2022;7;0,0000565;
февраль 2022;4;0,0000314;
март 2022;3;0,0000256;
апрель 2022;0;0;
май 2022;6;0,0000638;
июнь 2022;8;0,0000891;
июль 2022;6;0,0000680;
август 2022;10;0,0000922;
сентябрь 2022;1;0,0000081;
октябрь 2022;9;0,0000690;
ноябрь 2022;10;0,0000723;
декабрь 2022;11;0,0000843;
январь 2023;11;0,0000962;
февраль 2023;12;0,0000915;
март 2023;8;0,0000622;
апрель 2023;18;0,0001452;
май 2023;13;0,0001305;
июнь 2023;19;0,0001995;
июль 2023;14;0,0001472;
август 2023;11;0,0000968;
сентябрь 2023;14;0,0001088;
октябрь 2023;5;0,0000379;
ноябрь 2023;4;0,0000278;
декабрь 2023;23;0,0001703;
январь 2024;9;0,0000723;
февраль 2024;10;0,0000793;
март 2024;10;0,0000812;
апрель 2024;6;0,0000530;
май 2024;13;0,0001439;
июнь 2024;9;0,0001011;
июль 2024;14;0,0001605;
август 2024;15;0,0001432;
сентябрь 2024;5;0,0000406;
октябрь 2024;8;0,0000605;
ноябрь 2024;12;0,0000840;
декабрь 2024;16;0,0001184;
