Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «айлык», по месяцам, 31.12.2017 — 30.01.2025, Карачаево-Черкесская Республика, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;1;0,0000123;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;1;0,0000166;
февраль 2019;1;0,0000153;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;2;0,0000254;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;1;0,0000139;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;1;0,0000117;
январь 2021;1;0,0000125;
февраль 2021;0;0;
март 2021;1;0,0000102;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;3;0,0000221;
февраль 2022;1;0,0000070;
март 2022;0;0;
апрель 2022;1;0,0000076;
май 2022;0;0;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;7;0,0000455;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;1;0,0000071;
октябрь 2023;2;0,0000141;
ноябрь 2023;0;0;
декабрь 2023;1;0,0000067;
январь 2024;0;0;
февраль 2024;2;0,0000144;
март 2024;0;0;
апрель 2024;2;0,0000155;
май 2024;0;0;
июнь 2024;1;0,0000087;
июль 2024;1;0,0000089;
август 2024;1;0,0000084;
сентябрь 2024;0;0;
октябрь 2024;2;0,0000146;
ноябрь 2024;1;0,0000067;
декабрь 2024;0;0;
