Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «айлык», по месяцам, 31.12.2017 — 30.01.2025, Ямало-Ненецкий автономный округ, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;7;0,0000313;
май 2018;4;0,0000240;
июнь 2018;5;0,0000326;
июль 2018;2;0,0000126;
август 2018;3;0,0000139;
сентябрь 2018;0;0;
октябрь 2018;3;0,0000120;
ноябрь 2018;6;0,0000246;
декабрь 2018;1;0,0000040;
январь 2019;0;0;
февраль 2019;5;0,0000194;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;3;0,0000187;
июль 2019;5;0,0000297;
август 2019;3;0,0000136;
сентябрь 2019;0;0;
октябрь 2019;1;0,0000037;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;1;0,0000027;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;1;0,0000046;
август 2020;2;0,0000072;
сентябрь 2020;10;0,0000296;
октябрь 2020;0;0;
ноябрь 2020;1;0,0000028;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;3;0,0000089;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;1;0,0000030;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;3;0,0000073;
февраль 2022;1;0,0000023;
март 2022;2;0,0000048;
апрель 2022;0;0;
май 2022;1;0,0000032;
июнь 2022;1;0,0000036;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;3;0,0000072;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;3;0,0000069;
январь 2023;3;0,0000074;
февраль 2023;0;0;
март 2023;1;0,0000023;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;3;0,0000086;
сентябрь 2023;0;0;
октябрь 2023;7;0,0000174;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;1;0,0000025;
февраль 2024;0;0;
март 2024;1;0,0000025;
апрель 2024;1;0,0000027;
май 2024;0;0;
июнь 2024;2;0,0000080;
июль 2024;0;0;
август 2024;1;0,0000031;
сентябрь 2024;2;0,0000052;
октябрь 2024;0;0;
ноябрь 2024;10;0,0000246;
декабрь 2024;0;0;
