Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Тамбовская область, все устройства
декабрь 2017;16;0,000046;
январь 2018;13;0,000037;
февраль 2018;26;0,000069;
март 2018;18;0,000054;
апрель 2018;33;0,000104;
май 2018;62;0,000209;
июнь 2018;25;0,000082;
июль 2018;28;0,000094;
август 2018;8;0,000022;
сентябрь 2018;17;0,000042;
октябрь 2018;15;0,000040;
ноябрь 2018;15;0,000039;
декабрь 2018;25;0,000061;
январь 2019;31;0,000079;
февраль 2019;28;0,000067;
март 2019;37;0,000100;
апрель 2019;32;0,000092;
май 2019;33;0,000104;
июнь 2019;53;0,000159;
июль 2019;26;0,000079;
август 2019;24;0,000067;
сентябрь 2019;18;0,000044;
октябрь 2019;30;0,000073;
ноябрь 2019;29;0,000067;
декабрь 2019;27;0,000061;
январь 2020;41;0,000095;
февраль 2020;22;0,000048;
март 2020;7;0,000011;
апрель 2020;6;0,000011;
май 2020;7;0,000017;
июнь 2020;4;0,000010;
июль 2020;5;0,000012;
август 2020;65;0,000150;
сентябрь 2020;20;0,000039;
октябрь 2020;9;0,000016;
ноябрь 2020;30;0,000057;
декабрь 2020;16;0,000031;
январь 2021;35;0,000069;
февраль 2021;38;0,000069;
март 2021;24;0,000043;
апрель 2021;31;0,000056;
май 2021;40;0,000078;
июнь 2021;36;0,000076;
июль 2021;38;0,000078;
август 2021;31;0,000055;
сентябрь 2021;18;0,000028;
октябрь 2021;21;0,000033;
ноябрь 2021;19;0,000029;
декабрь 2021;35;0,000054;
январь 2022;28;0,000044;
февраль 2022;63;0,000091;
март 2022;70;0,000110;
апрель 2022;80;0,000126;
май 2022;114;0,000206;
июнь 2022;101;0,000181;
июль 2022;74;0,000134;
август 2022;113;0,000179;
сентябрь 2022;63;0,000092;
октябрь 2022;64;0,000093;
ноябрь 2022;39;0,000055;
декабрь 2022;32;0,000046;
январь 2023;52;0,000082;
февраль 2023;59;0,000086;
март 2023;40;0,000064;
апрель 2023;57;0,000093;
май 2023;67;0,000119;
июнь 2023;71;0,000126;
июль 2023;74;0,000137;
август 2023;40;0,000069;
сентябрь 2023;24;0,000036;
октябрь 2023;18;0,000027;
ноябрь 2023;33;0,000050;
декабрь 2023;41;0,000061;
январь 2024;20;0,000032;
февраль 2024;52;0,000083;
март 2024;49;0,000085;
апрель 2024;44;0,000077;
май 2024;21;0,000042;
июнь 2024;32;0,000064;
июль 2024;36;0,000071;
август 2024;25;0,000047;
сентябрь 2024;26;0,000043;
октябрь 2024;23;0,000036;
ноябрь 2024;34;0,000052;
декабрь 2024;23;0,000035;
