Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург, все устройства
декабрь 2017;913;0,000196;
январь 2018;876;0,000182;
февраль 2018;1 085;0,000212;
март 2018;1 061;0,000227;
апрель 2018;1 111;0,000244;
май 2018;1 294;0,000298;
июнь 2018;1 402;0,000330;
июль 2018;1 427;0,000329;
август 2018;1 010;0,000205;
сентябрь 2018;888;0,000155;
октябрь 2018;949;0,000183;
ноябрь 2018;1 019;0,000197;
декабрь 2018;1 073;0,000208;
январь 2019;1 031;0,000204;
февраль 2019;975;0,000181;
март 2019;1 058;0,000210;
апрель 2019;1 161;0,000237;
май 2019;1 284;0,000294;
июнь 2019;1 315;0,000298;
июль 2019;1 102;0,000252;
август 2019;1 043;0,000216;
сентябрь 2019;933;0,000169;
октябрь 2019;947;0,000174;
ноябрь 2019;930;0,000168;
декабрь 2019;956;0,000171;
январь 2020;1 116;0,000201;
февраль 2020;996;0,000173;
март 2020;449;0,000070;
апрель 2020;622;0,000106;
май 2020;981;0,000191;
июнь 2020;598;0,000119;
июль 2020;968;0,000191;
август 2020;2 164;0,000379;
сентябрь 2020;1 263;0,000199;
октябрь 2020;989;0,000147;
ноябрь 2020;1 095;0,000169;
декабрь 2020;1 251;0,000201;
январь 2021;1 446;0,000244;
февраль 2021;1 673;0,000249;
март 2021;1 727;0,000265;
апрель 2021;1 682;0,000294;
май 2021;1 822;0,000325;
июнь 2021;1 688;0,000289;
июль 2021;1 702;0,000270;
август 2021;1 324;0,000214;
сентябрь 2021;1 559;0,000255;
октябрь 2021;1 754;0,000277;
ноябрь 2021;2 127;0,000327;
декабрь 2021;1 291;0,000192;
январь 2022;1 641;0,000239;
февраль 2022;3 527;0,000486;
март 2022;2 973;0,000444;
апрель 2022;3 090;0,000440;
май 2022;2 912;0,000462;
июнь 2022;2 866;0,000499;
июль 2022;2 652;0,000450;
август 2022;6 095;0,001004;
сентябрь 2022;2 908;0,000449;
октябрь 2022;2 562;0,000374;
ноябрь 2022;1 435;0,000224;
декабрь 2022;1 485;0,000244;
январь 2023;1 236;0,000216;
февраль 2023;1 619;0,000252;
март 2023;1 676;0,000280;
апрель 2023;1 951;0,000333;
май 2023;1 871;0,000358;
июнь 2023;1 831;0,000366;
июль 2023;1 487;0,000299;
август 2023;1 199;0,000218;
сентябрь 2023;1 098;0,000181;
октябрь 2023;1 246;0,000207;
ноябрь 2023;1 226;0,000204;
декабрь 2023;1 481;0,000247;
январь 2024;1 532;0,000267;
февраль 2024;1 590;0,000268;
март 2024;1 521;0,000265;
апрель 2024;1 609;0,000295;
май 2024;1 571;0,000328;
июнь 2024;1 458;0,000308;
июль 2024;1 247;0,000267;
август 2024;1 048;0,000206;
сентябрь 2024;1 190;0,000204;
октябрь 2024;929;0,000153;
ноябрь 2024;1 070;0,000172;
декабрь 2024;881;0,000147;
