Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Пензенская область, все устройства
декабрь 2017;69;0,000133;
январь 2018;46;0,000091;
февраль 2018;27;0,000049;
март 2018;53;0,000108;
апрель 2018;53;0,000113;
май 2018;34;0,000077;
июнь 2018;60;0,000135;
июль 2018;32;0,000072;
август 2018;39;0,000076;
сентябрь 2018;45;0,000077;
октябрь 2018;23;0,000043;
ноябрь 2018;40;0,000074;
декабрь 2018;48;0,000086;
январь 2019;48;0,000091;
февраль 2019;43;0,000076;
март 2019;26;0,000051;
апрель 2019;74;0,000154;
май 2019;75;0,000169;
июнь 2019;29;0,000064;
июль 2019;36;0,000079;
август 2019;24;0,000049;
сентябрь 2019;36;0,000064;
октябрь 2019;36;0,000062;
ноябрь 2019;35;0,000057;
декабрь 2019;66;0,000102;
январь 2020;49;0,000079;
февраль 2020;44;0,000066;
март 2020;9;0,000010;
апрель 2020;28;0,000036;
май 2020;108;0,000172;
июнь 2020;55;0,000098;
июль 2020;56;0,000099;
август 2020;47;0,000074;
сентябрь 2020;40;0,000053;
октябрь 2020;74;0,000097;
ноябрь 2020;63;0,000083;
декабрь 2020;43;0,000060;
январь 2021;66;0,000096;
февраль 2021;124;0,000167;
март 2021;100;0,000135;
апрель 2021;120;0,000168;
май 2021;124;0,000180;
июнь 2021;109;0,000174;
июль 2021;117;0,000179;
август 2021;83;0,000113;
сентябрь 2021;56;0,000070;
октябрь 2021;90;0,000107;
ноябрь 2021;76;0,000089;
декабрь 2021;91;0,000107;
январь 2022;66;0,000080;
февраль 2022;142;0,000155;
март 2022;78;0,000092;
апрель 2022;130;0,000153;
май 2022;152;0,000203;
июнь 2022;133;0,000178;
июль 2022;70;0,000096;
август 2022;162;0,000195;
сентябрь 2022;92;0,000103;
октябрь 2022;93;0,000103;
ноябрь 2022;82;0,000090;
декабрь 2022;77;0,000085;
январь 2023;53;0,000063;
февраль 2023;137;0,000152;
март 2023;117;0,000144;
апрель 2023;94;0,000114;
май 2023;134;0,000177;
июнь 2023;177;0,000234;
июль 2023;86;0,000118;
август 2023;66;0,000083;
сентябрь 2023;77;0,000086;
октябрь 2023;50;0,000056;
ноябрь 2023;76;0,000085;
декабрь 2023;99;0,000110;
январь 2024;86;0,000103;
февраль 2024;93;0,000108;
март 2024;69;0,000084;
апрель 2024;96;0,000115;
май 2024;268;0,000369;
июнь 2024;105;0,000148;
июль 2024;104;0,000147;
август 2024;59;0,000082;
сентябрь 2024;54;0,000065;
октябрь 2024;53;0,000063;
ноябрь 2024;51;0,000059;
декабрь 2024;45;0,000052;
