Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Мордовия, все устройства
декабрь 2017;17;0,0000571;
январь 2018;19;0,0000651;
февраль 2018;12;0,0000387;
март 2018;13;0,0000466;
апрель 2018;10;0,0000393;
май 2018;7;0,0000290;
июнь 2018;9;0,0000379;
июль 2018;13;0,0000549;
август 2018;6;0,0000212;
сентябрь 2018;4;0,0000120;
октябрь 2018;11;0,0000366;
ноябрь 2018;4;0,0000130;
декабрь 2018;4;0,0000129;
январь 2019;3;0,0000103;
февраль 2019;3;0,0000096;
март 2019;8;0,0000286;
апрель 2019;3;0,0000112;
май 2019;10;0,0000416;
июнь 2019;6;0,0000254;
июль 2019;15;0,0000635;
август 2019;3;0,0000111;
сентябрь 2019;6;0,0000193;
октябрь 2019;1;0,0000031;
ноябрь 2019;4;0,0000116;
декабрь 2019;6;0,0000172;
январь 2020;15;0,0000433;
февраль 2020;6;0,0000167;
март 2020;0;0;
апрель 2020;10;0,0000241;
май 2020;7;0,0000202;
июнь 2020;7;0,0000234;
июль 2020;7;0,0000233;
август 2020;30;0,0000840;
сентябрь 2020;8;0,0000193;
октябрь 2020;12;0,0000273;
ноябрь 2020;6;0,0000138;
декабрь 2020;19;0,0000470;
январь 2021;5;0,0000127;
февраль 2021;24;0,0000576;
март 2021;9;0,0000216;
апрель 2021;15;0,0000369;
май 2021;28;0,0000755;
июнь 2021;30;0,0000910;
июль 2021;16;0,0000462;
август 2021;16;0,0000394;
сентябрь 2021;12;0,0000270;
октябрь 2021;9;0,0000191;
ноябрь 2021;9;0,0000185;
декабрь 2021;14;0,0000302;
январь 2022;11;0,0000241;
февраль 2022;12;0,0000238;
март 2022;16;0,0000337;
апрель 2022;33;0,0000699;
май 2022;49;0,0001208;
июнь 2022;32;0,0000822;
июль 2022;18;0,0000471;
август 2022;65;0,0001429;
сентябрь 2022;48;0,0000981;
октябрь 2022;16;0,0000319;
ноябрь 2022;17;0,0000334;
декабрь 2022;21;0,0000419;
январь 2023;32;0,0000708;
февраль 2023;20;0,0000405;
март 2023;22;0,0000491;
апрель 2023;33;0,0000727;
май 2023;33;0,0000824;
июнь 2023;33;0,0000849;
июль 2023;13;0,0000348;
август 2023;17;0,0000409;
сентябрь 2023;27;0,0000564;
октябрь 2023;45;0,0000957;
ноябрь 2023;30;0,0000625;
декабрь 2023;37;0,0000790;
январь 2024;46;0,0001057;
февраль 2024;76;0,0001700;
март 2024;15;0,0000361;
апрель 2024;23;0,0000552;
май 2024;26;0,0000742;
июнь 2024;25;0,0000721;
июль 2024;27;0,0000781;
август 2024;17;0,0000457;
сентябрь 2024;13;0,0000301;
октябрь 2024;16;0,0000355;
ноябрь 2024;11;0,0000232;
декабрь 2024;11;0,0000239;
