Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Смоленская область, все устройства
декабрь 2017;48;0,000127;
январь 2018;47;0,000125;
февраль 2018;64;0,000157;
март 2018;31;0,000085;
апрель 2018;58;0,000162;
май 2018;61;0,000176;
июнь 2018;58;0,000167;
июль 2018;71;0,000207;
август 2018;53;0,000137;
сентябрь 2018;28;0,000063;
октябрь 2018;21;0,000052;
ноябрь 2018;24;0,000060;
декабрь 2018;39;0,000093;
январь 2019;52;0,000131;
февраль 2019;54;0,000129;
март 2019;49;0,000128;
апрель 2019;31;0,000083;
май 2019;46;0,000135;
июнь 2019;62;0,000177;
июль 2019;30;0,000087;
август 2019;51;0,000142;
сентябрь 2019;38;0,000092;
октябрь 2019;21;0,000051;
ноябрь 2019;57;0,000133;
декабрь 2019;71;0,000161;
январь 2020;50;0,000118;
февраль 2020;54;0,000116;
март 2020;28;0,000045;
апрель 2020;48;0,000088;
май 2020;54;0,000124;
июнь 2020;25;0,000060;
июль 2020;40;0,000100;
август 2020;50;0,000116;
сентябрь 2020;24;0,000048;
октябрь 2020;43;0,000082;
ноябрь 2020;19;0,000038;
декабрь 2020;69;0,000142;
январь 2021;40;0,000085;
февраль 2021;65;0,000123;
март 2021;47;0,000086;
апрель 2021;41;0,000073;
май 2021;52;0,000100;
июнь 2021;47;0,000100;
июль 2021;57;0,000117;
август 2021;33;0,000060;
сентябрь 2021;36;0,000060;
октябрь 2021;38;0,000062;
ноябрь 2021;22;0,000034;
декабрь 2021;44;0,000069;
январь 2022;56;0,000089;
февраль 2022;94;0,000138;
март 2022;67;0,000101;
апрель 2022;111;0,000176;
май 2022;83;0,000145;
июнь 2022;81;0,000143;
июль 2022;58;0,000104;
август 2022;142;0,000230;
сентябрь 2022;118;0,000178;
октябрь 2022;44;0,000066;
ноябрь 2022;50;0,000075;
декабрь 2022;66;0,000099;
январь 2023;59;0,000096;
февраль 2023;109;0,000163;
март 2023;74;0,000121;
апрель 2023;72;0,000119;
май 2023;43;0,000077;
июнь 2023;93;0,000168;
июль 2023;47;0,000086;
август 2023;47;0,000084;
сентябрь 2023;60;0,000095;
октябрь 2023;49;0,000079;
ноябрь 2023;35;0,000056;
декабрь 2023;60;0,000094;
январь 2024;44;0,000074;
февраль 2024;77;0,000128;
март 2024;81;0,000140;
апрель 2024;51;0,000092;
май 2024;59;0,000120;
июнь 2024;75;0,000152;
июль 2024;38;0,000078;
август 2024;75;0,000146;
сентябрь 2024;37;0,000063;
октябрь 2024;65;0,000109;
ноябрь 2024;53;0,000086;
декабрь 2024;68;0,000110;
