Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Вологодская область, все устройства
декабрь 2017;18;0,0000331;
январь 2018;18;0,0000342;
февраль 2018;8;0,0000142;
март 2018;25;0,0000479;
апрель 2018;46;0,0000944;
май 2018;45;0,0001007;
июнь 2018;25;0,0000563;
июль 2018;18;0,0000395;
август 2018;21;0,0000392;
сентябрь 2018;15;0,0000246;
октябрь 2018;52;0,0000951;
ноябрь 2018;27;0,0000495;
декабрь 2018;25;0,0000445;
январь 2019;14;0,0000261;
февраль 2019;39;0,0000673;
март 2019;25;0,0000464;
апрель 2019;26;0,0000524;
май 2019;50;0,0001116;
июнь 2019;28;0,0000612;
июль 2019;16;0,0000348;
август 2019;20;0,0000405;
сентябрь 2019;12;0,0000210;
октябрь 2019;17;0,0000299;
ноябрь 2019;16;0,0000272;
декабрь 2019;13;0,0000217;
январь 2020;16;0,0000274;
февраль 2020;21;0,0000329;
март 2020;4;0,0000047;
апрель 2020;14;0,0000192;
май 2020;16;0,0000282;
июнь 2020;14;0,0000263;
июль 2020;8;0,0000151;
август 2020;30;0,0000503;
сентябрь 2020;25;0,0000375;
октябрь 2020;21;0,0000295;
ноябрь 2020;31;0,0000461;
декабрь 2020;30;0,0000458;
январь 2021;32;0,0000507;
февраль 2021;39;0,0000570;
март 2021;40;0,0000548;
апрель 2021;64;0,0000873;
май 2021;50;0,0000753;
июнь 2021;43;0,0000740;
июль 2021;38;0,0000623;
август 2021;28;0,0000380;
сентябрь 2021;34;0,0000420;
октябрь 2021;15;0,0000182;
ноябрь 2021;35;0,0000414;
декабрь 2021;26;0,0000307;
январь 2022;32;0,0000384;
февраль 2022;53;0,0000585;
март 2022;54;0,0000625;
апрель 2022;49;0,0000579;
май 2022;43;0,0000583;
июнь 2022;75;0,0001046;
июль 2022;27;0,0000375;
август 2022;120;0,0001458;
сентябрь 2022;76;0,0000864;
октябрь 2022;63;0,0000707;
ноябрь 2022;24;0,0000270;
декабрь 2022;48;0,0000544;
январь 2023;27;0,0000330;
февраль 2023;38;0,0000422;
март 2023;49;0,0000584;
апрель 2023;49;0,0000606;
май 2023;54;0,0000738;
июнь 2023;67;0,0000918;
июль 2023;50;0,0000708;
август 2023;29;0,0000376;
сентябрь 2023;35;0,0000403;
октябрь 2023;44;0,0000521;
ноябрь 2023;38;0,0000447;
декабрь 2023;49;0,0000566;
январь 2024;53;0,0000650;
февраль 2024;53;0,0000630;
март 2024;40;0,0000500;
апрель 2024;83;0,0001087;
май 2024;97;0,0001455;
июнь 2024;64;0,0000978;
июль 2024;43;0,0000654;
август 2024;47;0,0000664;
сентябрь 2024;35;0,0000436;
октябрь 2024;32;0,0000387;
ноябрь 2024;26;0,0000304;
декабрь 2024;56;0,0000659;
