Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Мурманская область, все устройства
декабрь 2017;10;0,0000277;
январь 2018;19;0,0000547;
февраль 2018;12;0,0000316;
март 2018;24;0,0000676;
апрель 2018;17;0,0000494;
май 2018;21;0,0000706;
июнь 2018;25;0,0000935;
июль 2018;21;0,0000732;
август 2018;6;0,0000170;
сентябрь 2018;18;0,0000447;
октябрь 2018;23;0,0000633;
ноябрь 2018;13;0,0000366;
декабрь 2018;11;0,0000298;
январь 2019;7;0,0000203;
февраль 2019;20;0,0000546;
март 2019;34;0,0000974;
апрель 2019;44;0,0001309;
май 2019;29;0,0001004;
июнь 2019;27;0,0000991;
июль 2019;19;0,0000685;
август 2019;16;0,0000488;
сентябрь 2019;16;0,0000425;
октябрь 2019;28;0,0000734;
ноябрь 2019;29;0,0000742;
декабрь 2019;20;0,0000481;
январь 2020;31;0,0000781;
февраль 2020;54;0,0001216;
март 2020;3;0,0000051;
апрель 2020;18;0,0000348;
май 2020;22;0,0000582;
июнь 2020;6;0,0000180;
июль 2020;16;0,0000484;
август 2020;77;0,0001976;
сентябрь 2020;41;0,0000906;
октябрь 2020;16;0,0000342;
ноябрь 2020;9;0,0000198;
декабрь 2020;30;0,0000669;
январь 2021;60;0,0001441;
февраль 2021;45;0,0000982;
март 2021;45;0,0000929;
апрель 2021;66;0,0001299;
май 2021;64;0,0001515;
июнь 2021;36;0,0001022;
июль 2021;26;0,0000712;
август 2021;23;0,0000495;
сентябрь 2021;22;0,0000419;
октябрь 2021;28;0,0000522;
ноябрь 2021;31;0,0000565;
декабрь 2021;17;0,0000303;
январь 2022;36;0,0000665;
февраль 2022;47;0,0000797;
март 2022;35;0,0000617;
апрель 2022;51;0,0000924;
май 2022;66;0,0001431;
июнь 2022;84;0,0001970;
июль 2022;38;0,0000896;
август 2022;103;0,0001986;
сентябрь 2022;37;0,0000649;
октябрь 2022;32;0,0000551;
ноябрь 2022;46;0,0000796;
декабрь 2022;42;0,0000727;
январь 2023;34;0,0000638;
февраль 2023;39;0,0000670;
март 2023;49;0,0000881;
апрель 2023;25;0,0000472;
май 2023;30;0,0000685;
июнь 2023;34;0,0000833;
июль 2023;33;0,0000820;
август 2023;26;0,0000548;
сентябрь 2023;34;0,0000642;
октябрь 2023;20;0,0000374;
ноябрь 2023;23;0,0000424;
декабрь 2023;23;0,0000415;
январь 2024;32;0,0000620;
февраль 2024;54;0,0000992;
март 2024;45;0,0000863;
апрель 2024;39;0,0000796;
май 2024;35;0,0000886;
июнь 2024;43;0,0001165;
июль 2024;22;0,0000589;
август 2024;17;0,0000391;
сентябрь 2024;26;0,0000519;
октябрь 2024;27;0,0000522;
ноябрь 2024;17;0,0000316;
декабрь 2024;15;0,0000281;
