Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Нижегородская область, все устройства
декабрь 2017;160;0,000067;
январь 2018;132;0,000055;
февраль 2018;124;0,000051;
март 2018;99;0,000046;
апрель 2018;146;0,000074;
май 2018;180;0,000100;
июнь 2018;208;0,000118;
июль 2018;144;0,000076;
август 2018;135;0,000061;
сентябрь 2018;144;0,000054;
октябрь 2018;146;0,000065;
ноябрь 2018;102;0,000044;
декабрь 2018;159;0,000062;
январь 2019;136;0,000056;
февраль 2019;164;0,000064;
март 2019;124;0,000051;
апрель 2019;147;0,000064;
май 2019;284;0,000139;
июнь 2019;182;0,000088;
июль 2019;195;0,000097;
август 2019;131;0,000061;
сентябрь 2019;133;0,000054;
октябрь 2019;150;0,000059;
ноябрь 2019;172;0,000063;
декабрь 2019;145;0,000054;
январь 2020;109;0,000042;
февраль 2020;126;0,000046;
март 2020;39;0,000011;
апрель 2020;85;0,000029;
май 2020;143;0,000057;
июнь 2020;123;0,000047;
июль 2020;149;0,000057;
август 2020;244;0,000090;
сентябрь 2020;205;0,000070;
октябрь 2020;111;0,000034;
ноябрь 2020;93;0,000029;
декабрь 2020;107;0,000037;
январь 2021;149;0,000055;
февраль 2021;216;0,000073;
март 2021;165;0,000056;
апрель 2021;197;0,000071;
май 2021;233;0,000087;
июнь 2021;223;0,000082;
июль 2021;192;0,000072;
август 2021;193;0,000067;
сентябрь 2021;119;0,000038;
октябрь 2021;131;0,000042;
ноябрь 2021;90;0,000028;
декабрь 2021;97;0,000031;
январь 2022;123;0,000040;
февраль 2022;279;0,000084;
март 2022;178;0,000056;
апрель 2022;296;0,000091;
май 2022;281;0,000097;
июнь 2022;286;0,000100;
июль 2022;305;0,000105;
август 2022;595;0,000184;
сентябрь 2022;368;0,000106;
октябрь 2022;228;0,000065;
ноябрь 2022;197;0,000057;
декабрь 2022;175;0,000051;
январь 2023;151;0,000047;
февраль 2023;208;0,000060;
март 2023;220;0,000069;
апрель 2023;237;0,000076;
май 2023;299;0,000109;
июнь 2023;282;0,000102;
июль 2023;212;0,000079;
август 2023;173;0,000061;
сентябрь 2023;217;0,000068;
октябрь 2023;228;0,000074;
ноябрь 2023;188;0,000060;
декабрь 2023;205;0,000064;
январь 2024;170;0,000057;
февраль 2024;156;0,000052;
март 2024;192;0,000068;
апрель 2024;214;0,000079;
май 2024;242;0,000104;
июнь 2024;227;0,000098;
июль 2024;189;0,000080;
август 2024;186;0,000073;
сентябрь 2024;138;0,000047;
октябрь 2024;116;0,000039;
ноябрь 2024;142;0,000046;
декабрь 2024;147;0,000048;
