Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Ульяновская область, все устройства
декабрь 2017;48;0,0001006;
январь 2018;32;0,0000686;
февраль 2018;75;0,0001496;
март 2018;32;0,0000701;
апрель 2018;43;0,0000996;
май 2018;80;0,0001987;
июнь 2018;56;0,0001399;
июль 2018;51;0,0001255;
август 2018;20;0,0000426;
сентябрь 2018;28;0,0000525;
октябрь 2018;41;0,0000841;
ноябрь 2018;27;0,0000548;
декабрь 2018;44;0,0000868;
январь 2019;40;0,0000835;
февраль 2019;47;0,0000909;
март 2019;45;0,0000954;
апрель 2019;55;0,0001251;
май 2019;73;0,0001836;
июнь 2019;61;0,0001527;
июль 2019;42;0,0001035;
август 2019;9;0,0000205;
сентябрь 2019;25;0,0000487;
октябрь 2019;23;0,0000443;
ноябрь 2019;39;0,0000709;
декабрь 2019;50;0,0000869;
январь 2020;55;0,0000968;
февраль 2020;45;0,0000744;
март 2020;3;0,0000040;
апрель 2020;29;0,0000483;
май 2020;23;0,0000411;
июнь 2020;20;0,0000408;
июль 2020;25;0,0000492;
август 2020;69;0,0001169;
сентябрь 2020;51;0,0000761;
октябрь 2020;40;0,0000559;
ноябрь 2020;42;0,0000592;
декабрь 2020;33;0,0000491;
январь 2021;60;0,0000949;
февраль 2021;61;0,0000882;
март 2021;63;0,0000945;
апрель 2021;62;0,0000968;
май 2021;71;0,0001168;
июнь 2021;46;0,0000821;
июль 2021;50;0,0000855;
август 2021;38;0,0000566;
сентябрь 2021;68;0,0000937;
октябрь 2021;28;0,0000370;
ноябрь 2021;18;0,0000230;
декабрь 2021;52;0,0000678;
январь 2022;47;0,0000588;
февраль 2022;95;0,0001128;
март 2022;91;0,0001189;
апрель 2022;128;0,0001663;
май 2022;146;0,0002160;
июнь 2022;168;0,0002532;
июль 2022;93;0,0001429;
август 2022;183;0,0002466;
сентябрь 2022;146;0,0001838;
октябрь 2022;82;0,0001010;
ноябрь 2022;49;0,0000591;
декабрь 2022;76;0,0000924;
январь 2023;44;0,0000591;
февраль 2023;53;0,0000643;
март 2023;60;0,0000823;
апрель 2023;91;0,0001235;
май 2023;118;0,0001776;
июнь 2023;107;0,0001655;
июль 2023;62;0,0000969;
август 2023;45;0,0000647;
сентябрь 2023;77;0,0000985;
октябрь 2023;58;0,0000758;
ноябрь 2023;41;0,0000528;
декабрь 2023;84;0,0001070;
январь 2024;56;0,0000776;
февраль 2024;93;0,0001214;
март 2024;89;0,0001298;
апрель 2024;82;0,0001188;
май 2024;114;0,0001884;
июнь 2024;84;0,0001401;
июль 2024;47;0,0000772;
август 2024;51;0,0000804;
сентябрь 2024;42;0,0000572;
октябрь 2024;43;0,0000567;
ноябрь 2024;40;0,0000505;
декабрь 2024;52;0,0000653;
