Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Волгоградская область, все устройства
декабрь 2017;59;0,000062;
январь 2018;57;0,000060;
февраль 2018;90;0,000087;
март 2018;56;0,000063;
апрель 2018;72;0,000082;
май 2018;77;0,000094;
июнь 2018;69;0,000081;
июль 2018;90;0,000110;
август 2018;56;0,000060;
сентябрь 2018;41;0,000038;
октябрь 2018;40;0,000040;
ноябрь 2018;62;0,000063;
декабрь 2018;110;0,000108;
январь 2019;84;0,000084;
февраль 2019;68;0,000067;
март 2019;115;0,000123;
апрель 2019;127;0,000144;
май 2019;166;0,000205;
июнь 2019;101;0,000121;
июль 2019;37;0,000044;
август 2019;56;0,000062;
сентябрь 2019;40;0,000040;
октябрь 2019;57;0,000056;
ноябрь 2019;87;0,000080;
декабрь 2019;86;0,000078;
январь 2020;104;0,000097;
февраль 2020;60;0,000053;
март 2020;26;0,000017;
апрель 2020;31;0,000024;
май 2020;56;0,000051;
июнь 2020;27;0,000027;
июль 2020;32;0,000031;
август 2020;88;0,000079;
сентябрь 2020;66;0,000051;
октябрь 2020;91;0,000065;
ноябрь 2020;68;0,000051;
декабрь 2020;76;0,000059;
январь 2021;91;0,000072;
февраль 2021;148;0,000104;
март 2021;85;0,000065;
апрель 2021;145;0,000110;
май 2021;133;0,000104;
июнь 2021;124;0,000107;
июль 2021;104;0,000090;
август 2021;82;0,000062;
сентябрь 2021;63;0,000044;
октябрь 2021;103;0,000069;
ноябрь 2021;60;0,000038;
декабрь 2021;77;0,000049;
январь 2022;106;0,000070;
февраль 2022;180;0,000106;
март 2022;163;0,000107;
апрель 2022;182;0,000119;
май 2022;232;0,000168;
июнь 2022;230;0,000167;
июль 2022;193;0,000139;
август 2022;351;0,000231;
сентябрь 2022;153;0,000093;
октябрь 2022;109;0,000065;
ноябрь 2022;90;0,000053;
декабрь 2022;177;0,000107;
январь 2023;109;0,000071;
февраль 2023;172;0,000104;
март 2023;155;0,000102;
апрель 2023;279;0,000182;
май 2023;184;0,000132;
июнь 2023;180;0,000132;
июль 2023;148;0,000108;
август 2023;95;0,000067;
сентябрь 2023;92;0,000057;
октябрь 2023;137;0,000085;
ноябрь 2023;74;0,000045;
декабрь 2023;97;0,000060;
январь 2024;114;0,000075;
февраль 2024;138;0,000086;
март 2024;107;0,000075;
апрель 2024;131;0,000092;
май 2024;141;0,000111;
июнь 2024;148;0,000117;
июль 2024;110;0,000088;
август 2024;86;0,000065;
сентябрь 2024;77;0,000050;
октябрь 2024;78;0,000049;
ноябрь 2024;86;0,000052;
декабрь 2024;96;0,000058;
