Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Алтайский край, все устройства
декабрь 2017;181;0,000214;
январь 2018;173;0,000213;
февраль 2018;234;0,000268;
март 2018;202;0,000256;
апрель 2018;351;0,000423;
май 2018;456;0,000656;
июнь 2018;492;0,000701;
июль 2018;275;0,000378;
август 2018;191;0,000233;
сентябрь 2018;231;0,000242;
октябрь 2018;149;0,000166;
ноябрь 2018;154;0,000172;
декабрь 2018;231;0,000259;
январь 2019;244;0,000278;
февраль 2019;298;0,000330;
март 2019;288;0,000328;
апрель 2019;351;0,000433;
май 2019;383;0,000523;
июнь 2019;438;0,000623;
июль 2019;316;0,000445;
август 2019;183;0,000234;
сентябрь 2019;195;0,000215;
октябрь 2019;218;0,000234;
ноябрь 2019;201;0,000203;
декабрь 2019;257;0,000255;
январь 2020;208;0,000213;
февраль 2020;163;0,000151;
март 2020;54;0,000042;
апрель 2020;95;0,000083;
май 2020;174;0,000179;
июнь 2020;125;0,000138;
июль 2020;161;0,000180;
август 2020;241;0,000232;
сентябрь 2020;143;0,000118;
октябрь 2020;157;0,000126;
ноябрь 2020;157;0,000129;
декабрь 2020;235;0,000201;
январь 2021;212;0,000190;
февраль 2021;258;0,000213;
март 2021;239;0,000201;
апрель 2021;317;0,000285;
май 2021;269;0,000244;
июнь 2021;259;0,000247;
июль 2021;250;0,000232;
август 2021;205;0,000178;
сентябрь 2021;207;0,000161;
октябрь 2021;133;0,000101;
ноябрь 2021;210;0,000155;
декабрь 2021;170;0,000127;
январь 2022;223;0,000168;
февраль 2022;444;0,000307;
март 2022;412;0,000311;
апрель 2022;639;0,000503;
май 2022;1 134;0,000961;
июнь 2022;1 072;0,000944;
июль 2022;576;0,000506;
август 2022;626;0,000495;
сентябрь 2022;528;0,000375;
октябрь 2022;354;0,000239;
ноябрь 2022;308;0,000209;
декабрь 2022;308;0,000211;
январь 2023;357;0,000264;
февраль 2023;389;0,000264;
март 2023;394;0,000281;
апрель 2023;437;0,000333;
май 2023;607;0,000519;
июнь 2023;524;0,000457;
июль 2023;322;0,000279;
август 2023;213;0,000172;
сентябрь 2023;256;0,000186;
октябрь 2023;264;0,000192;
ноябрь 2023;201;0,000142;
декабрь 2023;293;0,000210;
январь 2024;297;0,000223;
февраль 2024;288;0,000215;
март 2024;250;0,000200;
апрель 2024;303;0,000250;
май 2024;405;0,000387;
июнь 2024;497;0,000482;
июль 2024;270;0,000260;
август 2024;156;0,000138;
сентябрь 2024;172;0,000134;
октябрь 2024;196;0,000149;
ноябрь 2024;177;0,000129;
декабрь 2024;212;0,000158;
