Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Брянская область, все устройства
декабрь 2017;12;0,0000245;
январь 2018;15;0,0000314;
февраль 2018;26;0,0000504;
март 2018;12;0,0000268;
апрель 2018;25;0,0000561;
май 2018;24;0,0000559;
июнь 2018;19;0,0000423;
июль 2018;31;0,0000722;
август 2018;20;0,0000408;
сентябрь 2018;14;0,0000249;
октябрь 2018;16;0,0000312;
ноябрь 2018;6;0,0000114;
декабрь 2018;22;0,0000385;
январь 2019;21;0,0000393;
февраль 2019;43;0,0000773;
март 2019;13;0,0000257;
апрель 2019;28;0,0000566;
май 2019;20;0,0000447;
июнь 2019;36;0,0000766;
июль 2019;21;0,0000456;
август 2019;11;0,0000225;
сентябрь 2019;10;0,0000181;
октябрь 2019;28;0,0000499;
ноябрь 2019;10;0,0000170;
декабрь 2019;16;0,0000262;
январь 2020;17;0,0000294;
февраль 2020;2;0,0000032;
март 2020;3;0,0000036;
апрель 2020;13;0,0000166;
май 2020;12;0,0000201;
июнь 2020;24;0,0000429;
июль 2020;4;0,0000073;
август 2020;28;0,0000477;
сентябрь 2020;16;0,0000239;
октябрь 2020;16;0,0000209;
ноябрь 2020;13;0,0000189;
декабрь 2020;8;0,0000115;
январь 2021;24;0,0000367;
февраль 2021;26;0,0000354;
март 2021;29;0,0000390;
апрель 2021;21;0,0000281;
май 2021;45;0,0000653;
июнь 2021;30;0,0000453;
июль 2021;26;0,0000380;
август 2021;13;0,0000177;
сентябрь 2021;12;0,0000153;
октябрь 2021;39;0,0000470;
ноябрь 2021;25;0,0000300;
декабрь 2021;23;0,0000271;
январь 2022;35;0,0000423;
февраль 2022;39;0,0000438;
март 2022;38;0,0000440;
апрель 2022;33;0,0000404;
май 2022;46;0,0000630;
июнь 2022;71;0,0000962;
июль 2022;39;0,0000530;
август 2022;74;0,0000906;
сентябрь 2022;38;0,0000437;
октябрь 2022;38;0,0000434;
ноябрь 2022;34;0,0000385;
декабрь 2022;37;0,0000416;
январь 2023;31;0,0000382;
февраль 2023;46;0,0000527;
март 2023;42;0,0000528;
апрель 2023;36;0,0000455;
май 2023;45;0,0000618;
июнь 2023;51;0,0000706;
июль 2023;40;0,0000563;
август 2023;32;0,0000429;
сентябрь 2023;48;0,0000571;
октябрь 2023;26;0,0000315;
ноябрь 2023;25;0,0000303;
декабрь 2023;35;0,0000409;
январь 2024;58;0,0000725;
февраль 2024;29;0,0000363;
март 2024;33;0,0000436;
апрель 2024;46;0,0000627;
май 2024;51;0,0000772;
июнь 2024;35;0,0000537;
июль 2024;10;0,0000155;
август 2024;15;0,0000218;
сентябрь 2024;27;0,0000346;
октябрь 2024;24;0,0000301;
ноябрь 2024;28;0,0000338;
декабрь 2024;32;0,0000384;
