Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Магаданская область, все устройства
декабрь 2017;8;0,000237;
январь 2018;2;0,000061;
февраль 2018;4;0,000106;
март 2018;13;0,000365;
апрель 2018;1;0,000027;
май 2018;5;0,000162;
июнь 2018;11;0,000374;
июль 2018;6;0,000204;
август 2018;4;0,000115;
сентябрь 2018;0;0;
октябрь 2018;7;0,000168;
ноябрь 2018;8;0,000202;
декабрь 2018;12;0,000295;
январь 2019;4;0,000099;
февраль 2019;1;0,000023;
март 2019;13;0,000319;
апрель 2019;12;0,000326;
май 2019;3;0,000093;
июнь 2019;14;0,000468;
июль 2019;6;0,000206;
август 2019;4;0,000115;
сентябрь 2019;12;0,000272;
октябрь 2019;11;0,000246;
ноябрь 2019;3;0,000063;
декабрь 2019;3;0,000062;
январь 2020;9;0,000193;
февраль 2020;13;0,000252;
март 2020;0;0;
апрель 2020;1;0,000016;
май 2020;5;0,000104;
июнь 2020;3;0,000069;
июль 2020;12;0,000288;
август 2020;24;0,000508;
сентябрь 2020;20;0,000344;
октябрь 2020;4;0,000065;
ноябрь 2020;9;0,000154;
декабрь 2020;13;0,000219;
январь 2021;11;0,000200;
февраль 2021;8;0,000134;
март 2021;14;0,000229;
апрель 2021;26;0,000438;
май 2021;33;0,000619;
июнь 2021;13;0,000267;
июль 2021;15;0,000311;
август 2021;13;0,000234;
сентябрь 2021;31;0,000481;
октябрь 2021;22;0,000336;
ноябрь 2021;22;0,000331;
декабрь 2021;8;0,000120;
январь 2022;21;0,000321;
февраль 2022;34;0,000471;
март 2022;26;0,000368;
апрель 2022;23;0,000321;
май 2022;31;0,000492;
июнь 2022;17;0,000291;
июль 2022;34;0,000570;
август 2022;87;0,001284;
сентябрь 2022;38;0,000511;
октябрь 2022;26;0,000322;
ноябрь 2022;20;0,000264;
декабрь 2022;17;0,000225;
январь 2023;25;0,000356;
февраль 2023;17;0,000223;
март 2023;25;0,000342;
апрель 2023;14;0,000196;
май 2023;30;0,000501;
июнь 2023;18;0,000311;
июль 2023;7;0,000123;
август 2023;9;0,000140;
сентябрь 2023;19;0,000270;
октябрь 2023;9;0,000129;
ноябрь 2023;8;0,000115;
декабрь 2023;22;0,000316;
январь 2024;21;0,000313;
февраль 2024;12;0,000171;
март 2024;18;0,000270;
апрель 2024;20;0,000316;
май 2024;22;0,000399;
июнь 2024;24;0,000463;
июль 2024;17;0,000329;
август 2024;14;0,000246;
сентябрь 2024;17;0,000256;
октябрь 2024;27;0,000395;
ноябрь 2024;13;0,000184;
декабрь 2024;11;0,000160;
