Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Приморский край, все устройства
декабрь 2017;83;0,000151;
январь 2018;73;0,000135;
февраль 2018;49;0,000085;
март 2018;87;0,000164;
апрель 2018;95;0,000176;
май 2018;80;0,000158;
июнь 2018;117;0,000213;
июль 2018;99;0,000184;
август 2018;56;0,000098;
сентябрь 2018;75;0,000116;
октябрь 2018;80;0,000132;
ноябрь 2018;80;0,000116;
декабрь 2018;88;0,000109;
январь 2019;60;0,000080;
февраль 2019;98;0,000121;
март 2019;102;0,000131;
апрель 2019;115;0,000141;
май 2019;147;0,000195;
июнь 2019;158;0,000216;
июль 2019;152;0,000204;
август 2019;145;0,000208;
сентябрь 2019;104;0,000144;
октябрь 2019;118;0,000163;
ноябрь 2019;72;0,000095;
декабрь 2019;114;0,000148;
январь 2020;110;0,000148;
февраль 2020;94;0,000116;
март 2020;31;0,000031;
апрель 2020;45;0,000051;
май 2020;69;0,000089;
июнь 2020;71;0,000099;
июль 2020;106;0,000144;
август 2020;175;0,000215;
сентябрь 2020;124;0,000138;
октябрь 2020;131;0,000153;
ноябрь 2020;67;0,000076;
декабрь 2020;95;0,000115;
январь 2021;90;0,000115;
февраль 2021;79;0,000093;
март 2021;65;0,000077;
апрель 2021;134;0,000160;
май 2021;118;0,000144;
июнь 2021;84;0,000105;
июль 2021;92;0,000112;
август 2021;116;0,000140;
сентябрь 2021;104;0,000118;
октябрь 2021;87;0,000095;
ноябрь 2021;85;0,000090;
декабрь 2021;101;0,000108;
январь 2022;93;0,000101;
февраль 2022;203;0,000201;
март 2022;157;0,000163;
апрель 2022;173;0,000180;
май 2022;150;0,000164;
июнь 2022;210;0,000236;
июль 2022;130;0,000148;
август 2022;380;0,000394;
сентябрь 2022;174;0,000169;
октябрь 2022;150;0,000135;
ноябрь 2022;189;0,000177;
декабрь 2022;124;0,000118;
январь 2023;87;0,000090;
февраль 2023;140;0,000132;
март 2023;111;0,000109;
апрель 2023;130;0,000134;
май 2023;126;0,000144;
июнь 2023;199;0,000228;
июль 2023;143;0,000160;
август 2023;128;0,000142;
сентябрь 2023;128;0,000129;
октябрь 2023;122;0,000123;
ноябрь 2023;126;0,000126;
декабрь 2023;103;0,000101;
январь 2024;94;0,000099;
февраль 2024;81;0,000083;
март 2024;86;0,000092;
апрель 2024;110;0,000122;
май 2024;73;0,000089;
июнь 2024;72;0,000089;
июль 2024;70;0,000087;
август 2024;94;0,000112;
сентябрь 2024;124;0,000129;
октябрь 2024;102;0,000103;
ноябрь 2024;71;0,000069;
декабрь 2024;89;0,000089;
