Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Сахалинская область, все устройства
декабрь 2017;62;0,00047;
январь 2018;41;0,00031;
февраль 2018;64;0,00046;
март 2018;68;0,00052;
апрель 2018;79;0,00059;
май 2018;130;0,00107;
июнь 2018;152;0,00125;
июль 2018;150;0,00126;
август 2018;86;0,00065;
сентябрь 2018;101;0,00065;
октябрь 2018;106;0,00073;
ноябрь 2018;83;0,00059;
декабрь 2018;85;0,00057;
январь 2019;80;0,00056;
февраль 2019;123;0,00081;
март 2019;77;0,00053;
апрель 2019;69;0,00053;
май 2019;75;0,00062;
июнь 2019;107;0,00090;
июль 2019;95;0,00080;
август 2019;81;0,00063;
сентябрь 2019;80;0,00051;
октябрь 2019;70;0,00045;
ноябрь 2019;90;0,00054;
декабрь 2019;113;0,00065;
январь 2020;71;0,00042;
февраль 2020;73;0,00038;
март 2020;48;0,00020;
апрель 2020;30;0,00014;
май 2020;72;0,00040;
июнь 2020;56;0,00034;
июль 2020;108;0,00067;
август 2020;214;0,00125;
сентябрь 2020;139;0,00069;
октябрь 2020;96;0,00045;
ноябрь 2020;89;0,00044;
декабрь 2020;110;0,00055;
январь 2021;93;0,00049;
февраль 2021;112;0,00055;
март 2021;104;0,00048;
апрель 2021;150;0,00070;
май 2021;187;0,00097;
июнь 2021;115;0,00063;
июль 2021;149;0,00074;
август 2021;77;0,00036;
сентябрь 2021;101;0,00044;
октябрь 2021;85;0,00036;
ноябрь 2021;93;0,00038;
декабрь 2021;112;0,00045;
январь 2022;117;0,00049;
февраль 2022;208;0,00078;
март 2022;148;0,00057;
апрель 2022;164;0,00065;
май 2022;153;0,00068;
июнь 2022;213;0,00099;
июль 2022;198;0,00089;
август 2022;421;0,00174;
сентябрь 2022;252;0,00096;
октябрь 2022;130;0,00045;
ноябрь 2022;146;0,00053;
декабрь 2022;95;0,00035;
январь 2023;58;0,00023;
февраль 2023;84;0,00031;
март 2023;109;0,00042;
апрель 2023;90;0,00036;
май 2023;114;0,00051;
июнь 2023;122;0,00057;
июль 2023;115;0,00052;
август 2023;94;0,00041;
сентябрь 2023;87;0,00034;
октябрь 2023;132;0,00052;
ноябрь 2023;79;0,00030;
декабрь 2023;49;0,00018;
январь 2024;57;0,00023;
февраль 2024;75;0,00030;
март 2024;129;0,00054;
апрель 2024;127;0,00054;
май 2024;67;0,00033;
июнь 2024;132;0,00065;
июль 2024;108;0,00053;
август 2024;108;0,00051;
сентябрь 2024;72;0,00029;
октябрь 2024;109;0,00044;
ноябрь 2024;87;0,00033;
декабрь 2024;69;0,00027;
