Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Северная Осетия — Алания, все устройства
декабрь 2017;11;0,0000600;
январь 2018;0;0;
февраль 2018;7;0,0000369;
март 2018;5;0,0000308;
апрель 2018;9;0,0000536;
май 2018;13;0,0000818;
июнь 2018;7;0,0000434;
июль 2018;15;0,0000930;
август 2018;11;0,0000640;
сентябрь 2018;3;0,0000155;
октябрь 2018;6;0,0000328;
ноябрь 2018;4;0,0000211;
декабрь 2018;9;0,0000449;
январь 2019;9;0,0000477;
февраль 2019;3;0,0000150;
март 2019;7;0,0000371;
апрель 2019;11;0,0000606;
май 2019;39;0,0002363;
июнь 2019;8;0,0000484;
июль 2019;5;0,0000311;
август 2019;6;0,0000357;
сентябрь 2019;3;0,0000160;
октябрь 2019;7;0,0000357;
ноябрь 2019;13;0,0000619;
декабрь 2019;5;0,0000226;
январь 2020;2;0,0000095;
февраль 2020;2;0,0000091;
март 2020;2;0,0000073;
апрель 2020;10;0,0000397;
май 2020;6;0,0000288;
июнь 2020;5;0,0000259;
июль 2020;17;0,0000891;
август 2020;29;0,0001452;
сентябрь 2020;2;0,0000085;
октябрь 2020;2;0,0000080;
ноябрь 2020;1;0,0000041;
декабрь 2020;2;0,0000084;
январь 2021;10;0,0000450;
февраль 2021;3;0,0000125;
март 2021;20;0,0000838;
апрель 2021;12;0,0000491;
май 2021;4;0,0000168;
июнь 2021;7;0,0000316;
июль 2021;2;0,0000091;
август 2021;9;0,0000374;
сентябрь 2021;7;0,0000254;
октябрь 2021;4;0,0000141;
ноябрь 2021;7;0,0000243;
декабрь 2021;20;0,0000662;
январь 2022;11;0,0000384;
февраль 2022;26;0,0000830;
март 2022;12;0,0000416;
апрель 2022;19;0,0000640;
май 2022;18;0,0000674;
июнь 2022;15;0,0000571;
июль 2022;17;0,0000646;
август 2022;27;0,0000972;
сентябрь 2022;19;0,0000609;
октябрь 2022;15;0,0000467;
ноябрь 2022;10;0,0000306;
декабрь 2022;4;0,0000123;
январь 2023;6;0,0000200;
февраль 2023;6;0,0000189;
март 2023;8;0,0000268;
апрель 2023;15;0,0000502;
май 2023;15;0,0000567;
июнь 2023;15;0,0000577;
июль 2023;9;0,0000349;
август 2023;7;0,0000256;
сентябрь 2023;9;0,0000296;
октябрь 2023;8;0,0000254;
ноябрь 2023;20;0,0000620;
декабрь 2023;10;0,0000307;
январь 2024;15;0,0000508;
февраль 2024;9;0,0000297;
март 2024;0;0;
апрель 2024;12;0,0000429;
май 2024;22;0,0000894;
июнь 2024;6;0,0000242;
июль 2024;7;0,0000284;
август 2024;6;0,0000239;
сентябрь 2024;10;0,0000358;
октябрь 2024;10;0,0000347;
ноябрь 2024;15;0,0000486;
декабрь 2024;5;0,0000164;
