Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Ивановская область, все устройства
декабрь 2017;23;0,000059;
январь 2018;54;0,000143;
февраль 2018;44;0,000104;
март 2018;32;0,000083;
апрель 2018;38;0,000103;
май 2018;57;0,000163;
июнь 2018;54;0,000155;
июль 2018;43;0,000119;
август 2018;45;0,000112;
сентябрь 2018;35;0,000075;
октябрь 2018;24;0,000057;
ноябрь 2018;24;0,000057;
декабрь 2018;39;0,000090;
январь 2019;37;0,000090;
февраль 2019;42;0,000095;
март 2019;28;0,000068;
апрель 2019;30;0,000078;
май 2019;50;0,000140;
июнь 2019;81;0,000221;
июль 2019;21;0,000058;
август 2019;33;0,000086;
сентябрь 2019;26;0,000058;
октябрь 2019;37;0,000082;
ноябрь 2019;32;0,000069;
декабрь 2019;61;0,000130;
январь 2020;43;0,000095;
февраль 2020;28;0,000055;
март 2020;9;0,000014;
апрель 2020;17;0,000030;
май 2020;37;0,000081;
июнь 2020;12;0,000028;
июль 2020;24;0,000057;
август 2020;69;0,000147;
сентябрь 2020;41;0,000077;
октябрь 2020;39;0,000069;
ноябрь 2020;46;0,000083;
декабрь 2020;31;0,000060;
январь 2021;55;0,000107;
февраль 2021;67;0,000118;
март 2021;54;0,000092;
апрель 2021;52;0,000089;
май 2021;76;0,000139;
июнь 2021;45;0,000090;
июль 2021;54;0,000104;
август 2021;38;0,000065;
сентябрь 2021;52;0,000081;
октябрь 2021;35;0,000051;
ноябрь 2021;57;0,000085;
декабрь 2021;86;0,000129;
январь 2022;69;0,000107;
февраль 2022;81;0,000113;
март 2022;82;0,000120;
апрель 2022;83;0,000123;
май 2022;75;0,000127;
июнь 2022;74;0,000128;
июль 2022;104;0,000179;
август 2022;201;0,000307;
сентябрь 2022;84;0,000121;
октябрь 2022;70;0,000099;
ноябрь 2022;42;0,000060;
декабрь 2022;60;0,000085;
январь 2023;69;0,000107;
февраль 2023;94;0,000134;
март 2023;56;0,000085;
апрель 2023;89;0,000137;
май 2023;121;0,000206;
июнь 2023;80;0,000137;
июль 2023;84;0,000149;
август 2023;35;0,000058;
сентябрь 2023;75;0,000110;
октябрь 2023;55;0,000082;
ноябрь 2023;47;0,000070;
декабрь 2023;39;0,000057;
январь 2024;49;0,000077;
февраль 2024;47;0,000072;
март 2024;56;0,000090;
апрель 2024;59;0,000098;
май 2024;64;0,000120;
июнь 2024;80;0,000151;
июль 2024;62;0,000118;
август 2024;55;0,000098;
сентябрь 2024;44;0,000070;
октябрь 2024;50;0,000076;
ноябрь 2024;40;0,000058;
декабрь 2024;30;0,000044;
