Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Липецкая область, все устройства
декабрь 2017;3;0,0000058;
январь 2018;0;0;
февраль 2018;1;0,0000017;
март 2018;1;0,0000020;
апрель 2018;1;0,0000021;
май 2018;4;0,0000089;
июнь 2018;4;0,0000087;
июль 2018;1;0,0000022;
август 2018;2;0,0000038;
сентябрь 2018;4;0,0000067;
октябрь 2018;0;0;
ноябрь 2018;3;0,0000056;
декабрь 2018;2;0,0000035;
январь 2019;1;0,0000018;
февраль 2019;5;0,0000088;
март 2019;0;0;
апрель 2019;7;0,0000143;
май 2019;3;0,0000067;
июнь 2019;6;0,0000128;
июль 2019;0;0;
август 2019;2;0,0000041;
сентябрь 2019;3;0,0000054;
октябрь 2019;1;0,0000018;
ноябрь 2019;8;0,0000136;
декабрь 2019;4;0,0000066;
январь 2020;2;0,0000034;
февраль 2020;1;0,0000015;
март 2020;0;0;
апрель 2020;10;0,0000135;
май 2020;0;0;
июнь 2020;3;0,0000055;
июль 2020;3;0,0000055;
август 2020;5;0,0000085;
сентябрь 2020;3;0,0000044;
октябрь 2020;0;0;
ноябрь 2020;2;0,0000029;
декабрь 2020;3;0,0000044;
январь 2021;7;0,0000106;
февраль 2021;9;0,0000123;
март 2021;6;0,0000083;
апрель 2021;8;0,0000113;
май 2021;9;0,0000133;
июнь 2021;1;0,0000015;
июль 2021;2;0,0000030;
август 2021;12;0,0000169;
сентябрь 2021;4;0,0000052;
октябрь 2021;0;0;
ноябрь 2021;15;0,0000183;
декабрь 2021;4;0,0000048;
январь 2022;3;0,0000036;
февраль 2022;5;0,0000055;
март 2022;8;0,0000097;
апрель 2022;6;0,0000074;
май 2022;15;0,0000207;
июнь 2022;3;0,0000041;
июль 2022;1;0,0000013;
август 2022;1;0,0000012;
сентябрь 2022;10;0,0000116;
октябрь 2022;1;0,0000011;
ноябрь 2022;1;0,0000011;
декабрь 2022;0;0;
январь 2023;2;0,0000024;
февраль 2023;1;0,0000011;
март 2023;1;0,0000012;
апрель 2023;1;0,0000012;
май 2023;2;0,0000027;
июнь 2023;0;0;
июль 2023;1;0,0000013;
август 2023;1;0,0000013;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;1;0,0000011;
декабрь 2023;0;0;
январь 2024;3;0,0000037;
февраль 2024;17;0,0000208;
март 2024;3;0,0000039;
апрель 2024;17;0,0000232;
май 2024;1;0,0000015;
июнь 2024;2;0,0000030;
июль 2024;7;0,0000105;
август 2024;1;0,0000014;
сентябрь 2024;5;0,0000065;
октябрь 2024;14;0,0000176;
ноябрь 2024;0;0;
декабрь 2024;10;0,0000121;
