Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Орловская область, все устройства
декабрь 2017;1;0,0000030;
январь 2018;5;0,0000153;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;6;0,0000205;
август 2018;3;0,0000088;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;6;0,0000161;
январь 2019;0;0;
февраль 2019;2;0,0000052;
март 2019;3;0,0000087;
апрель 2019;4;0,0000119;
май 2019;1;0,0000033;
июнь 2019;2;0,0000065;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;2;0,0000051;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;6;0,0000126;
декабрь 2020;1;0,0000021;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;1;0,0000020;
апрель 2021;5;0,0000102;
май 2021;0;0;
июнь 2021;7;0,0000163;
июль 2021;6;0,0000137;
август 2021;0;0;
сентябрь 2021;5;0,0000094;
октябрь 2021;1;0,0000018;
ноябрь 2021;0;0;
декабрь 2021;6;0,0000105;
январь 2022;8;0,0000141;
февраль 2022;0;0;
март 2022;2;0,0000034;
апрель 2022;0;0;
май 2022;0;0;
июнь 2022;1;0,0000020;
июль 2022;7;0,0000144;
август 2022;1;0,0000018;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;2;0,0000034;
декабрь 2022;2;0,0000034;
январь 2023;2;0,0000037;
февраль 2023;4;0,0000067;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;4;0,0000085;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;1;0,0000018;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;1;0,0000018;
март 2024;3;0,0000059;
апрель 2024;2;0,0000040;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;4;0,0000077;
октябрь 2024;0;0;
ноябрь 2024;1;0,0000018;
декабрь 2024;5;0,0000090;
