Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург и Ленинградская область, кроме Санкт-Петербург, все устройства
декабрь 2017;2;0,0000037;
январь 2018;88;0,0001650;
февраль 2018;12;0,0000200;
март 2018;13;0,0000238;
апрель 2018;11;0,0000207;
май 2018;9;0,0000162;
июнь 2018;16;0,0000288;
июль 2018;23;0,0000391;
август 2018;20;0,0000325;
сентябрь 2018;9;0,0000129;
октябрь 2018;8;0,0000123;
ноябрь 2018;26;0,0000397;
декабрь 2018;25;0,0000353;
январь 2019;23;0,0000334;
февраль 2019;40;0,0000526;
март 2019;34;0,0000488;
апрель 2019;31;0,0000430;
май 2019;34;0,0000492;
июнь 2019;51;0,0000708;
июль 2019;23;0,0000325;
август 2019;14;0,0000199;
сентябрь 2019;16;0,0000204;
октябрь 2019;32;0,0000409;
ноябрь 2019;10;0,0000122;
декабрь 2019;5;0,0000057;
январь 2020;15;0,0000186;
февраль 2020;32;0,0000353;
март 2020;20;0,0000167;
апрель 2020;8;0,0000070;
май 2020;12;0,0000121;
июнь 2020;9;0,0000095;
июль 2020;30;0,0000344;
август 2020;3;0,0000035;
сентябрь 2020;11;0,0000114;
октябрь 2020;14;0,0000138;
ноябрь 2020;4;0,0000041;
декабрь 2020;10;0,0000104;
январь 2021;4;0,0000045;
февраль 2021;9;0,0000092;
март 2021;14;0,0000130;
апрель 2021;23;0,0000176;
май 2021;38;0,0000302;
июнь 2021;27;0,0000257;
июль 2021;14;0,0000129;
август 2021;26;0,0000208;
сентябрь 2021;11;0,0000080;
октябрь 2021;31;0,0000217;
ноябрь 2021;35;0,0000248;
декабрь 2021;18;0,0000121;
январь 2022;32;0,0000218;
февраль 2022;25;0,0000160;
март 2022;24;0,0000162;
апрель 2022;19;0,0000124;
май 2022;19;0,0000130;
июнь 2022;22;0,0000143;
июль 2022;21;0,0000139;
август 2022;7;0,0000045;
сентябрь 2022;20;0,0000124;
октябрь 2022;22;0,0000138;
ноябрь 2022;13;0,0000084;
декабрь 2022;23;0,0000145;
январь 2023;14;0,0000096;
февраль 2023;6;0,0000038;
март 2023;10;0,0000067;
апрель 2023;10;0,0000067;
май 2023;4;0,0000027;
июнь 2023;11;0,0000072;
июль 2023;5;0,0000033;
август 2023;13;0,0000089;
сентябрь 2023;13;0,0000084;
октябрь 2023;7;0,0000047;
ноябрь 2023;6;0,0000040;
декабрь 2023;6;0,0000038;
январь 2024;6;0,0000041;
февраль 2024;7;0,0000047;
март 2024;9;0,0000062;
апрель 2024;19;0,0000132;
май 2024;5;0,0000036;
июнь 2024;11;0,0000075;
июль 2024;30;0,0000210;
август 2024;5;0,0000036;
сентябрь 2024;3;0,0000020;
октябрь 2024;7;0,0000045;
ноябрь 2024;6;0,0000037;
декабрь 2024;12;0,0000073;
