Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Москва и область, кроме Москва, все устройства
декабрь 2017;6 612;0,001518;
январь 2018;6 257;0,001462;
февраль 2018;8 865;0,001855;
март 2018;5 507;0,001296;
апрель 2018;3 810;0,000916;
май 2018;3 722;0,000936;
июнь 2018;3 101;0,000760;
июль 2018;3 042;0,000742;
август 2018;3 125;0,000669;
сентябрь 2018;3 512;0,000648;
октябрь 2018;4 313;0,000858;
ноябрь 2018;4 738;0,000948;
декабрь 2018;6 497;0,001238;
январь 2019;6 315;0,001233;
февраль 2019;7 373;0,001332;
март 2019;5 245;0,001044;
апрель 2019;5 025;0,001049;
май 2019;4 576;0,001006;
июнь 2019;3 770;0,000820;
июль 2019;2 812;0,000616;
август 2019;2 348;0,000483;
сентябрь 2019;2 399;0,000443;
октябрь 2019;2 975;0,000545;
ноябрь 2019;2 922;0,000518;
декабрь 2019;3 843;0,000670;
январь 2020;3 521;0,000634;
февраль 2020;3 342;0,000534;
март 2020;2 268;0,000290;
апрель 2020;3 546;0,000480;
май 2020;3 208;0,000542;
июнь 2020;2 432;0,000447;
июль 2020;1 909;0,000358;
август 2020;1 917;0,000328;
сентябрь 2020;1 700;0,000254;
октябрь 2020;1 979;0,000282;
ноябрь 2020;1 665;0,000247;
декабрь 2020;2 534;0,000394;
январь 2021;2 053;0,000341;
февраль 2021;2 388;0,000360;
март 2021;2 429;0,000343;
апрель 2021;2 628;0,000336;
май 2021;2 229;0,000298;
июнь 2021;1 899;0,000302;
июль 2021;1 628;0,000251;
август 2021;2 324;0,000295;
сентябрь 2021;2 490;0,000297;
октябрь 2021;2 722;0,000310;
ноябрь 2021;3 272;0,000372;
декабрь 2021;4 025;0,000445;
январь 2022;3 118;0,000359;
февраль 2022;3 222;0,000329;
март 2022;2 853;0,000313;
апрель 2022;2 075;0,000229;
май 2022;1 796;0,000219;
июнь 2022;1 574;0,000192;
июль 2022;1 387;0,000167;
август 2022;918;0,000100;
сентябрь 2022;946;0,000100;
октябрь 2022;956;0,000102;
ноябрь 2022;922;0,000099;
декабрь 2022;1 046;0,000113;
январь 2023;1 228;0,000147;
февраль 2023;1 148;0,000124;
март 2023;825;0,000099;
апрель 2023;814;0,000096;
май 2023;592;0,000076;
июнь 2023;661;0,000084;
июль 2023;588;0,000076;
август 2023;476;0,000060;
сентябрь 2023;604;0,000070;
октябрь 2023;656;0,000078;
ноябрь 2023;651;0,000076;
декабрь 2023;908;0,000103;
январь 2024;736;0,000090;
февраль 2024;988;0,000114;
март 2024;1 083;0,000136;
апрель 2024;605;0,000076;
май 2024;563;0,000078;
июнь 2024;487;0,000067;
июль 2024;508;0,000070;
август 2024;350;0,000046;
сентябрь 2024;451;0,000055;
октябрь 2024;468;0,000056;
ноябрь 2024;543;0,000062;
декабрь 2024;705;0,000080;
