Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Амурская область, все устройства
декабрь 2017;1;0,0000051;
январь 2018;2;0,0000103;
февраль 2018;4;0,0000196;
март 2018;3;0,0000160;
апрель 2018;7;0,0000378;
май 2018;0;0;
июнь 2018;1;0,0000056;
июль 2018;11;0,0000630;
август 2018;1;0,0000050;
сентябрь 2018;2;0,0000085;
октябрь 2018;10;0,0000448;
ноябрь 2018;2;0,0000091;
декабрь 2018;0;0;
январь 2019;7;0,0000325;
февраль 2019;1;0,0000044;
март 2019;1;0,0000046;
апрель 2019;0;0;
май 2019;4;0,0000238;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;1;0,0000041;
ноябрь 2019;14;0,0000538;
декабрь 2019;0;0;
январь 2020;2;0,0000076;
февраль 2020;11;0,0000378;
март 2020;1;0,0000028;
апрель 2020;3;0,0000088;
май 2020;5;0,0000187;
июнь 2020;3;0,0000125;
июль 2020;0;0;
август 2020;2;0,0000070;
сентябрь 2020;7;0,0000205;
октябрь 2020;0;0;
ноябрь 2020;3;0,0000086;
декабрь 2020;2;0,0000059;
январь 2021;4;0,0000126;
февраль 2021;4;0,0000120;
март 2021;6;0,0000179;
апрель 2021;8;0,0000247;
май 2021;3;0,0000101;
июнь 2021;2;0,0000068;
июль 2021;2;0,0000070;
август 2021;5;0,0000158;
сентябрь 2021;5;0,0000144;
октябрь 2021;11;0,0000308;
ноябрь 2021;3;0,0000080;
декабрь 2021;0;0;
январь 2022;1;0,0000028;
февраль 2022;7;0,0000180;
март 2022;3;0,0000080;
апрель 2022;5;0,0000137;
май 2022;6;0,0000185;
июнь 2022;6;0,0000193;
июль 2022;3;0,0000096;
август 2022;1;0,0000028;
сентябрь 2022;2;0,0000051;
октябрь 2022;4;0,0000096;
ноябрь 2022;3;0,0000074;
декабрь 2022;3;0,0000073;
январь 2023;3;0,0000080;
февраль 2023;2;0,0000049;
март 2023;1;0,0000025;
апрель 2023;0;0;
май 2023;3;0,0000092;
июнь 2023;7;0,0000223;
июль 2023;2;0,0000063;
август 2023;0;0;
сентябрь 2023;29;0,0000771;
октябрь 2023;16;0,0000425;
ноябрь 2023;1;0,0000026;
декабрь 2023;2;0,0000052;
январь 2024;2;0,0000055;
февраль 2024;3;0,0000081;
март 2024;1;0,0000028;
апрель 2024;2;0,0000060;
май 2024;1;0,0000034;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;1;0,0000033;
сентябрь 2024;1;0,0000028;
октябрь 2024;5;0,0000138;
ноябрь 2024;4;0,0000104;
декабрь 2024;0;0;
