Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш издейм», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург, все устройства
декабрь 2017;33;0,00000710;
январь 2018;25;0,00000520;
февраль 2018;7;0,00000136;
март 2018;15;0,00000320;
апрель 2018;8;0,00000175;
май 2018;4;0,00000092;
июнь 2018;21;0,00000495;
июль 2018;14;0,00000323;
август 2018;30;0,00000610;
сентябрь 2018;35;0,00000614;
октябрь 2018;34;0,00000656;
ноябрь 2018;42;0,00000815;
декабрь 2018;19;0,00000369;
январь 2019;21;0,00000417;
февраль 2019;17;0,00000317;
март 2019;20;0,00000396;
апрель 2019;21;0,00000429;
май 2019;25;0,00000573;
июнь 2019;5;0,00000113;
июль 2019;13;0,00000297;
август 2019;3;0,00000062;
сентябрь 2019;13;0,00000236;
октябрь 2019;11;0,00000202;
ноябрь 2019;16;0,00000289;
декабрь 2019;32;0,00000573;
январь 2020;3;0,00000054;
февраль 2020;1;0,00000017;
март 2020;6;0,00000094;
апрель 2020;37;0,00000632;
май 2020;6;0,00000116;
июнь 2020;3;0,00000059;
июль 2020;4;0,00000079;
август 2020;1;0,00000017;
сентябрь 2020;2;0,00000031;
октябрь 2020;1;0,00000014;
ноябрь 2020;0;0;
декабрь 2020;2;0,00000032;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;1;0,00000017;
май 2021;1;0,00000017;
июнь 2021;0;0;
июль 2021;1;0,00000015;
август 2021;0;0;
сентябрь 2021;1;0,00000016;
октябрь 2021;0;0;
ноябрь 2021;2;0,00000030;
декабрь 2021;5;0,00000074;
январь 2022;2;0,00000029;
февраль 2022;14;0,00000193;
март 2022;0;0;
апрель 2022;1;0,00000014;
май 2022;2;0,00000031;
июнь 2022;1;0,00000017;
июль 2022;1;0,00000016;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;8;0,00000131;
январь 2023;4;0,00000070;
февраль 2023;1;0,00000015;
март 2023;1;0,00000016;
апрель 2023;11;0,00000188;
май 2023;2;0,00000038;
июнь 2023;15;0,00000300;
июль 2023;6;0,00000120;
август 2023;17;0,00000309;
сентябрь 2023;2;0,00000033;
октябрь 2023;1;0,00000016;
ноябрь 2023;0;0;
декабрь 2023;6;0,00000100;
январь 2024;0;0;
февраль 2024;1;0,00000016;
март 2024;1;0,00000017;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;1;0,00000017;
октябрь 2024;1;0,00000016;
ноябрь 2024;0;0;
декабрь 2024;0;0;
