Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш издейм», по месяцам, 31.12.2017 — 30.01.2025, Москва и область, кроме Москва, все устройства
декабрь 2017;88;0,00002021;
январь 2018;97;0,00002266;
февраль 2018;136;0,00002845;
март 2018;79;0,00001859;
апрель 2018;33;0,00000793;
май 2018;48;0,00001208;
июнь 2018;25;0,00000613;
июль 2018;51;0,00001244;
август 2018;67;0,00001434;
сентябрь 2018;63;0,00001163;
октябрь 2018;69;0,00001372;
ноябрь 2018;70;0,00001401;
декабрь 2018;57;0,00001086;
январь 2019;112;0,00002187;
февраль 2019;99;0,00001789;
март 2019;93;0,00001851;
апрель 2019;67;0,00001399;
май 2019;67;0,00001473;
июнь 2019;131;0,00002850;
июль 2019;75;0,00001644;
август 2019;74;0,00001522;
сентябрь 2019;98;0,00001813;
октябрь 2019;50;0,00000917;
ноябрь 2019;48;0,00000851;
декабрь 2019;99;0,00001726;
январь 2020;33;0,00000594;
февраль 2020;53;0,00000847;
март 2020;41;0,00000525;
апрель 2020;47;0,00000636;
май 2020;36;0,00000609;
июнь 2020;31;0,00000570;
июль 2020;11;0,00000206;
август 2020;30;0,00000513;
сентябрь 2020;16;0,00000239;
октябрь 2020;2;0,00000028;
ноябрь 2020;43;0,00000638;
декабрь 2020;24;0,00000373;
январь 2021;19;0,00000316;
февраль 2021;22;0,00000332;
март 2021;15;0,00000212;
апрель 2021;22;0,00000282;
май 2021;23;0,00000308;
июнь 2021;10;0,00000159;
июль 2021;30;0,00000463;
август 2021;49;0,00000623;
сентябрь 2021;50;0,00000597;
октябрь 2021;22;0,00000251;
ноябрь 2021;43;0,00000489;
декабрь 2021;41;0,00000453;
январь 2022;36;0,00000415;
февраль 2022;39;0,00000398;
март 2022;33;0,00000362;
апрель 2022;30;0,00000331;
май 2022;25;0,00000305;
июнь 2022;15;0,00000183;
июль 2022;5;0,00000060;
август 2022;8;0,00000087;
сентябрь 2022;6;0,00000063;
октябрь 2022;12;0,00000128;
ноябрь 2022;6;0,00000064;
декабрь 2022;3;0,00000032;
январь 2023;9;0,00000107;
февраль 2023;3;0,00000032;
март 2023;2;0,00000024;
апрель 2023;3;0,00000035;
май 2023;4;0,00000051;
июнь 2023;5;0,00000064;
июль 2023;5;0,00000065;
август 2023;2;0,00000025;
сентябрь 2023;6;0,00000069;
октябрь 2023;3;0,00000035;
ноябрь 2023;8;0,00000094;
декабрь 2023;5;0,00000056;
январь 2024;3;0,00000036;
февраль 2024;6;0,00000069;
март 2024;0;0;
апрель 2024;6;0,00000075;
май 2024;2;0,00000027;
июнь 2024;0;0;
июль 2024;3;0,00000041;
август 2024;1;0,00000013;
сентябрь 2024;3;0,00000036;
октябрь 2024;3;0,00000035;
ноябрь 2024;7;0,00000080;
декабрь 2024;5;0,00000056;
