Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург, все устройства
декабрь 2017;17 150;0,0036;
январь 2018;18 098;0,0037;
февраль 2018;19 515;0,0038;
март 2018;17 362;0,0037;
апрель 2018;16 925;0,0037;
май 2018;23 620;0,0054;
июнь 2018;22 033;0,0052;
июль 2018;18 757;0,0043;
август 2018;17 988;0,0036;
сентябрь 2018;21 503;0,0037;
октябрь 2018;20 132;0,0038;
ноябрь 2018;23 069;0,0044;
декабрь 2018;18 970;0,0036;
январь 2019;17 527;0,0034;
февраль 2019;18 819;0,0035;
март 2019;17 195;0,0034;
апрель 2019;16 573;0,0033;
май 2019;16 009;0,0036;
июнь 2019;15 995;0,0036;
июль 2019;15 022;0,0034;
август 2019;15 152;0,0031;
сентябрь 2019;16 101;0,0029;
октябрь 2019;16 194;0,0029;
ноябрь 2019;19 111;0,0034;
декабрь 2019;17 737;0,0031;
январь 2020;17 287;0,0031;
февраль 2020;18 538;0,0032;
март 2020;20 432;0,0032;
апрель 2020;19 860;0,0033;
май 2020;20 044;0,0039;
июнь 2020;18 406;0,0036;
июль 2020;17 241;0,0034;
август 2020;17 112;0,0030;
сентябрь 2020;18 371;0,0028;
октябрь 2020;18 137;0,0027;
ноябрь 2020;19 432;0,0030;
декабрь 2020;16 841;0,0027;
январь 2021;16 255;0,0027;
февраль 2021;18 813;0,0028;
март 2021;17 259;0,0026;
апрель 2021;14 895;0,0026;
май 2021;15 472;0,0027;
июнь 2021;16 822;0,0028;
июль 2021;16 859;0,0026;
август 2021;15 861;0,0025;
сентябрь 2021;15 533;0,0025;
октябрь 2021;15 185;0,0024;
ноябрь 2021;18 449;0,0028;
декабрь 2021;16 177;0,0024;
январь 2022;19 810;0,0028;
февраль 2022;31 855;0,0043;
март 2022;22 526;0,0033;
апрель 2022;22 063;0,0031;
май 2022;21 865;0,0034;
июнь 2022;18 477;0,0032;
июль 2022;17 871;0,0030;
август 2022;17 277;0,0028;
сентябрь 2022;17 041;0,0026;
октябрь 2022;15 831;0,0023;
ноябрь 2022;15 742;0,0024;
декабрь 2022;12 905;0,0021;
январь 2023;13 415;0,0023;
февраль 2023;16 095;0,0025;
март 2023;14 141;0,0023;
апрель 2023;13 106;0,0022;
май 2023;12 649;0,0024;
июнь 2023;12 589;0,0025;
июль 2023;12 986;0,0026;
август 2023;12 604;0,0022;
сентябрь 2023;13 183;0,0021;
октябрь 2023;13 717;0,0022;
ноябрь 2023;12 966;0,0021;
декабрь 2023;11 978;0,0020;
январь 2024;12 597;0,0022;
февраль 2024;13 008;0,0021;
март 2024;12 557;0,0021;
апрель 2024;13 361;0,0024;
май 2024;11 163;0,0023;
июнь 2024;11 187;0,0023;
июль 2024;10 639;0,0022;
август 2024;10 677;0,0020;
сентябрь 2024;11 810;0,0020;
октябрь 2024;12 873;0,0021;
ноябрь 2024;13 088;0,0021;
декабрь 2024;12 260;0,0020;
