Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Псковская область, все устройства
декабрь 2017;795;0,0035;
январь 2018;778;0,0035;
февраль 2018;895;0,0036;
март 2018;769;0,0035;
апрель 2018;783;0,0036;
май 2018;1 071;0,0050;
июнь 2018;981;0,0047;
июль 2018;816;0,0038;
август 2018;784;0,0033;
сентябрь 2018;945;0,0034;
октябрь 2018;873;0,0035;
ноябрь 2018;991;0,0040;
декабрь 2018;834;0,0032;
январь 2019;801;0,0032;
февраль 2019;893;0,0034;
март 2019;760;0,0032;
апрель 2019;712;0,0030;
май 2019;728;0,0035;
июнь 2019;687;0,0031;
июль 2019;683;0,0032;
август 2019;774;0,0034;
сентябрь 2019;791;0,0031;
октябрь 2019;842;0,0032;
ноябрь 2019;958;0,0035;
декабрь 2019;834;0,0030;
январь 2020;790;0,0030;
февраль 2020;864;0,0029;
март 2020;963;0,0026;
апрель 2020;929;0,0027;
май 2020;937;0,0035;
июнь 2020;880;0,0034;
июль 2020;753;0,0030;
август 2020;755;0,0027;
сентябрь 2020;845;0,0027;
октябрь 2020;796;0,0024;
ноябрь 2020;985;0,0031;
декабрь 2020;753;0,0024;
январь 2021;765;0,0026;
февраль 2021;974;0,0030;
март 2021;912;0,0027;
апрель 2021;893;0,0025;
май 2021;833;0,0025;
июнь 2021;857;0,0030;
июль 2021;888;0,0029;
август 2021;940;0,0027;
сентябрь 2021;995;0,0025;
октябрь 2021;1 017;0,0025;
ноябрь 2021;1 170;0,0029;
декабрь 2021;984;0,0024;
январь 2022;1 089;0,0027;
февраль 2022;1 476;0,0035;
март 2022;1 018;0,0025;
апрель 2022;1 017;0,0025;
май 2022;1 137;0,0031;
июнь 2022;1 054;0,0029;
июль 2022;1 099;0,0030;
август 2022;815;0,0020;
сентябрь 2022;980;0,0023;
октябрь 2022;1 026;0,0024;
ноябрь 2022;1 005;0,0024;
декабрь 2022;874;0,0020;
январь 2023;885;0,0022;
февраль 2023;1 165;0,0027;
март 2023;908;0,0023;
апрель 2023;949;0,0024;
май 2023;835;0,0023;
июнь 2023;923;0,0025;
июль 2023;1 045;0,0029;
август 2023;789;0,0022;
сентябрь 2023;790;0,0019;
октябрь 2023;935;0,0023;
ноябрь 2023;907;0,0022;
декабрь 2023;825;0,0020;
январь 2024;901;0,0023;
февраль 2024;886;0,0023;
март 2024;824;0,0022;
апрель 2024;871;0,0024;
май 2024;887;0,0027;
июнь 2024;815;0,0024;
июль 2024;809;0,0024;
август 2024;687;0,0020;
сентябрь 2024;824;0,0021;
октябрь 2024;823;0,0020;
ноябрь 2024;883;0,0022;
декабрь 2024;836;0,0020;
