Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Кировская область, все устройства
декабрь 2017;1 449;0,0029;
январь 2018;1 435;0,0029;
февраль 2018;1 504;0,0028;
март 2018;1 444;0,0028;
апрель 2018;1 399;0,0027;
май 2018;2 023;0,0042;
июнь 2018;1 760;0,0038;
июль 2018;1 602;0,0035;
август 2018;1 554;0,0029;
сентябрь 2018;1 784;0,0029;
октябрь 2018;1 703;0,0031;
ноябрь 2018;2 257;0,0041;
декабрь 2018;1 728;0,0031;
январь 2019;1 609;0,0030;
февраль 2019;1 522;0,0027;
март 2019;1 429;0,0026;
апрель 2019;1 294;0,0026;
май 2019;1 345;0,0029;
июнь 2019;1 369;0,0029;
июль 2019;1 410;0,0029;
август 2019;1 340;0,0025;
сентябрь 2019;1 413;0,0023;
октябрь 2019;1 518;0,0025;
ноябрь 2019;1 684;0,0029;
декабрь 2019;1 542;0,0025;
январь 2020;1 466;0,0025;
февраль 2020;1 543;0,0023;
март 2020;1 935;0,0023;
апрель 2020;1 898;0,0024;
май 2020;1 938;0,0032;
июнь 2020;1 542;0,0029;
июль 2020;1 485;0,0028;
август 2020;1 524;0,0025;
сентябрь 2020;1 745;0,0025;
октябрь 2020;1 767;0,0024;
ноябрь 2020;1 995;0,0028;
декабрь 2020;1 585;0,0023;
январь 2021;1 561;0,0023;
февраль 2021;1 666;0,0023;
март 2021;1 805;0,0025;
апрель 2021;1 527;0,0021;
май 2021;1 572;0,0023;
июнь 2021;1 530;0,0024;
июль 2021;1 677;0,0026;
август 2021;1 636;0,0022;
сентябрь 2021;1 702;0,0021;
октябрь 2021;1 698;0,0021;
ноябрь 2021;1 993;0,0024;
декабрь 2021;1 667;0,0020;
январь 2022;1 726;0,0021;
февраль 2022;2 423;0,0027;
март 2022;1 720;0,0020;
апрель 2022;1 615;0,0019;
май 2022;1 689;0,0023;
июнь 2022;1 468;0,0020;
июль 2022;1 716;0,0023;
август 2022;1 519;0,0018;
сентябрь 2022;1 652;0,0018;
октябрь 2022;1 699;0,0020;
ноябрь 2022;1 614;0,0019;
декабрь 2022;1 477;0,0017;
январь 2023;1 518;0,0019;
февраль 2023;1 737;0,0020;
март 2023;1 515;0,0018;
апрель 2023;1 519;0,0019;
май 2023;1 491;0,0020;
июнь 2023;1 464;0,0020;
июль 2023;1 589;0,0023;
август 2023;1 345;0,0018;
сентябрь 2023;1 482;0,0017;
октябрь 2023;1 567;0,0019;
ноябрь 2023;1 574;0,0018;
декабрь 2023;1 371;0,0016;
январь 2024;1 617;0,0021;
февраль 2024;1 494;0,0018;
март 2024;1 671;0,0022;
апрель 2024;1 557;0,0020;
май 2024;1 235;0,0019;
июнь 2024;1 287;0,0020;
июль 2024;1 208;0,0019;
август 2024;1 249;0,0018;
сентябрь 2024;1 439;0,0018;
октябрь 2024;1 356;0,0017;
ноябрь 2024;1 519;0,0019;
декабрь 2024;1 398;0,0017;
