Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Пермский край, все устройства
декабрь 2017;3 279;0,0029;
январь 2018;3 563;0,0032;
февраль 2018;3 628;0,0030;
март 2018;3 332;0,0030;
апрель 2018;3 304;0,0030;
май 2018;4 031;0,0041;
июнь 2018;4 001;0,0043;
июль 2018;3 502;0,0036;
август 2018;3 382;0,0030;
сентябрь 2018;4 183;0,0032;
октябрь 2018;3 864;0,0033;
ноябрь 2018;4 317;0,0038;
декабрь 2018;3 576;0,0031;
январь 2019;3 479;0,0030;
февраль 2019;3 574;0,0030;
март 2019;3 165;0,0027;
апрель 2019;2 934;0,0028;
май 2019;2 844;0,0029;
июнь 2019;2 926;0,0031;
июль 2019;2 841;0,0029;
август 2019;2 775;0,0027;
сентябрь 2019;3 124;0,0026;
октябрь 2019;2 876;0,0024;
ноябрь 2019;3 607;0,0029;
декабрь 2019;3 530;0,0029;
январь 2020;3 460;0,0029;
февраль 2020;3 754;0,0029;
март 2020;4 264;0,0024;
апрель 2020;4 019;0,0028;
май 2020;4 053;0,0033;
июнь 2020;3 543;0,0032;
июль 2020;3 263;0,0029;
август 2020;3 178;0,0026;
сентябрь 2020;3 394;0,0024;
октябрь 2020;3 640;0,0023;
ноябрь 2020;4 098;0,0026;
декабрь 2020;3 213;0,0023;
январь 2021;3 268;0,0024;
февраль 2021;3 628;0,0025;
март 2021;3 745;0,0024;
апрель 2021;3 476;0,0023;
май 2021;3 687;0,0026;
июнь 2021;3 607;0,0028;
июль 2021;3 385;0,0027;
август 2021;3 379;0,0022;
сентябрь 2021;3 822;0,0023;
октябрь 2021;3 825;0,0022;
ноябрь 2021;4 342;0,0024;
декабрь 2021;3 795;0,0022;
январь 2022;3 888;0,0022;
февраль 2022;5 363;0,0028;
март 2022;4 234;0,0023;
апрель 2022;3 668;0,0021;
май 2022;4 190;0,0027;
июнь 2022;3 598;0,0025;
июль 2022;3 788;0,0026;
август 2022;3 876;0,0023;
сентябрь 2022;4 016;0,0022;
октябрь 2022;3 619;0,0020;
ноябрь 2022;3 801;0,0020;
декабрь 2022;3 198;0,0017;
январь 2023;3 527;0,0021;
февраль 2023;3 639;0,0019;
март 2023;3 437;0,0019;
апрель 2023;3 287;0,0020;
май 2023;3 285;0,0021;
июнь 2023;3 407;0,0023;
июль 2023;3 326;0,0023;
август 2023;3 175;0,0020;
сентябрь 2023;3 365;0,0019;
октябрь 2023;3 387;0,0019;
ноябрь 2023;3 509;0,0019;
декабрь 2023;3 051;0,0017;
январь 2024;3 167;0,0019;
февраль 2024;3 481;0,0020;
март 2024;3 266;0,0020;
апрель 2024;3 265;0,0020;
май 2024;2 511;0,0019;
июнь 2024;2 726;0,0020;
июль 2024;2 622;0,0019;
август 2024;2 535;0,0017;
сентябрь 2024;2 938;0,0017;
октябрь 2024;3 127;0,0018;
ноябрь 2024;3 409;0,0019;
декабрь 2024;3 131;0,0018;
