Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Волгоградская область, все устройства
декабрь 2017;3 125;0,0032;
январь 2018;3 355;0,0035;
февраль 2018;3 707;0,0035;
март 2018;2 945;0,0033;
апрель 2018;2 736;0,0031;
май 2018;4 593;0,0056;
июнь 2018;4 363;0,0051;
июль 2018;3 447;0,0042;
август 2018;3 137;0,0033;
сентябрь 2018;3 583;0,0033;
октябрь 2018;3 436;0,0035;
ноябрь 2018;4 267;0,0043;
декабрь 2018;3 508;0,0034;
январь 2019;3 131;0,0031;
февраль 2019;3 331;0,0032;
март 2019;2 815;0,0030;
апрель 2019;2 575;0,0029;
май 2019;2 655;0,0032;
июнь 2019;2 862;0,0034;
июль 2019;2 769;0,0033;
август 2019;2 488;0,0027;
сентябрь 2019;2 790;0,0028;
октябрь 2019;2 678;0,0026;
ноябрь 2019;3 164;0,0029;
декабрь 2019;3 361;0,0030;
январь 2020;2 883;0,0027;
февраль 2020;3 201;0,0028;
март 2020;3 700;0,0024;
апрель 2020;3 789;0,0029;
май 2020;3 637;0,0033;
июнь 2020;3 344;0,0033;
июль 2020;3 384;0,0033;
август 2020;3 166;0,0028;
сентябрь 2020;3 141;0,0024;
октябрь 2020;3 609;0,0025;
ноябрь 2020;3 600;0,0027;
декабрь 2020;3 291;0,0025;
январь 2021;3 361;0,0026;
февраль 2021;3 664;0,0025;
март 2021;3 346;0,0025;
апрель 2021;3 160;0,0024;
май 2021;3 482;0,0027;
июнь 2021;3 183;0,0027;
июль 2021;3 424;0,0029;
август 2021;3 297;0,0025;
сентябрь 2021;3 434;0,0023;
октябрь 2021;3 563;0,0023;
ноябрь 2021;4 145;0,0026;
декабрь 2021;3 670;0,0023;
январь 2022;3 963;0,0026;
февраль 2022;5 302;0,0031;
март 2022;3 767;0,0024;
апрель 2022;3 545;0,0023;
май 2022;3 880;0,0028;
июнь 2022;3 780;0,0027;
июль 2022;4 018;0,0029;
август 2022;3 635;0,0023;
сентябрь 2022;3 472;0,0021;
октябрь 2022;3 713;0,0022;
ноябрь 2022;3 746;0,0022;
декабрь 2022;3 275;0,0019;
январь 2023;3 280;0,0021;
февраль 2023;3 859;0,0023;
март 2023;3 206;0,0021;
апрель 2023;3 139;0,0020;
май 2023;2 927;0,0021;
июнь 2023;3 226;0,0023;
июль 2023;3 133;0,0023;
август 2023;2 878;0,0020;
сентябрь 2023;3 120;0,0019;
октябрь 2023;3 530;0,0021;
ноябрь 2023;3 523;0,0021;
декабрь 2023;2 842;0,0017;
январь 2024;3 222;0,0021;
февраль 2024;3 372;0,0021;
март 2024;2 753;0,0019;
апрель 2024;3 043;0,0021;
май 2024;2 726;0,0021;
июнь 2024;2 774;0,0022;
июль 2024;2 673;0,0021;
август 2024;2 680;0,0020;
сентябрь 2024;2 901;0,0019;
октябрь 2024;3 140;0,0019;
ноябрь 2024;3 265;0,0019;
декабрь 2024;3 187;0,0019;
