Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Новосибирская область, все устройства
декабрь 2017;6 105;0,0033;
январь 2018;6 087;0,0033;
февраль 2018;7 024;0,0034;
март 2018;6 306;0,0034;
апрель 2018;5 769;0,0030;
май 2018;7 663;0,0048;
июнь 2018;6 851;0,0042;
июль 2018;6 452;0,0039;
август 2018;5 985;0,0031;
сентябрь 2018;6 997;0,0031;
октябрь 2018;6 930;0,0035;
ноябрь 2018;8 456;0,0039;
декабрь 2018;7 640;0,0033;
январь 2019;6 977;0,0033;
февраль 2019;7 103;0,0032;
март 2019;6 349;0,0030;
апрель 2019;6 089;0,0030;
май 2019;6 203;0,0033;
июнь 2019;6 038;0,0034;
июль 2019;6 033;0,0034;
август 2019;5 633;0,0029;
сентябрь 2019;5 852;0,0028;
октябрь 2019;5 944;0,0028;
ноябрь 2019;7 034;0,0031;
декабрь 2019;6 599;0,0029;
январь 2020;6 301;0,0028;
февраль 2020;6 965;0,0029;
март 2020;7 596;0,0027;
апрель 2020;7 406;0,0029;
май 2020;6 687;0,0032;
июнь 2020;6 230;0,0031;
июль 2020;6 330;0,0031;
август 2020;5 998;0,0026;
сентябрь 2020;6 520;0,0025;
октябрь 2020;6 693;0,0025;
ноябрь 2020;7 128;0,0026;
декабрь 2020;6 503;0,0026;
январь 2021;5 940;0,0025;
февраль 2021;6 702;0,0026;
март 2021;6 448;0,0026;
апрель 2021;5 319;0,0023;
май 2021;5 531;0,0025;
июнь 2021;6 248;0,0028;
июль 2021;6 806;0,0029;
август 2021;5 523;0,0023;
сентябрь 2021;5 747;0,0023;
октябрь 2021;5 694;0,0023;
ноябрь 2021;6 406;0,0025;
декабрь 2021;5 290;0,0021;
январь 2022;5 754;0,0022;
февраль 2022;8 575;0,0032;
март 2022;6 211;0,0024;
апрель 2022;5 512;0,0022;
май 2022;5 959;0,0025;
июнь 2022;5 688;0,0025;
июль 2022;5 821;0,0025;
август 2022;5 568;0,0022;
сентябрь 2022;5 947;0,0021;
октябрь 2022;5 627;0,0019;
ноябрь 2022;5 749;0,0020;
декабрь 2022;5 372;0,0019;
январь 2023;5 053;0,0019;
февраль 2023;6 381;0,0022;
март 2023;5 610;0,0021;
апрель 2023;4 769;0,0019;
май 2023;4 698;0,0021;
июнь 2023;5 023;0,0023;
июль 2023;4 875;0,0022;
август 2023;4 597;0,0019;
сентябрь 2023;4 861;0,0018;
октябрь 2023;5 442;0,0021;
ноябрь 2023;5 069;0,0019;
декабрь 2023;4 909;0,0018;
январь 2024;5 014;0,0020;
февраль 2024;5 137;0,0020;
март 2024;4 715;0,0020;
апрель 2024;4 697;0,0020;
май 2024;4 426;0,0021;
июнь 2024;4 246;0,0021;
июль 2024;4 372;0,0021;
август 2024;4 307;0,0019;
сентябрь 2024;4 977;0,0019;
октябрь 2024;4 879;0,0019;
ноябрь 2024;5 295;0,0020;
декабрь 2024;5 358;0,0020;
