Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Хакасия, все устройства
декабрь 2017;506;0,0026;
январь 2018;483;0,0026;
февраль 2018;576;0,0029;
март 2018;427;0,0024;
апрель 2018;481;0,0025;
май 2018;584;0,0037;
июнь 2018;618;0,0036;
июль 2018;504;0,0029;
август 2018;494;0,0025;
сентябрь 2018;626;0,0028;
октябрь 2018;597;0,0029;
ноябрь 2018;706;0,0035;
декабрь 2018;564;0,0028;
январь 2019;559;0,0028;
февраль 2019;575;0,0029;
март 2019;441;0,0022;
апрель 2019;492;0,0026;
май 2019;405;0,0024;
июнь 2019;412;0,0024;
июль 2019;442;0,0026;
август 2019;437;0,0024;
сентябрь 2019;437;0,0021;
октябрь 2019;517;0,0024;
ноябрь 2019;521;0,0023;
декабрь 2019;547;0,0023;
январь 2020;609;0,0027;
февраль 2020;568;0,0023;
март 2020;678;0,0022;
апрель 2020;654;0,0023;
май 2020;636;0,0026;
июнь 2020;610;0,0028;
июль 2020;539;0,0025;
август 2020;585;0,0025;
сентябрь 2020;691;0,0025;
октябрь 2020;629;0,0020;
ноябрь 2020;694;0,0024;
декабрь 2020;602;0,0022;
январь 2021;595;0,0023;
февраль 2021;649;0,0024;
март 2021;616;0,0022;
апрель 2021;558;0,0020;
май 2021;588;0,0023;
июнь 2021;617;0,0026;
июль 2021;600;0,0024;
август 2021;581;0,0022;
сентябрь 2021;560;0,0019;
октябрь 2021;665;0,0022;
ноябрь 2021;688;0,0022;
декабрь 2021;568;0,0018;
январь 2022;608;0,0019;
февраль 2022;732;0,0022;
март 2022;581;0,0018;
апрель 2022;557;0,0018;
май 2022;618;0,0022;
июнь 2022;625;0,0023;
июль 2022;676;0,0024;
август 2022;654;0,0022;
сентябрь 2022;615;0,0019;
октябрь 2022;534;0,0015;
ноябрь 2022;669;0,0019;
декабрь 2022;515;0,0015;
январь 2023;529;0,0017;
февраль 2023;668;0,0020;
март 2023;663;0,0020;
апрель 2023;639;0,0020;
май 2023;535;0,0019;
июнь 2023;599;0,0022;
июль 2023;591;0,0021;
август 2023;487;0,0016;
сентябрь 2023;547;0,0017;
октябрь 2023;609;0,0019;
ноябрь 2023;642;0,0019;
декабрь 2023;599;0,0018;
январь 2024;547;0,0017;
февраль 2024;575;0,0018;
март 2024;522;0,0017;
апрель 2024;577;0,0020;
май 2024;479;0,0019;
июнь 2024;502;0,0020;
июль 2024;527;0,0021;
август 2024;420;0,0015;
сентябрь 2024;474;0,0015;
октябрь 2024;501;0,0016;
ноябрь 2024;497;0,0015;
декабрь 2024;563;0,0017;
