Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Приморский край, все устройства
декабрь 2017;1 820;0,0033;
январь 2018;1 754;0,0032;
февраль 2018;1 921;0,0033;
март 2018;1 561;0,0029;
апрель 2018;1 594;0,0029;
май 2018;2 529;0,0049;
июнь 2018;2 493;0,0045;
июль 2018;1 873;0,0034;
август 2018;1 875;0,0033;
сентябрь 2018;2 271;0,0035;
октябрь 2018;2 047;0,0033;
ноябрь 2018;2 728;0,0039;
декабрь 2018;2 806;0,0034;
январь 2019;2 533;0,0033;
февраль 2019;2 544;0,0031;
март 2019;2 409;0,0030;
апрель 2019;2 472;0,0030;
май 2019;2 529;0,0033;
июнь 2019;2 357;0,0032;
июль 2019;2 233;0,0030;
август 2019;2 226;0,0032;
сентябрь 2019;1 959;0,0027;
октябрь 2019;1 875;0,0025;
ноябрь 2019;2 320;0,0030;
декабрь 2019;2 202;0,0028;
январь 2020;2 134;0,0028;
февраль 2020;2 528;0,0031;
март 2020;2 866;0,0029;
апрель 2020;2 565;0,0029;
май 2020;2 540;0,0032;
июнь 2020;2 441;0,0034;
июль 2020;2 427;0,0033;
август 2020;2 272;0,0027;
сентябрь 2020;2 219;0,0024;
октябрь 2020;2 218;0,0025;
ноябрь 2020;2 280;0,0026;
декабрь 2020;2 082;0,0025;
январь 2021;1 981;0,0025;
февраль 2021;2 307;0,0027;
март 2021;2 200;0,0026;
апрель 2021;2 009;0,0024;
май 2021;2 179;0,0026;
июнь 2021;2 199;0,0027;
июль 2021;2 462;0,0029;
август 2021;2 162;0,0026;
сентябрь 2021;2 142;0,0024;
октябрь 2021;2 206;0,0024;
ноябрь 2021;2 531;0,0027;
декабрь 2021;2 272;0,0024;
январь 2022;2 323;0,0025;
февраль 2022;3 091;0,0030;
март 2022;2 678;0,0027;
апрель 2022;2 439;0,0025;
май 2022;2 755;0,0030;
июнь 2022;2 649;0,0029;
июль 2022;2 331;0,0026;
август 2022;2 505;0,0026;
сентябрь 2022;2 543;0,0024;
октябрь 2022;2 639;0,0023;
ноябрь 2022;2 455;0,0023;
декабрь 2022;2 134;0,0020;
январь 2023;2 150;0,0022;
февраль 2023;2 559;0,0024;
март 2023;2 353;0,0023;
апрель 2023;2 254;0,0023;
май 2023;2 197;0,0025;
июнь 2023;2 275;0,0026;
июль 2023;2 079;0,0023;
август 2023;1 950;0,0021;
сентябрь 2023;1 998;0,0020;
октябрь 2023;2 191;0,0022;
ноябрь 2023;2 107;0,0021;
декабрь 2023;2 164;0,0021;
январь 2024;1 989;0,0020;
февраль 2024;2 289;0,0023;
март 2024;1 979;0,0021;
апрель 2024;2 055;0,0022;
май 2024;2 066;0,0025;
июнь 2024;1 980;0,0024;
июль 2024;1 799;0,0022;
август 2024;1 760;0,0021;
сентябрь 2024;1 874;0,0019;
октябрь 2024;1 939;0,0019;
ноябрь 2024;2 099;0,0020;
декабрь 2024;1 953;0,0019;
