Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Дагестан, все устройства
декабрь 2017;1 306;0,0027;
январь 2018;1 120;0,0024;
февраль 2018;1 285;0,0026;
март 2018;1 026;0,0023;
апрель 2018;1 139;0,0026;
май 2018;1 344;0,0033;
июнь 2018;1 374;0,0033;
июль 2018;1 251;0,0030;
август 2018;1 011;0,0022;
сентябрь 2018;1 172;0,0023;
октябрь 2018;1 285;0,0026;
ноябрь 2018;1 502;0,0029;
декабрь 2018;1 573;0,0029;
январь 2019;1 363;0,0027;
февраль 2019;1 287;0,0024;
март 2019;1 192;0,0024;
апрель 2019;1 132;0,0024;
май 2019;1 099;0,0026;
июнь 2019;1 158;0,0027;
июль 2019;1 060;0,0025;
август 2019;1 070;0,0023;
сентябрь 2019;1 066;0,0021;
октябрь 2019;1 075;0,0020;
ноябрь 2019;1 307;0,0022;
декабрь 2019;1 391;0,0022;
январь 2020;1 184;0,0020;
февраль 2020;1 344;0,0022;
март 2020;1 543;0,0018;
апрель 2020;1 989;0,0026;
май 2020;1 775;0,0031;
июнь 2020;1 575;0,0031;
июль 2020;1 507;0,0030;
август 2020;1 278;0,0022;
сентябрь 2020;1 298;0,0019;
октябрь 2020;1 263;0,0018;
ноябрь 2020;1 491;0,0022;
декабрь 2020;1 347;0,0021;
январь 2021;1 112;0,0018;
февраль 2021;1 340;0,0021;
март 2021;1 314;0,0021;
апрель 2021;1 226;0,0020;
май 2021;1 447;0,0024;
июнь 2021;1 573;0,0027;
июль 2021;1 297;0,0022;
август 2021;1 315;0,0020;
сентябрь 2021;1 487;0,0020;
октябрь 2021;1 491;0,0020;
ноябрь 2021;1 726;0,0022;
декабрь 2021;1 518;0,0019;
январь 2022;1 553;0,0020;
февраль 2022;1 897;0,0023;
март 2022;1 634;0,0021;
апрель 2022;1 759;0,0023;
май 2022;1 658;0,0024;
июнь 2022;1 670;0,0024;
июль 2022;1 643;0,0023;
август 2022;1 644;0,0022;
сентябрь 2022;1 584;0,0019;
октябрь 2022;1 743;0,0021;
ноябрь 2022;1 750;0,0021;
декабрь 2022;1 551;0,0019;
январь 2023;1 608;0,0021;
февраль 2023;1 637;0,0021;
март 2023;1 663;0,0022;
апрель 2023;1 555;0,0021;
май 2023;1 446;0,0022;
июнь 2023;1 614;0,0023;
июль 2023;1 560;0,0022;
август 2023;1 705;0,0023;
сентябрь 2023;1 669;0,0021;
октябрь 2023;1 839;0,0023;
ноябрь 2023;1 736;0,0021;
декабрь 2023;1 691;0,0020;
январь 2024;1 659;0,0022;
февраль 2024;1 768;0,0023;
март 2024;1 362;0,0020;
апрель 2024;1 510;0,0021;
май 2024;1 477;0,0024;
июнь 2024;1 447;0,0023;
июль 2024;1 434;0,0020;
август 2024;1 233;0,0018;
сентябрь 2024;1 477;0,0020;
октябрь 2024;1 576;0,0018;
ноябрь 2024;1 543;0,0018;
декабрь 2024;1 568;0,0020;
