Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Ханты-Мансийский автономный округ - Югра, все устройства
декабрь 2017;2 393;0,0032;
январь 2018;2 468;0,0033;
февраль 2018;2 712;0,0035;
март 2018;2 335;0,0033;
апрель 2018;2 466;0,0034;
май 2018;3 214;0,0055;
июнь 2018;2 802;0,0051;
июль 2018;2 353;0,0042;
август 2018;2 447;0,0035;
сентябрь 2018;2 913;0,0036;
октябрь 2018;2 690;0,0035;
ноябрь 2018;3 238;0,0042;
декабрь 2018;2 763;0,0035;
январь 2019;2 686;0,0034;
февраль 2019;2 291;0,0029;
март 2019;2 287;0,0030;
апрель 2019;2 179;0,0030;
май 2019;1 775;0,0030;
июнь 2019;1 789;0,0033;
июль 2019;1 737;0,0031;
август 2019;1 852;0,0028;
сентябрь 2019;2 149;0,0027;
октябрь 2019;2 143;0,0026;
ноябрь 2019;2 665;0,0031;
декабрь 2019;2 501;0,0029;
январь 2020;2 378;0,0028;
февраль 2020;2 720;0,0029;
март 2020;3 033;0,0025;
апрель 2020;2 998;0,0028;
май 2020;2 717;0,0032;
июнь 2020;2 502;0,0035;
июль 2020;2 354;0,0034;
август 2020;2 075;0,0024;
сентябрь 2020;2 540;0,0024;
октябрь 2020;2 648;0,0022;
ноябрь 2020;2 611;0,0024;
декабрь 2020;2 236;0,0021;
январь 2021;2 280;0,0023;
февраль 2021;2 516;0,0025;
март 2021;2 439;0,0024;
апрель 2021;2 271;0,0023;
май 2021;2 372;0,0027;
июнь 2021;2 263;0,0029;
июль 2021;2 456;0,0031;
август 2021;2 161;0,0022;
сентябрь 2021;2 403;0,0022;
октябрь 2021;2 418;0,0021;
ноябрь 2021;2 745;0,0023;
декабрь 2021;2 422;0,0020;
январь 2022;2 586;0,0022;
февраль 2022;3 655;0,0030;
март 2022;2 898;0,0025;
апрель 2022;2 662;0,0023;
май 2022;2 771;0,0028;
июнь 2022;2 579;0,0029;
июль 2022;2 363;0,0025;
август 2022;2 469;0,0022;
сентябрь 2022;2 407;0,0020;
октябрь 2022;2 599;0,0021;
ноябрь 2022;2 736;0,0021;
декабрь 2022;2 327;0,0018;
январь 2023;2 304;0,0020;
февраль 2023;2 592;0,0021;
март 2023;2 802;0,0023;
апрель 2023;2 407;0,0021;
май 2023;2 169;0,0023;
июнь 2023;2 140;0,0025;
июль 2023;2 122;0,0024;
август 2023;2 300;0,0022;
сентябрь 2023;2 163;0,0018;
октябрь 2023;2 365;0,0020;
ноябрь 2023;2 404;0,0019;
декабрь 2023;2 110;0,0018;
январь 2024;2 110;0,0018;
февраль 2024;2 274;0,0019;
март 2024;2 202;0,0019;
апрель 2024;2 234;0,0020;
май 2024;1 879;0,0022;
июнь 2024;1 838;0,0023;
июль 2024;1 630;0,0021;
август 2024;1 689;0,0018;
сентябрь 2024;1 927;0,0017;
октябрь 2024;1 804;0,0015;
ноябрь 2024;2 250;0,0018;
декабрь 2024;2 249;0,0019;
