Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Челябинская область, все устройства
декабрь 2017;4 637;0,0029;
январь 2018;4 935;0,0032;
февраль 2018;5 103;0,0031;
март 2018;4 443;0,0029;
апрель 2018;4 582;0,0031;
май 2018;6 016;0,0044;
июнь 2018;5 538;0,0043;
июль 2018;4 740;0,0034;
август 2018;4 605;0,0029;
сентябрь 2018;5 429;0,0030;
октябрь 2018;5 235;0,0032;
ноябрь 2018;6 074;0,0037;
декабрь 2018;4 980;0,0030;
январь 2019;4 699;0,0028;
февраль 2019;4 804;0,0029;
март 2019;4 571;0,0028;
апрель 2019;4 337;0,0029;
май 2019;4 187;0,0031;
июнь 2019;4 183;0,0032;
июль 2019;4 203;0,0030;
август 2019;4 059;0,0026;
сентябрь 2019;4 371;0,0025;
октябрь 2019;4 704;0,0026;
ноябрь 2019;5 136;0,0027;
декабрь 2019;4 980;0,0026;
январь 2020;4 776;0,0026;
февраль 2020;5 122;0,0026;
март 2020;5 725;0,0023;
апрель 2020;5 573;0,0027;
май 2020;5 488;0,0031;
июнь 2020;4 715;0,0030;
июль 2020;4 762;0,0029;
август 2020;4 324;0,0023;
сентябрь 2020;4 963;0,0023;
октябрь 2020;5 048;0,0023;
ноябрь 2020;5 760;0,0025;
декабрь 2020;5 186;0,0023;
январь 2021;5 320;0,0023;
февраль 2021;6 086;0,0024;
март 2021;5 533;0,0024;
апрель 2021;4 430;0,0022;
май 2021;5 012;0,0025;
июнь 2021;5 351;0,0028;
июль 2021;5 547;0,0029;
август 2021;4 696;0,0022;
сентябрь 2021;4 976;0,0022;
октябрь 2021;5 152;0,0021;
ноябрь 2021;5 782;0,0024;
декабрь 2021;4 792;0,0020;
январь 2022;5 215;0,0022;
февраль 2022;7 308;0,0028;
март 2022;5 456;0,0022;
апрель 2022;4 880;0,0021;
май 2022;5 381;0,0025;
июнь 2022;4 918;0,0025;
июль 2022;5 052;0,0025;
август 2022;4 700;0,0020;
сентябрь 2022;4 931;0,0020;
октябрь 2022;4 816;0,0019;
ноябрь 2022;5 228;0,0020;
декабрь 2022;4 594;0,0018;
январь 2023;4 582;0,0019;
февраль 2023;5 164;0,0020;
март 2023;4 375;0,0018;
апрель 2023;4 134;0,0018;
май 2023;4 282;0,0020;
июнь 2023;4 481;0,0022;
июль 2023;4 448;0,0021;
август 2023;4 217;0,0018;
сентябрь 2023;4 238;0,0017;
октябрь 2023;4 641;0,0019;
ноябрь 2023;4 655;0,0018;
декабрь 2023;4 319;0,0017;
январь 2024;4 420;0,0018;
февраль 2024;4 794;0,0020;
март 2024;4 018;0,0018;
апрель 2024;4 366;0,0020;
май 2024;3 899;0,0020;
июнь 2024;3 909;0,0021;
июль 2024;3 635;0,0019;
август 2024;3 592;0,0018;
сентябрь 2024;4 051;0,0017;
октябрь 2024;3 976;0,0017;
ноябрь 2024;4 463;0,0018;
декабрь 2024;4 498;0,0019;
