Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег в Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Москва, все устройства
декабрь 2017;36;0,00000287;
январь 2018;66;0,00000503;
февраль 2018;56;0,00000394;
март 2018;45;0,00000352;
апрель 2018;45;0,00000355;
май 2018;46;0,00000395;
июнь 2018;30;0,00000251;
июль 2018;37;0,00000311;
август 2018;27;0,00000195;
сентябрь 2018;47;0,00000296;
октябрь 2018;45;0,00000302;
ноябрь 2018;34;0,00000228;
декабрь 2018;43;0,00000286;
январь 2019;30;0,00000215;
февраль 2019;54;0,00000378;
март 2019;72;0,00000533;
апрель 2019;42;0,00000328;
май 2019;51;0,00000428;
июнь 2019;46;0,00000366;
июль 2019;37;0,00000314;
август 2019;37;0,00000278;
сентябрь 2019;47;0,00000316;
октябрь 2019;35;0,00000243;
ноябрь 2019;43;0,00000289;
декабрь 2019;23;0,00000153;
январь 2020;36;0,00000242;
февраль 2020;38;0,00000242;
март 2020;11;0,00000064;
апрель 2020;27;0,00000171;
май 2020;49;0,00000350;
июнь 2020;59;0,00000432;
июль 2020;41;0,00000305;
август 2020;48;0,00000309;
сентябрь 2020;30;0,00000174;
октябрь 2020;36;0,00000195;
ноябрь 2020;35;0,00000197;
декабрь 2020;18;0,00000112;
январь 2021;24;0,00000152;
февраль 2021;27;0,00000156;
март 2021;32;0,00000188;
апрель 2021;29;0,00000190;
май 2021;33;0,00000221;
июнь 2021;29;0,00000179;
июль 2021;30;0,00000175;
август 2021;29;0,00000169;
сентябрь 2021;23;0,00000134;
октябрь 2021;25;0,00000151;
ноябрь 2021;34;0,00000200;
декабрь 2021;17;0,00000098;
январь 2022;27;0,00000154;
февраль 2022;111;0,00000614;
март 2022;129;0,00000768;
апрель 2022;98;0,00000551;
май 2022;59;0,00000385;
июнь 2022;51;0,00000356;
июль 2022;55;0,00000355;
август 2022;58;0,00000337;
сентябрь 2022;66;0,00000395;
октябрь 2022;123;0,00000731;
ноябрь 2022;78;0,00000475;
декабрь 2022;52;0,00000338;
январь 2023;48;0,00000330;
февраль 2023;91;0,00000563;
март 2023;62;0,00000430;
апрель 2023;68;0,00000479;
май 2023;58;0,00000448;
июнь 2023;49;0,00000402;
июль 2023;68;0,00000557;
август 2023;75;0,00000549;
сентябрь 2023;69;0,00000440;
октябрь 2023;34;0,00000227;
ноябрь 2023;60;0,00000395;
декабрь 2023;84;0,00000528;
январь 2024;71;0,00000501;
февраль 2024;71;0,00000474;
март 2024;98;0,00000709;
апрель 2024;111;0,00000804;
май 2024;68;0,00000579;
июнь 2024;60;0,00000536;
июль 2024;88;0,00000777;
август 2024;115;0,00000926;
сентябрь 2024;65;0,00000458;
октябрь 2024;75;0,00000496;
ноябрь 2024;89;0,00000582;
декабрь 2024;68;0,00000464;
