Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег в Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Пермский край, все устройства
декабрь 2017;0;0;
январь 2018;1;0,00000090;
февраль 2018;0;0;
март 2018;1;0,00000091;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;3;0,00000230;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;1;0,00000107;
июль 2019;2;0,00000205;
август 2019;0;0;
сентябрь 2019;2;0,00000168;
октябрь 2019;1;0,00000085;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;1;0,00000084;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;3;0,00000277;
июль 2020;0;0;
август 2020;2;0,00000164;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;2;0,00000107;
март 2022;4;0,00000226;
апрель 2022;0;0;
май 2022;0;0;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;1;0,00000060;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;1;0,00000066;
июнь 2023;0;0;
июль 2023;1;0,00000070;
август 2023;0;0;
сентябрь 2023;3;0,00000172;
октябрь 2023;0;0;
ноябрь 2023;3;0,00000168;
декабрь 2023;1;0,00000057;
январь 2024;1;0,00000060;
февраль 2024;1;0,00000059;
март 2024;0;0;
апрель 2024;0;0;
май 2024;1;0,00000075;
июнь 2024;0;0;
июль 2024;2;0,00000151;
август 2024;4;0,00000279;
сентябрь 2024;6;0,00000364;
октябрь 2024;1;0,00000059;
ноябрь 2024;1;0,00000057;
декабрь 2024;2;0,00000117;
