Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег в Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Волгоградская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;1;0,00000118;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;2;0,00000200;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;2;0,00000135;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;1;0,00000070;
март 2021;0;0;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;7;0,00000413;
март 2022;0;0;
апрель 2022;0;0;
май 2022;0;0;
июнь 2022;2;0,00000145;
июль 2022;0;0;
август 2022;2;0,00000131;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;1;0,00000072;
июнь 2023;0;0;
июль 2023;1;0,00000073;
август 2023;2;0,00000141;
сентябрь 2023;1;0,00000062;
октябрь 2023;1;0,00000062;
ноябрь 2023;0;0;
декабрь 2023;1;0,00000061;
январь 2024;0;0;
февраль 2024;1;0,00000062;
март 2024;3;0,00000211;
апрель 2024;1;0,00000070;
май 2024;1;0,00000079;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;3;0,00000197;
октябрь 2024;4;0,00000252;
ноябрь 2024;1;0,00000060;
декабрь 2024;2;0,00000122;
