Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег в Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Ставропольский край, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;8;0,00000891;
сентябрь 2018;0;0;
октябрь 2018;1;0,00000105;
ноябрь 2018;0;0;
декабрь 2018;1;0,00000096;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;3;0,00000348;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;1;0,00000109;
сентябрь 2019;1;0,00000100;
октябрь 2019;0;0;
ноябрь 2019;4;0,00000365;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;1;0,00000088;
июнь 2020;1;0,00000094;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;1;0,00000078;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;6;0,00000432;
февраль 2022;0;0;
март 2022;0;0;
апрель 2022;4;0,00000273;
май 2022;3;0,00000222;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;2;0,00000126;
ноябрь 2022;1;0,00000062;
декабрь 2022;0;0;
январь 2023;3;0,00000206;
февраль 2023;2;0,00000127;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;2;0,00000152;
август 2023;1;0,00000073;
сентябрь 2023;2;0,00000135;
октябрь 2023;0;0;
ноябрь 2023;2;0,00000133;
декабрь 2023;3;0,00000197;
январь 2024;0;0;
февраль 2024;1;0,00000069;
март 2024;2;0,00000149;
апрель 2024;0;0;
май 2024;2;0,00000166;
июнь 2024;2;0,00000164;
июль 2024;31;0,00002546;
август 2024;5;0,00000389;
сентябрь 2024;5;0,00000355;
октябрь 2024;1;0,00000068;
ноябрь 2024;4;0,00000263;
декабрь 2024;0;0;
