Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег в Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Ханты-Мансийский автономный округ - Югра, все устройства
декабрь 2017;0;0;
январь 2018;3;0,00000412;
февраль 2018;0;0;
март 2018;2;0,00000283;
апрель 2018;0;0;
май 2018;2;0,00000343;
июнь 2018;0;0;
июль 2018;2;0,00000357;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;2;0,00000263;
ноябрь 2018;1;0,00000132;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;3;0,00000384;
март 2019;1;0,00000131;
апрель 2019;2;0,00000280;
май 2019;0;0;
июнь 2019;3;0,00000565;
июль 2019;2;0,00000367;
август 2019;3;0,00000453;
сентябрь 2019;0;0;
октябрь 2019;1;0,00000125;
ноябрь 2019;5;0,00000599;
декабрь 2019;1;0,00000116;
январь 2020;1;0,00000117;
февраль 2020;2;0,00000216;
март 2020;5;0,00000418;
апрель 2020;1;0,00000095;
май 2020;0;0;
июнь 2020;7;0,00000990;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;2;0,00000185;
декабрь 2020;0;0;
январь 2021;4;0,00000417;
февраль 2021;5;0,00000514;
март 2021;1;0,00000100;
апрель 2021;2;0,00000205;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;2;0,00000211;
сентябрь 2021;0;0;
октябрь 2021;2;0,00000179;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;2;0,00000164;
март 2022;6;0,00000520;
апрель 2022;5;0,00000450;
май 2022;2;0,00000205;
июнь 2022;2;0,00000231;
июль 2022;1;0,00000109;
август 2022;17;0,00001579;
сентябрь 2022;0;0;
октябрь 2022;2;0,00000162;
ноябрь 2022;2;0,00000155;
декабрь 2022;1;0,00000081;
январь 2023;5;0,00000440;
февраль 2023;2;0,00000162;
март 2023;3;0,00000251;
апрель 2023;5;0,00000454;
май 2023;1;0,00000106;
июнь 2023;3;0,00000356;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;2;0,00000173;
октябрь 2023;1;0,00000087;
ноябрь 2023;3;0,00000242;
декабрь 2023;1;0,00000085;
январь 2024;0;0;
февраль 2024;3;0,00000259;
март 2024;5;0,00000443;
апрель 2024;7;0,00000657;
май 2024;1;0,00000121;
июнь 2024;4;0,00000517;
июль 2024;2;0,00000258;
август 2024;4;0,00000436;
сентябрь 2024;6;0,00000548;
октябрь 2024;7;0,00000614;
ноябрь 2024;3;0,00000252;
декабрь 2024;6;0,00000527;
