Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Костромская область, все устройства
декабрь 2017;687;0,0026;
январь 2018;555;0,0021;
февраль 2018;541;0,0019;
март 2018;516;0,0020;
апрель 2018;551;0,0022;
май 2018;538;0,0023;
июнь 2018;480;0,0020;
июль 2018;503;0,0021;
август 2018;464;0,0017;
сентябрь 2018;716;0,0023;
октябрь 2018;663;0,0023;
ноябрь 2018;536;0,0019;
декабрь 2018;725;0,0025;
январь 2019;644;0,0023;
февраль 2019;681;0,0023;
март 2019;616;0,0022;
апрель 2019;509;0,0019;
май 2019;677;0,0028;
июнь 2019;518;0,0021;
июль 2019;486;0,0020;
август 2019;427;0,0016;
сентябрь 2019;676;0,0023;
октябрь 2019;686;0,0023;
ноябрь 2019;484;0,0015;
декабрь 2019;608;0,0019;
январь 2020;605;0,0020;
февраль 2020;620;0,0018;
март 2020;1 160;0,0025;
апрель 2020;1 010;0,0025;
май 2020;946;0,0031;
июнь 2020;803;0,0028;
июль 2020;564;0,0019;
август 2020;547;0,0017;
сентябрь 2020;612;0,0017;
октябрь 2020;847;0,0022;
ноябрь 2020;769;0,0021;
декабрь 2020;909;0,0025;
январь 2021;921;0,0027;
февраль 2021;1 045;0,0028;
март 2021;886;0,0023;
апрель 2021;775;0,0020;
май 2021;592;0,0016;
июнь 2021;521;0,0015;
июль 2021;545;0,0015;
август 2021;598;0,0015;
сентябрь 2021;770;0,0018;
октябрь 2021;796;0,0018;
ноябрь 2021;986;0,0022;
декабрь 2021;938;0,0021;
январь 2022;836;0,0019;
февраль 2022;757;0,0016;
март 2022;923;0,0020;
апрель 2022;1 077;0,0024;
май 2022;673;0,0017;
июнь 2022;793;0,0020;
июль 2022;856;0,0022;
август 2022;811;0,0018;
сентябрь 2022;790;0,0017;
октябрь 2022;785;0,0016;
ноябрь 2022;761;0,0016;
декабрь 2022;745;0,0016;
январь 2023;814;0,0019;
февраль 2023;927;0,0019;
март 2023;735;0,0017;
апрель 2023;644;0,0015;
май 2023;671;0,0017;
июнь 2023;491;0,0012;
июль 2023;531;0,0014;
август 2023;512;0,0012;
сентябрь 2023;726;0,0016;
октябрь 2023;642;0,0014;
ноябрь 2023;573;0,0013;
декабрь 2023;743;0,0016;
январь 2024;564;0,0013;
февраль 2024;611;0,0014;
март 2024;623;0,0015;
апрель 2024;641;0,0016;
май 2024;522;0,0015;
июнь 2024;404;0,0011;
июль 2024;383;0,0010;
август 2024;541;0,0014;
сентябрь 2024;721;0,0017;
октябрь 2024;693;0,0016;
ноябрь 2024;690;0,0015;
декабрь 2024;649;0,0014;
