Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Тамбовская область, все устройства
декабрь 2017;701;0,0020;
январь 2018;746;0,0021;
февраль 2018;622;0,0016;
март 2018;571;0,0017;
апрель 2018;520;0,0016;
май 2018;417;0,0014;
июнь 2018;443;0,0014;
июль 2018;465;0,0015;
август 2018;548;0,0015;
сентябрь 2018;725;0,0017;
октябрь 2018;636;0,0017;
ноябрь 2018;429;0,0011;
декабрь 2018;632;0,0015;
январь 2019;675;0,0017;
февраль 2019;678;0,0016;
март 2019;523;0,0014;
апрель 2019;516;0,0014;
май 2019;687;0,0021;
июнь 2019;683;0,0020;
июль 2019;410;0,0012;
август 2019;428;0,0012;
сентябрь 2019;651;0,0016;
октябрь 2019;773;0,0018;
ноябрь 2019;700;0,0016;
декабрь 2019;960;0,0021;
январь 2020;884;0,0020;
февраль 2020;764;0,0016;
март 2020;1 318;0,0022;
апрель 2020;1 153;0,0022;
май 2020;834;0,0020;
июнь 2020;734;0,0019;
июль 2020;492;0,0012;
август 2020;668;0,0015;
сентябрь 2020;721;0,0014;
октябрь 2020;1 069;0,0019;
ноябрь 2020;950;0,0018;
декабрь 2020;1 088;0,0021;
январь 2021;1 250;0,0024;
февраль 2021;1 160;0,0021;
март 2021;1 210;0,0021;
апрель 2021;1 066;0,0019;
май 2021;968;0,0019;
июнь 2021;640;0,0013;
июль 2021;737;0,0015;
август 2021;873;0,0015;
сентябрь 2021;1 031;0,0016;
октябрь 2021;1 038;0,0016;
ноябрь 2021;1 033;0,0016;
декабрь 2021;1 060;0,0016;
январь 2022;1 092;0,0017;
февраль 2022;1 089;0,0015;
март 2022;1 138;0,0017;
апрель 2022;973;0,0015;
май 2022;876;0,0015;
июнь 2022;804;0,0014;
июль 2022;730;0,0013;
август 2022;874;0,0013;
сентябрь 2022;904;0,0013;
октябрь 2022;931;0,0013;
ноябрь 2022;898;0,0012;
декабрь 2022;976;0,0014;
январь 2023;792;0,0012;
февраль 2023;969;0,0014;
март 2023;678;0,0010;
апрель 2023;913;0,0015;
май 2023;595;0,0010;
июнь 2023;643;0,0011;
июль 2023;626;0,0011;
август 2023;701;0,0012;
сентябрь 2023;975;0,0014;
октябрь 2023;863;0,0013;
ноябрь 2023;806;0,0012;
декабрь 2023;930;0,0014;
январь 2024;796;0,0012;
февраль 2024;818;0,0013;
март 2024;628;0,0010;
апрель 2024;745;0,0013;
май 2024;618;0,0012;
июнь 2024;615;0,0012;
июль 2024;693;0,0013;
август 2024;754;0,0014;
сентябрь 2024;939;0,0015;
октябрь 2024;928;0,0014;
ноябрь 2024;930;0,0014;
декабрь 2024;970;0,0014;
