Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Новгородская область, все устройства
декабрь 2017;949;0,0041;
январь 2018;968;0,0041;
февраль 2018;1 061;0,0041;
март 2018;774;0,0033;
апрель 2018;738;0,0033;
май 2018;615;0,0028;
июнь 2018;636;0,0029;
июль 2018;824;0,0037;
август 2018;942;0,0038;
сентябрь 2018;1 176;0,0041;
октябрь 2018;1 050;0,0041;
ноябрь 2018;795;0,0031;
декабрь 2018;994;0,0038;
январь 2019;1 001;0,0039;
февраль 2019;947;0,0035;
март 2019;725;0,0029;
апрель 2019;722;0,0030;
май 2019;743;0,0034;
июнь 2019;644;0,0028;
июль 2019;660;0,0030;
август 2019;858;0,0036;
сентябрь 2019;936;0,0034;
октябрь 2019;835;0,0031;
ноябрь 2019;716;0,0025;
декабрь 2019;927;0,0032;
январь 2020;974;0,0034;
февраль 2020;762;0,0024;
март 2020;950;0,0024;
апрель 2020;848;0,0025;
май 2020;702;0,0025;
июнь 2020;646;0,0024;
июль 2020;682;0,0026;
август 2020;755;0,0025;
сентябрь 2020;753;0,0021;
октябрь 2020;961;0,0027;
ноябрь 2020;895;0,0027;
декабрь 2020;1 153;0,0036;
январь 2021;1 164;0,0039;
февраль 2021;923;0,0028;
март 2021;1 340;0,0038;
апрель 2021;976;0,0027;
май 2021;777;0,0023;
июнь 2021;647;0,0022;
июль 2021;728;0,0024;
август 2021;952;0,0027;
сентябрь 2021;992;0,0025;
октябрь 2021;976;0,0024;
ноябрь 2021;1 055;0,0026;
декабрь 2021;1 190;0,0029;
январь 2022;863;0,0021;
февраль 2022;1 090;0,0025;
март 2022;977;0,0023;
апрель 2022;929;0,0023;
май 2022;827;0,0022;
июнь 2022;766;0,0020;
июль 2022;898;0,0024;
август 2022;833;0,0020;
сентябрь 2022;959;0,0022;
октябрь 2022;988;0,0022;
ноябрь 2022;832;0,0019;
декабрь 2022;852;0,0020;
январь 2023;745;0,0019;
февраль 2023;870;0,0020;
март 2023;749;0,0018;
апрель 2023;780;0,0019;
май 2023;674;0,0018;
июнь 2023;603;0,0016;
июль 2023;627;0,0017;
август 2023;785;0,0020;
сентябрь 2023;924;0,0022;
октябрь 2023;885;0,0021;
ноябрь 2023;708;0,0017;
декабрь 2023;877;0,0020;
январь 2024;697;0,0017;
февраль 2024;779;0,0019;
март 2024;622;0,0016;
апрель 2024;589;0,0016;
май 2024;569;0,0017;
июнь 2024;554;0,0016;
июль 2024;550;0,0016;
август 2024;696;0,0020;
сентябрь 2024;807;0,0020;
октябрь 2024;849;0,0020;
ноябрь 2024;954;0,0023;
декабрь 2024;901;0,0021;
