Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Республика Коми, все устройства
декабрь 2017;1 094;0,0029;
январь 2018;972;0,0026;
февраль 2018;985;0,0024;
март 2018;877;0,0023;
апрель 2018;925;0,0024;
май 2018;727;0,0022;
июнь 2018;614;0,0020;
июль 2018;652;0,0021;
август 2018;874;0,0023;
сентябрь 2018;1 099;0,0024;
октябрь 2018;1 058;0,0026;
ноябрь 2018;1 041;0,0026;
декабрь 2018;1 054;0,0025;
январь 2019;1 123;0,0028;
февраль 2019;810;0,0019;
март 2019;777;0,0019;
апрель 2019;712;0,0019;
май 2019;690;0,0021;
июнь 2019;649;0,0021;
июль 2019;666;0,0022;
август 2019;638;0,0018;
сентябрь 2019;884;0,0022;
октябрь 2019;800;0,0020;
ноябрь 2019;701;0,0017;
декабрь 2019;847;0,0020;
январь 2020;917;0,0022;
февраль 2020;912;0,0019;
март 2020;1 311;0,0022;
апрель 2020;1 452;0,0027;
май 2020;875;0,0022;
июнь 2020;762;0,0022;
июль 2020;604;0,0017;
август 2020;681;0,0017;
сентябрь 2020;900;0,0019;
октябрь 2020;1 215;0,0025;
ноябрь 2020;1 066;0,0022;
декабрь 2020;1 295;0,0028;
январь 2021;1 403;0,0031;
февраль 2021;1 180;0,0025;
март 2021;1 417;0,0028;
апрель 2021;1 146;0,0023;
май 2021;960;0,0022;
июнь 2021;677;0,0018;
июль 2021;711;0,0018;
август 2021;906;0,0019;
сентябрь 2021;1 186;0,0022;
октябрь 2021;1 390;0,0025;
ноябрь 2021;1 185;0,0021;
декабрь 2021;1 114;0,0020;
январь 2022;1 290;0,0023;
февраль 2022;1 286;0,0021;
март 2022;1 052;0,0018;
апрель 2022;1 050;0,0019;
май 2022;902;0,0019;
июнь 2022;845;0,0019;
июль 2022;944;0,0021;
август 2022;921;0,0018;
сентябрь 2022;1 136;0,0020;
октябрь 2022;1 227;0,0021;
ноябрь 2022;888;0,0015;
декабрь 2022;909;0,0015;
январь 2023;814;0,0015;
февраль 2023;992;0,0017;
март 2023;785;0,0014;
апрель 2023;830;0,0015;
май 2023;715;0,0015;
июнь 2023;639;0,0015;
июль 2023;625;0,0015;
август 2023;746;0,0016;
сентябрь 2023;1 119;0,0021;
октябрь 2023;929;0,0017;
ноябрь 2023;824;0,0015;
декабрь 2023;1 013;0,0018;
январь 2024;891;0,0017;
февраль 2024;844;0,0016;
март 2024;880;0,0017;
апрель 2024;774;0,0015;
май 2024;645;0,0016;
июнь 2024;590;0,0015;
июль 2024;536;0,0014;
август 2024;724;0,0017;
сентябрь 2024;1 093;0,0022;
октябрь 2024;994;0,0019;
ноябрь 2024;863;0,0016;
декабрь 2024;980;0,0019;
