Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Москва и область, кроме Москва, все устройства
декабрь 2017;13 221;0,0030;
январь 2018;12 521;0,0029;
февраль 2018;13 280;0,0027;
март 2018;11 269;0,0026;
апрель 2018;10 202;0,0024;
май 2018;9 380;0,0023;
июнь 2018;10 257;0,0025;
июль 2018;10 875;0,0026;
август 2018;13 371;0,0028;
сентябрь 2018;15 529;0,0028;
октябрь 2018;14 073;0,0028;
ноябрь 2018;10 833;0,0021;
декабрь 2018;14 952;0,0028;
январь 2019;15 225;0,0029;
февраль 2019;14 700;0,0026;
март 2019;12 541;0,0024;
апрель 2019;12 073;0,0025;
май 2019;11 803;0,0025;
июнь 2019;12 851;0,0027;
июль 2019;12 634;0,0027;
август 2019;14 264;0,0029;
сентябрь 2019;16 945;0,0031;
октябрь 2019;15 704;0,0028;
ноябрь 2019;12 858;0,0022;
декабрь 2019;18 778;0,0032;
январь 2020;16 993;0,0030;
февраль 2020;16 114;0,0025;
март 2020;18 811;0,0024;
апрель 2020;19 779;0,0026;
май 2020;19 102;0,0032;
июнь 2020;16 142;0,0029;
июль 2020;14 200;0,0026;
август 2020;15 767;0,0026;
сентябрь 2020;17 245;0,0025;
октябрь 2020;20 232;0,0028;
ноябрь 2020;17 856;0,0026;
декабрь 2020;21 076;0,0032;
январь 2021;21 894;0,0036;
февраль 2021;20 652;0,0031;
март 2021;20 612;0,0029;
апрель 2021;20 927;0,0026;
май 2021;19 524;0,0026;
июнь 2021;13 877;0,0022;
июль 2021;15 414;0,0023;
август 2021;21 568;0,0027;
сентябрь 2021;23 215;0,0027;
октябрь 2021;26 374;0,0030;
ноябрь 2021;21 535;0,0024;
декабрь 2021;24 584;0,0027;
январь 2022;25 579;0,0029;
февраль 2022;27 279;0,0027;
март 2022;23 819;0,0026;
апрель 2022;21 112;0,0023;
май 2022;19 860;0,0024;
июнь 2022;18 546;0,0022;
июль 2022;20 110;0,0024;
август 2022;19 506;0,0021;
сентябрь 2022;20 255;0,0021;
октябрь 2022;19 825;0,0021;
ноябрь 2022;15 629;0,0016;
декабрь 2022;17 909;0,0019;
январь 2023;16 011;0,0019;
февраль 2023;17 442;0,0018;
март 2023;13 963;0,0016;
апрель 2023;14 920;0,0017;
май 2023;13 078;0,0016;
июнь 2023;12 524;0,0016;
июль 2023;12 471;0,0016;
август 2023;13 939;0,0017;
сентябрь 2023;15 757;0,0018;
октябрь 2023;15 143;0,0018;
ноябрь 2023;12 752;0,0015;
декабрь 2023;16 139;0,0018;
январь 2024;14 993;0,0018;
февраль 2024;15 133;0,0017;
март 2024;13 947;0,0017;
апрель 2024;12 966;0,0016;
май 2024;11 072;0,0015;
июнь 2024;11 490;0,0015;
июль 2024;10 848;0,0014;
август 2024;12 862;0,0017;
сентябрь 2024;17 633;0,0021;
октябрь 2024;18 291;0,0021;
ноябрь 2024;16 791;0,0019;
декабрь 2024;18 814;0,0021;
