Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Красноярский край, все устройства
декабрь 2017;5 075;0,0040;
январь 2018;5 076;0,0042;
февраль 2018;4 536;0,0035;
март 2018;3 960;0,0033;
апрель 2018;3 694;0,0029;
май 2018;2 816;0,0027;
июнь 2018;2 989;0,0028;
июль 2018;3 530;0,0032;
август 2018;4 617;0,0037;
сентябрь 2018;5 689;0,0039;
октябрь 2018;4 722;0,0035;
ноябрь 2018;3 459;0,0025;
декабрь 2018;4 618;0,0035;
январь 2019;4 029;0,0030;
февраль 2019;3 962;0,0029;
март 2019;4 092;0,0031;
апрель 2019;3 023;0,0024;
май 2019;3 464;0,0032;
июнь 2019;3 126;0,0030;
июль 2019;3 172;0,0029;
август 2019;3 811;0,0031;
сентябрь 2019;4 085;0,0029;
октябрь 2019;4 097;0,0029;
ноябрь 2019;3 726;0,0025;
декабрь 2019;4 226;0,0028;
январь 2020;3 766;0,0026;
февраль 2020;4 139;0,0026;
март 2020;4 893;0,0025;
апрель 2020;4 867;0,0027;
май 2020;3 953;0,0027;
июнь 2020;2 820;0,0021;
июль 2020;2 507;0,0019;
август 2020;3 704;0,0024;
сентябрь 2020;4 576;0,0024;
октябрь 2020;5 956;0,0028;
ноябрь 2020;5 391;0,0028;
декабрь 2020;5 239;0,0030;
январь 2021;5 094;0,0031;
февраль 2021;4 721;0,0026;
март 2021;4 289;0,0024;
апрель 2021;3 870;0,0022;
май 2021;3 363;0,0021;
июнь 2021;2 704;0,0018;
июль 2021;2 912;0,0019;
август 2021;3 501;0,0020;
сентябрь 2021;4 344;0,0023;
октябрь 2021;4 391;0,0022;
ноябрь 2021;4 305;0,0021;
декабрь 2021;4 479;0,0022;
январь 2022;4 818;0,0024;
февраль 2022;4 581;0,0021;
март 2022;4 295;0,0021;
апрель 2022;3 417;0,0018;
май 2022;3 490;0,0020;
июнь 2022;3 176;0,0019;
июль 2022;3 734;0,0021;
август 2022;3 203;0,0017;
сентябрь 2022;3 739;0,0018;
октябрь 2022;3 888;0,0018;
ноябрь 2022;3 529;0,0016;
декабрь 2022;3 153;0,0015;
январь 2023;3 236;0,0016;
февраль 2023;3 612;0,0016;
март 2023;3 465;0,0016;
апрель 2023;3 478;0,0017;
май 2023;2 822;0,0016;
июнь 2023;2 022;0,0012;
июль 2023;2 505;0,0014;
август 2023;3 176;0,0016;
сентябрь 2023;4 123;0,0019;
октябрь 2023;3 568;0,0017;
ноябрь 2023;3 418;0,0016;
декабрь 2023;4 078;0,0019;
январь 2024;3 657;0,0018;
февраль 2024;3 384;0,0016;
март 2024;3 600;0,0018;
апрель 2024;3 356;0,0018;
май 2024;2 439;0,0016;
июнь 2024;2 140;0,0014;
июль 2024;2 087;0,0014;
август 2024;2 902;0,0017;
сентябрь 2024;4 014;0,0021;
октябрь 2024;4 040;0,0020;
ноябрь 2024;3 697;0,0018;
декабрь 2024;3 807;0,0019;
