Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Томская область, все устройства
декабрь 2017;957;0,0023;
январь 2018;795;0,0020;
февраль 2018;815;0,0019;
март 2018;680;0,0017;
апрель 2018;667;0,0016;
май 2018;555;0,0016;
июнь 2018;528;0,0015;
июль 2018;618;0,0018;
август 2018;656;0,0016;
сентябрь 2018;851;0,0018;
октябрь 2018;789;0,0018;
ноябрь 2018;697;0,0015;
декабрь 2018;792;0,0018;
январь 2019;737;0,0017;
февраль 2019;810;0,0018;
март 2019;681;0,0015;
апрель 2019;599;0,0014;
май 2019;639;0,0017;
июнь 2019;615;0,0019;
июль 2019;477;0,0014;
август 2019;553;0,0015;
сентябрь 2019;781;0,0018;
октябрь 2019;666;0,0015;
ноябрь 2019;730;0,0015;
декабрь 2019;818;0,0017;
январь 2020;809;0,0018;
февраль 2020;816;0,0016;
март 2020;1 493;0,0024;
апрель 2020;1 132;0,0021;
май 2020;1 071;0,0023;
июнь 2020;726;0,0018;
июль 2020;692;0,0017;
август 2020;744;0,0015;
сентябрь 2020;1 059;0,0019;
октябрь 2020;1 203;0,0021;
ноябрь 2020;1 238;0,0022;
декабрь 2020;1 221;0,0023;
январь 2021;1 390;0,0028;
февраль 2021;1 279;0,0023;
март 2021;1 335;0,0023;
апрель 2021;1 346;0,0025;
май 2021;956;0,0018;
июнь 2021;749;0,0016;
июль 2021;677;0,0014;
август 2021;933;0,0017;
сентябрь 2021;1 571;0,0026;
октябрь 2021;1 136;0,0019;
ноябрь 2021;1 317;0,0020;
декабрь 2021;1 380;0,0022;
январь 2022;1 365;0,0022;
февраль 2022;1 604;0,0023;
март 2022;1 262;0,0019;
апрель 2022;1 107;0,0018;
май 2022;1 027;0,0018;
июнь 2022;810;0,0015;
июль 2022;785;0,0015;
август 2022;956;0,0016;
сентябрь 2022;1 218;0,0018;
октябрь 2022;1 387;0,0020;
ноябрь 2022;1 116;0,0016;
декабрь 2022;1 134;0,0017;
январь 2023;1 245;0,0020;
февраль 2023;1 094;0,0016;
март 2023;1 134;0,0016;
апрель 2023;1 168;0,0018;
май 2023;854;0,0015;
июнь 2023;620;0,0012;
июль 2023;667;0,0013;
август 2023;830;0,0014;
сентябрь 2023;1 351;0,0020;
октябрь 2023;1 065;0,0016;
ноябрь 2023;993;0,0015;
декабрь 2023;971;0,0015;
январь 2024;1 041;0,0017;
февраль 2024;1 050;0,0017;
март 2024;1 062;0,0017;
апрель 2024;1 000;0,0017;
май 2024;693;0,0013;
июнь 2024;632;0,0013;
июль 2024;510;0,0010;
август 2024;686;0,0013;
сентябрь 2024;1 123;0,0018;
октябрь 2024;1 289;0,0020;
ноябрь 2024;1 213;0,0018;
декабрь 2024;1 153;0,0018;
