Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Еврейская автономная область, все устройства
декабрь 2017;104;0,00389;
январь 2018;69;0,00263;
февраль 2018;122;0,00422;
март 2018;110;0,00399;
апрель 2018;74;0,00276;
май 2018;69;0,00268;
июнь 2018;94;0,00353;
июль 2018;61;0,00239;
август 2018;75;0,00268;
сентябрь 2018;122;0,00378;
октябрь 2018;72;0,00229;
ноябрь 2018;88;0,00276;
декабрь 2018;80;0,00244;
январь 2019;108;0,00326;
февраль 2019;97;0,00274;
март 2019;83;0,00250;
апрель 2019;90;0,00299;
май 2019;90;0,00313;
июнь 2019;80;0,00281;
июль 2019;59;0,00207;
август 2019;58;0,00190;
сентябрь 2019;83;0,00230;
октябрь 2019;66;0,00179;
ноябрь 2019;61;0,00151;
декабрь 2019;101;0,00241;
январь 2020;100;0,00249;
февраль 2020;85;0,00194;
март 2020;137;0,00235;
апрель 2020;141;0,00271;
май 2020;86;0,00195;
июнь 2020;67;0,00168;
июль 2020;52;0,00133;
август 2020;81;0,00192;
сентябрь 2020;125;0,00252;
октябрь 2020;116;0,00215;
ноябрь 2020;111;0,00227;
декабрь 2020;101;0,00209;
январь 2021;102;0,00220;
февраль 2021;117;0,00240;
март 2021;117;0,00214;
апрель 2021;90;0,00158;
май 2021;110;0,00207;
июнь 2021;51;0,00111;
июль 2021;66;0,00148;
август 2021;93;0,00173;
сентябрь 2021;209;0,00348;
октябрь 2021;408;0,00648;
ноябрь 2021;356;0,00532;
декабрь 2021;131;0,00194;
январь 2022;172;0,00265;
февраль 2022;267;0,00371;
март 2022;189;0,00262;
апрель 2022;81;0,00120;
май 2022;143;0,00231;
июнь 2022;96;0,00157;
июль 2022;103;0,00173;
август 2022;70;0,00106;
сентябрь 2022;93;0,00132;
октябрь 2022;110;0,00143;
ноябрь 2022;130;0,00174;
декабрь 2022;156;0,00201;
январь 2023;105;0,00151;
февраль 2023;101;0,00136;
март 2023;92;0,00126;
апрель 2023;106;0,00157;
май 2023;67;0,00110;
июнь 2023;63;0,00105;
июль 2023;89;0,00150;
август 2023;76;0,00124;
сентябрь 2023;105;0,00157;
октябрь 2023;106;0,00156;
ноябрь 2023;91;0,00130;
декабрь 2023;76;0,00109;
январь 2024;74;0,00111;
февраль 2024;60;0,00090;
март 2024;72;0,00112;
апрель 2024;81;0,00134;
май 2024;71;0,00131;
июнь 2024;58;0,00110;
июль 2024;43;0,00083;
август 2024;113;0,00204;
сентябрь 2024;105;0,00167;
октябрь 2024;135;0,00207;
ноябрь 2024;125;0,00181;
декабрь 2024;118;0,00172;
