Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Камчатский край, все устройства
декабрь 2017;347;0,0042;
январь 2018;318;0,0039;
февраль 2018;318;0,0035;
март 2018;220;0,0025;
апрель 2018;259;0,0031;
май 2018;181;0,0024;
июнь 2018;179;0,0024;
июль 2018;182;0,0025;
август 2018;189;0,0022;
сентябрь 2018;282;0,0028;
октябрь 2018;302;0,0031;
ноябрь 2018;216;0,0023;
декабрь 2018;375;0,0038;
январь 2019;311;0,0033;
февраль 2019;218;0,0022;
март 2019;260;0,0026;
апрель 2019;244;0,0028;
май 2019;222;0,0029;
июнь 2019;204;0,0029;
июль 2019;193;0,0027;
август 2019;249;0,0030;
сентябрь 2019;308;0,0030;
октябрь 2019;389;0,0037;
ноябрь 2019;286;0,0026;
декабрь 2019;383;0,0033;
январь 2020;322;0,0029;
февраль 2020;290;0,0024;
март 2020;320;0,0020;
апрель 2020;330;0,0024;
май 2020;229;0,0021;
июнь 2020;237;0,0024;
июль 2020;222;0,0022;
август 2020;239;0,0022;
сентябрь 2020;367;0,0028;
октябрь 2020;331;0,0023;
ноябрь 2020;462;0,0035;
декабрь 2020;525;0,0040;
январь 2021;563;0,0044;
февраль 2021;432;0,0031;
март 2021;419;0,0029;
апрель 2021;331;0,0025;
май 2021;401;0,0033;
июнь 2021;231;0,0020;
июль 2021;250;0,0022;
август 2021;371;0,0029;
сентябрь 2021;463;0,0032;
октябрь 2021;389;0,0026;
ноябрь 2021;307;0,0020;
декабрь 2021;463;0,0030;
январь 2022;338;0,0023;
февраль 2022;370;0,0022;
март 2022;334;0,0020;
апрель 2022;286;0,0017;
май 2022;285;0,0021;
июнь 2022;388;0,0029;
июль 2022;323;0,0023;
август 2022;207;0,0013;
сентябрь 2022;374;0,0022;
октябрь 2022;331;0,0017;
ноябрь 2022;270;0,0015;
декабрь 2022;307;0,0017;
январь 2023;284;0,0018;
февраль 2023;292;0,0016;
март 2023;316;0,0018;
апрель 2023;359;0,0021;
май 2023;262;0,0019;
июнь 2023;185;0,0014;
июль 2023;199;0,0014;
август 2023;282;0,0019;
сентябрь 2023;335;0,0020;
октябрь 2023;391;0,0024;
ноябрь 2023;303;0,0018;
декабрь 2023;329;0,0019;
январь 2024;319;0,0020;
февраль 2024;279;0,0017;
март 2024;361;0,0023;
апрель 2024;242;0,0015;
май 2024;198;0,0015;
июнь 2024;190;0,0014;
июль 2024;179;0,0014;
август 2024;287;0,0020;
сентябрь 2024;286;0,0018;
октябрь 2024;364;0,0022;
ноябрь 2024;343;0,0020;
декабрь 2024;368;0,0022;
