Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Магаданская область, все устройства
декабрь 2017;115;0,0034;
январь 2018;75;0,0022;
февраль 2018;79;0,0020;
март 2018;48;0,0013;
апрель 2018;83;0,0023;
май 2018;82;0,0026;
июнь 2018;35;0,0011;
июль 2018;59;0,0020;
август 2018;65;0,0018;
сентябрь 2018;121;0,0028;
октябрь 2018;98;0,0023;
ноябрь 2018;68;0,0017;
декабрь 2018;89;0,0021;
январь 2019;109;0,0027;
февраль 2019;76;0,0017;
март 2019;76;0,0018;
апрель 2019;77;0,0020;
май 2019;103;0,0032;
июнь 2019;93;0,0031;
июль 2019;83;0,0028;
август 2019;87;0,0025;
сентябрь 2019;121;0,0027;
октябрь 2019;109;0,0024;
ноябрь 2019;132;0,0028;
декабрь 2019;131;0,0027;
январь 2020;96;0,0020;
февраль 2020;158;0,0030;
март 2020;185;0,0028;
апрель 2020;153;0,0025;
май 2020;91;0,0019;
июнь 2020;106;0,0024;
июль 2020;84;0,0020;
август 2020;122;0,0025;
сентябрь 2020;95;0,0016;
октябрь 2020;98;0,0016;
ноябрь 2020;143;0,0024;
декабрь 2020;219;0,0036;
январь 2021;147;0,0026;
февраль 2021;168;0,0028;
март 2021;186;0,0030;
апрель 2021;164;0,0027;
май 2021;131;0,0024;
июнь 2021;92;0,0018;
июль 2021;82;0,0017;
август 2021;124;0,0022;
сентябрь 2021;214;0,0033;
октябрь 2021;159;0,0024;
ноябрь 2021;158;0,0023;
декабрь 2021;194;0,0029;
январь 2022;147;0,0022;
февраль 2022;174;0,0024;
март 2022;157;0,0022;
апрель 2022;128;0,0017;
май 2022;129;0,0020;
июнь 2022;134;0,0022;
июль 2022;92;0,0015;
август 2022;119;0,0017;
сентябрь 2022;149;0,0020;
октябрь 2022;143;0,0017;
ноябрь 2022;164;0,0021;
декабрь 2022;151;0,0020;
январь 2023;144;0,0020;
февраль 2023;111;0,0014;
март 2023;117;0,0016;
апрель 2023;107;0,0015;
май 2023;84;0,0014;
июнь 2023;91;0,0015;
июль 2023;92;0,0016;
август 2023;78;0,0012;
сентябрь 2023;129;0,0018;
октябрь 2023;135;0,0019;
ноябрь 2023;90;0,0012;
декабрь 2023;132;0,0018;
январь 2024;124;0,0018;
февраль 2024;132;0,0018;
март 2024;115;0,0017;
апрель 2024;113;0,0017;
май 2024;100;0,0018;
июнь 2024;87;0,0016;
июль 2024;110;0,0021;
август 2024;92;0,0016;
сентябрь 2024;178;0,0026;
октябрь 2024;131;0,0019;
ноябрь 2024;158;0,0022;
декабрь 2024;123;0,0017;
