Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Сахалинская область, все устройства
декабрь 2017;354;0,00272;
январь 2018;185;0,00143;
февраль 2018;195;0,00140;
март 2018;197;0,00152;
апрель 2018;208;0,00157;
май 2018;168;0,00138;
июнь 2018;231;0,00190;
июль 2018;210;0,00176;
август 2018;209;0,00158;
сентябрь 2018;302;0,00195;
октябрь 2018;284;0,00195;
ноябрь 2018;227;0,00161;
декабрь 2018;333;0,00226;
январь 2019;370;0,00260;
февраль 2019;293;0,00193;
март 2019;244;0,00169;
апрель 2019;212;0,00163;
май 2019;120;0,00099;
июнь 2019;167;0,00141;
июль 2019;133;0,00113;
август 2019;200;0,00155;
сентябрь 2019;254;0,00165;
октябрь 2019;334;0,00215;
ноябрь 2019;282;0,00171;
декабрь 2019;374;0,00216;
январь 2020;318;0,00188;
февраль 2020;265;0,00140;
март 2020;539;0,00232;
апрель 2020;541;0,00253;
май 2020;364;0,00203;
июнь 2020;316;0,00197;
июль 2020;250;0,00155;
август 2020;399;0,00233;
сентябрь 2020;449;0,00224;
октябрь 2020;448;0,00212;
ноябрь 2020;486;0,00244;
декабрь 2020;491;0,00247;
январь 2021;578;0,00307;
февраль 2021;402;0,00199;
март 2021;527;0,00247;
апрель 2021;452;0,00213;
май 2021;417;0,00216;
июнь 2021;311;0,00172;
июль 2021;255;0,00126;
август 2021;320;0,00151;
сентябрь 2021;532;0,00233;
октябрь 2021;470;0,00204;
ноябрь 2021;461;0,00191;
декабрь 2021;516;0,00210;
январь 2022;510;0,00214;
февраль 2022;517;0,00195;
март 2022;443;0,00173;
апрель 2022;415;0,00166;
май 2022;341;0,00152;
июнь 2022;348;0,00163;
июль 2022;422;0,00190;
август 2022;362;0,00150;
сентябрь 2022;440;0,00167;
октябрь 2022;408;0,00143;
ноябрь 2022;534;0,00196;
декабрь 2022;435;0,00163;
январь 2023;441;0,00177;
февраль 2023;494;0,00182;
март 2023;444;0,00171;
апрель 2023;432;0,00172;
май 2023;332;0,00151;
июнь 2023;293;0,00137;
июль 2023;296;0,00135;
август 2023;351;0,00154;
сентябрь 2023;466;0,00185;
октябрь 2023;474;0,00187;
ноябрь 2023;395;0,00154;
декабрь 2023;558;0,00214;
январь 2024;414;0,00170;
февраль 2024;412;0,00166;
март 2024;404;0,00170;
апрель 2024;389;0,00166;
май 2024;301;0,00149;
июнь 2024;277;0,00137;
июль 2024;245;0,00120;
август 2024;336;0,00160;
сентябрь 2024;403;0,00167;
октябрь 2024;513;0,00209;
ноябрь 2024;429;0,00167;
декабрь 2024;468;0,00183;
