Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Карачаево-Черкесская Республика, все устройства
декабрь 2017;163;0,00199;
январь 2018;129;0,00163;
февраль 2018;120;0,00140;
март 2018;115;0,00156;
апрель 2018;114;0,00147;
май 2018;96;0,00133;
июнь 2018;116;0,00155;
июль 2018;131;0,00180;
август 2018;106;0,00137;
сентябрь 2018;148;0,00170;
октябрь 2018;141;0,00174;
ноябрь 2018;98;0,00174;
декабрь 2018;104;0,00172;
январь 2019;101;0,00167;
февраль 2019;94;0,00144;
март 2019;95;0,00154;
апрель 2019;77;0,00132;
май 2019;92;0,00167;
июнь 2019;79;0,00139;
июль 2019;68;0,00125;
август 2019;80;0,00143;
сентябрь 2019;119;0,00165;
октябрь 2019;109;0,00148;
ноябрь 2019;136;0,00183;
декабрь 2019;106;0,00134;
январь 2020;135;0,00183;
февраль 2020;89;0,00109;
март 2020;178;0,00180;
апрель 2020;147;0,00161;
май 2020;195;0,00246;
июнь 2020;161;0,00225;
июль 2020;123;0,00178;
август 2020;135;0,00181;
сентябрь 2020;185;0,00211;
октябрь 2020;118;0,00121;
ноябрь 2020;209;0,00218;
декабрь 2020;153;0,00179;
январь 2021;107;0,00134;
февраль 2021;158;0,00182;
март 2021;210;0,00214;
апрель 2021;181;0,00163;
май 2021;209;0,00200;
июнь 2021;121;0,00148;
июль 2021;82;0,00098;
август 2021;152;0,00147;
сентябрь 2021;185;0,00158;
октябрь 2021;204;0,00167;
ноябрь 2021;205;0,00159;
декабрь 2021;406;0,00297;
январь 2022;264;0,00195;
февраль 2022;279;0,00196;
март 2022;215;0,00164;
апрель 2022;215;0,00163;
май 2022;197;0,00164;
июнь 2022;200;0,00171;
июль 2022;188;0,00163;
август 2022;145;0,00117;
сентябрь 2022;159;0,00116;
октябрь 2022;226;0,00164;
ноябрь 2022;226;0,00147;
декабрь 2022;211;0,00142;
январь 2023;186;0,00133;
февраль 2023;205;0,00139;
март 2023;224;0,00160;
апрель 2023;169;0,00126;
май 2023;161;0,00136;
июнь 2023;240;0,00202;
июль 2023;166;0,00139;
август 2023;120;0,00097;
сентябрь 2023;154;0,00109;
октябрь 2023;227;0,00160;
ноябрь 2023;234;0,00161;
декабрь 2023;225;0,00152;
январь 2024;191;0,00137;
февраль 2024;192;0,00138;
март 2024;162;0,00128;
апрель 2024;140;0,00109;
май 2024;153;0,00138;
июнь 2024;132;0,00115;
июль 2024;119;0,00106;
август 2024;110;0,00093;
сентябрь 2024;167;0,00126;
октябрь 2024;204;0,00149;
ноябрь 2024;242;0,00163;
декабрь 2024;250;0,00167;
