Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Республика Ингушетия, все устройства
декабрь 2017;35;0,00086;
январь 2018;60;0,00150;
февраль 2018;22;0,00051;
март 2018;31;0,00081;
апрель 2018;27;0,00071;
май 2018;38;0,00113;
июнь 2018;21;0,00054;
июль 2018;43;0,00110;
август 2018;31;0,00076;
сентябрь 2018;36;0,00080;
октябрь 2018;58;0,00127;
ноябрь 2018;38;0,00078;
декабрь 2018;42;0,00083;
январь 2019;36;0,00074;
февраль 2019;45;0,00090;
март 2019;30;0,00061;
апрель 2019;46;0,00103;
май 2019;45;0,00109;
июнь 2019;50;0,00114;
июль 2019;71;0,00166;
август 2019;59;0,00132;
сентябрь 2019;52;0,00104;
октябрь 2019;56;0,00108;
ноябрь 2019;104;0,00176;
декабрь 2019;86;0,00141;
январь 2020;69;0,00123;
февраль 2020;66;0,00107;
март 2020;143;0,00187;
апрель 2020;120;0,00172;
май 2020;158;0,00270;
июнь 2020;128;0,00230;
июль 2020;80;0,00148;
август 2020;65;0,00114;
сентябрь 2020;51;0,00077;
октябрь 2020;110;0,00154;
ноябрь 2020;78;0,00115;
декабрь 2020;92;0,00141;
январь 2021;96;0,00162;
февраль 2021;116;0,00185;
март 2021;129;0,00198;
апрель 2021;72;0,00111;
май 2021;111;0,00159;
июнь 2021;75;0,00121;
июль 2021;70;0,00112;
август 2021;95;0,00133;
сентябрь 2021;97;0,00120;
октябрь 2021;89;0,00104;
ноябрь 2021;100;0,00111;
декабрь 2021;111;0,00121;
январь 2022;151;0,00171;
февраль 2022;120;0,00122;
март 2022;100;0,00118;
апрель 2022;76;0,00088;
май 2022;83;0,00102;
июнь 2022;120;0,00150;
июль 2022;97;0,00122;
август 2022;83;0,00099;
сентябрь 2022;103;0,00114;
октябрь 2022;93;0,00097;
ноябрь 2022;87;0,00090;
декабрь 2022;103;0,00107;
январь 2023;113;0,00129;
февраль 2023;125;0,00134;
март 2023;97;0,00119;
апрель 2023;80;0,00092;
май 2023;74;0,00095;
июнь 2023;51;0,00065;
июль 2023;80;0,00101;
август 2023;49;0,00059;
сентябрь 2023;105;0,00116;
октябрь 2023;93;0,00101;
ноябрь 2023;92;0,00094;
декабрь 2023;182;0,00187;
январь 2024;144;0,00164;
февраль 2024;115;0,00137;
март 2024;93;0,00128;
апрель 2024;138;0,00171;
май 2024;146;0,00203;
июнь 2024;224;0,00304;
июль 2024;233;0,00311;
август 2024;205;0,00277;
сентябрь 2024;296;0,00355;
октябрь 2024;262;0,00307;
ноябрь 2024;195;0,00205;
декабрь 2024;308;0,00336;
