Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Курганская область, все устройства
декабрь 2017;525;0,00179;
январь 2018;463;0,00169;
февраль 2018;437;0,00144;
март 2018;432;0,00152;
апрель 2018;472;0,00168;
май 2018;448;0,00175;
июнь 2018;353;0,00143;
июль 2018;458;0,00178;
август 2018;486;0,00172;
сентябрь 2018;511;0,00156;
октябрь 2018;507;0,00168;
ноябрь 2018;379;0,00122;
декабрь 2018;508;0,00159;
январь 2019;426;0,00137;
февраль 2019;378;0,00119;
март 2019;441;0,00146;
апрель 2019;308;0,00110;
май 2019;335;0,00130;
июнь 2019;384;0,00152;
июль 2019;431;0,00168;
август 2019;451;0,00167;
сентябрь 2019;522;0,00169;
октябрь 2019;610;0,00193;
ноябрь 2019;524;0,00158;
декабрь 2019;754;0,00219;
январь 2020;671;0,00198;
февраль 2020;596;0,00161;
март 2020;1 248;0,00267;
апрель 2020;1 144;0,00287;
май 2020;670;0,00203;
июнь 2020;533;0,00177;
июль 2020;481;0,00159;
август 2020;612;0,00183;
сентябрь 2020;731;0,00188;
октябрь 2020;1 018;0,00203;
ноябрь 2020;1 221;0,00283;
декабрь 2020;1 137;0,00289;
январь 2021;1 098;0,00301;
февраль 2021;1 017;0,00271;
март 2021;834;0,00216;
апрель 2021;674;0,00177;
май 2021;719;0,00193;
июнь 2021;520;0,00149;
июль 2021;558;0,00137;
август 2021;719;0,00176;
сентябрь 2021;760;0,00175;
октябрь 2021;1 109;0,00223;
ноябрь 2021;837;0,00178;
декабрь 2021;936;0,00203;
январь 2022;1 206;0,00245;
февраль 2022;852;0,00173;
март 2022;691;0,00153;
апрель 2022;706;0,00158;
май 2022;649;0,00158;
июнь 2022;596;0,00151;
июль 2022;504;0,00128;
август 2022;483;0,00113;
сентябрь 2022;567;0,00122;
октябрь 2022;654;0,00136;
ноябрь 2022;564;0,00114;
декабрь 2022;661;0,00136;
январь 2023;687;0,00152;
февраль 2023;641;0,00131;
март 2023;503;0,00111;
апрель 2023;515;0,00120;
май 2023;447;0,00111;
июнь 2023;370;0,00095;
июль 2023;400;0,00102;
август 2023;505;0,00122;
сентябрь 2023;590;0,00129;
октябрь 2023;499;0,00109;
ноябрь 2023;581;0,00119;
декабрь 2023;658;0,00140;
январь 2024;685;0,00154;
февраль 2024;515;0,00114;
март 2024;461;0,00104;
апрель 2024;475;0,00115;
май 2024;331;0,00094;
июнь 2024;306;0,00087;
июль 2024;250;0,00071;
август 2024;455;0,00125;
сентябрь 2024;641;0,00152;
октябрь 2024;670;0,00155;
ноябрь 2024;576;0,00128;
декабрь 2024;581;0,00130;
