Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Voronezh Oblast, all devices
December 2017;834 829;0,75;
January 2018;798 697;0,73;
February 2018;845 787;0,70;
March 2018;738 041;0,71;
April 2018;773 063;0,75;
May 2018;605 779;0,63;
June 2018;576 076;0,59;
July 2018;595 407;0,61;
August 2018;783 411;0,70;
September 2018;960 331;0,74;
October 2018;850 676;0,71;
November 2018;836 440;0,70;
December 2018;892 275;0,74;
January 2019;860 435;0,72;
February 2019;884 758;0,72;
March 2019;801 973;0,72;
April 2019;787 243;0,74;
May 2019;628 979;0,65;
June 2019;607 632;0,60;
July 2019;582 380;0,58;
August 2019;775 062;0,70;
September 2019;968 368;0,75;
October 2019;944 685;0,72;
November 2019;996 667;0,74;
December 2019;1 049 035;0,77;
January 2020;1 003 405;0,76;
February 2020;983 775;0,70;
March 2020;1 302 728;0,76;
April 2020;1 123 879;0,75;
May 2020;917 059;0,72;
June 2020;780 698;0,65;
July 2020;699 032;0,60;
August 2020;957 342;0,71;
September 2020;1 082 892;0,69;
October 2020;1 224 227;0,70;
November 2020;1 199 741;0,75;
December 2020;1 276 765;0,83;
January 2021;1 240 921;0,84;
February 2021;1 290 460;0,79;
March 2021;1 255 187;0,80;
April 2021;1 199 966;0,77;
May 2021;1 027 504;0,68;
June 2021;874 640;0,61;
July 2021;871 177;0,61;
August 2021;1 125 940;0,70;
September 2021;1 254 091;0,69;
October 2021;1 354 734;0,74;
November 2021;1 390 816;0,75;
December 2021;1 353 569;0,74;
January 2022;1 321 402;0,71;
February 2022;1 461 306;0,73;
March 2022;1 294 364;0,71;
April 2022;1 302 738;0,72;
May 2022;995 472;0,61;
June 2022;874 303;0,55;
July 2022;870 065;0,54;
August 2022;1 096 676;0,60;
September 2022;1 235 256;0,63;
October 2022;1 277 524;0,65;
November 2022;1 175 953;0,60;
December 2022;1 179 697;0,61;
January 2023;1 085 534;0,61;
February 2023;1 206 107;0,62;
March 2023;1 086 177;0,60;
April 2023;1 121 268;0,63;
May 2023;818 339;0,50;
June 2023;725 391;0,46;
July 2023;722 513;0,47;
August 2023;961 141;0,58;
September 2023;1 165 899;0,62;
October 2023;1 120 754;0,60;
November 2023;1 130 490;0,61;
December 2023;1 082 519;0,58;
January 2024;1 074 447;0,61;
February 2024;1 006 396;0,56;
March 2024;1 008 114;0,61;
April 2024;1 016 075;0,62;
May 2024;747 561;0,51;
June 2024;688 133;0,48;
July 2024;642 121;0,45;
August 2024;916 670;0,59;
September 2024;1 088 191;0,62;
October 2024;1 131 786;0,62;
November 2024;1 231 949;0,65;
