Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Republic of Kalmykia, all devices
December 2017;46 971;0,72;
January 2018;43 234;0,68;
February 2018;47 216;0,68;
March 2018;37 916;0,62;
April 2018;49 139;0,81;
May 2018;37 824;0,63;
June 2018;32 266;0,52;
July 2018;33 287;0,58;
August 2018;43 947;0,73;
September 2018;54 604;0,76;
October 2018;47 716;0,71;
November 2018;49 498;0,71;
December 2018;50 670;0,70;
January 2019;45 706;0,67;
February 2019;48 980;0,69;
March 2019;46 229;0,68;
April 2019;54 348;0,82;
May 2019;41 462;0,68;
June 2019;34 377;0,56;
July 2019;34 613;0,57;
August 2019;46 339;0,74;
September 2019;50 779;0,74;
October 2019;50 216;0,71;
November 2019;56 365;0,75;
December 2019;57 348;0,72;
January 2020;50 790;0,67;
February 2020;53 150;0,65;
March 2020;74 883;0,67;
April 2020;80 229;0,75;
May 2020;59 058;0,68;
June 2020;44 219;0,56;
July 2020;42 847;0,56;
August 2020;56 771;0,67;
September 2020;68 322;0,70;
October 2020;68 790;0,67;
November 2020;74 013;0,75;
December 2020;72 438;0,74;
January 2021;68 915;0,79;
February 2021;76 797;0,79;
March 2021;75 515;0,78;
April 2021;87 498;0,89;
May 2021;69 932;0,73;
June 2021;50 745;0,57;
July 2021;51 752;0,58;
August 2021;74 673;0,77;
September 2021;82 101;0,78;
October 2021;84 084;0,75;
November 2021;99 599;0,82;
December 2021;92 964;0,76;
January 2022;94 684;0,78;
February 2022;95 907;0,79;
March 2022;90 251;0,79;
April 2022;100 496;0,87;
May 2022;71 300;0,69;
June 2022;58 226;0,56;
July 2022;61 413;0,59;
August 2022;78 200;0,71;
September 2022;87 604;0,73;
October 2022;83 579;0,68;
November 2022;93 235;0,70;
December 2022;80 705;0,66;
January 2023;70 616;0,63;
February 2023;81 646;0,69;
March 2023;74 238;0,65;
April 2023;89 725;0,78;
May 2023;61 303;0,60;
June 2023;51 983;0,50;
July 2023;55 134;0,54;
August 2023;73 162;0,70;
September 2023;86 596;0,75;
October 2023;80 608;0,69;
November 2023;82 294;0,70;
December 2023;79 113;0,66;
January 2024;72 449;0,65;
February 2024;75 714;0,67;
March 2024;73 502;0,70;
April 2024;81 820;0,77;
May 2024;58 376;0,63;
June 2024;53 926;0,57;
July 2024;50 898;0,55;
August 2024;72 094;0,74;
September 2024;84 692;0,79;
October 2024;84 513;0,75;
November 2024;94 890;0,80;
